Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
99,99,99,99,99,99,99,1-0917,9,8,1-0917,134,15,0,33,29.295802652835846,0.2186253929316108
47,47,47,47,47,47,47,1-1035,11,10,1-1035,249,34,0,47,54.360688626766205,0.21831601858139038
330,330,330,330,330,330,330,1-9499,23,21,1-9499,36,0,0,18,7.797710537910461,0.21660307049751282
457,457,457,457,457,457,457,1-5287,23,21,1-5287,18,0,0,9,3.8988552689552307,0.21660307049751282
253,253,253,253,253,253,253,1-2829,1,2,1-2829,52,0,0,26,11.263359665870667,0.21660307049751282
550,550,550,550,550,550,550,1-3142,17,23,1-3142,4,0,0,2,0.8664122819900513,0.21660307049751282
395,395,395,395,395,395,395,1-1958,7,7,1-1958,25,1,0,10,5.332061409950256,0.21328245639801025
53,53,53,53,53,53,53,1-6727,17,23,1-6727,235,0,0,113,48.9522939324379,0.20830763375505487
437,437,437,437,437,437,437,1-11533,8,6,1-11533,20,2,0,5,4.166030704975128,0.20830153524875641
442,442,442,442,442,442,442,1-9232,1,2,1-9232,20,2,0,5,4.166030704975128,0.20830153524875641
3,3,3,3,3,3,3,MLG06,18,18,MLG06,634,64,0,155,131.14695185422897,0.20685639093726968
184,184,184,184,184,184,184,MLG18,3,15,MLG18,72,12,0,6,14.599236845970154,0.20276717841625214
207,207,207,207,207,207,207,1-7488,5,4,1-7488,65,4,0,21,13.097328960895538,0.20149736862916212
14,14,14,14,14,14,14,1-3037,3,15,1-3037,467,46,0,111,94.08588165044785,0.20146869732429945
279,279,279,279,279,279,279,1-20068,14,13,1-20068,45,3,0,14,9.064885973930359,0.20144191053178576
398,398,398,398,398,398,398,1-8914,7,7,1-8914,25,5,0,0,5.0,0.2
202,202,202,202,202,202,202,1-1367,14,13,1-1367,66,8,0,12,13.198473691940308,0.19997687412030768
400,400,400,400,400,400,400,1-11523,8,6,1-11523,24,0,0,11,4.765267550945282,0.1985528146227201
357,357,357,357,357,357,357,1-9601,23,21,1-9601,31,0,0,14,6.064885973930359,0.19564148303001158
153,153,153,153,153,153,153,1-8666,14,13,1-8666,89,3,0,33,17.295802652835846,0.1943348612678185
352,352,352,352,352,352,352,1-8853,5,4,1-8853,33,2,0,10,6.332061409950256,0.1918806487863714
503,503,503,503,503,503,503,1-11534,3,15,1-11534,12,1,0,3,2.299618422985077,0.19163486858208975
103,103,103,103,103,103,103,1-2275,14,13,1-2275,130,11,0,32,24.86259651184082,0.19125074239877554
343,343,343,343,343,343,343,1-11132,16,27,1-11132,34,0,0,15,6.4980921149253845,0.19112035632133484
473,473,473,473,473,473,473,1-3371,23,21,1-3371,16,0,0,7,3.0324429869651794,0.18952768668532372
532,532,532,532,532,532,532,1-18369,16,27,1-18369,7,0,0,3,1.299618422985077,0.18565977471215384
174,174,174,174,174,174,174,MLG17,8,6,MLG17,76,5,0,21,14.097328960895538,0.1854911705380992
353,353,353,353,353,353,353,1-7456,10,9,1-7456,32,2,0,9,5.898855268955231,0.18433922715485096
170,170,170,170,170,170,170,1-9291,12,11,1-9291,78,7,0,17,14.364504396915436,0.18416031278096712
52,52,52,52,52,52,52,1-7302,1,2,1-7302,240,6,0,88,44.122140407562256,0.18384225169817606
254,254,254,254,254,254,254,1-8808,23,21,1-8808,52,0,0,22,9.530535101890564,0.18327952119020316
448,448,448,448,448,448,448,1-1959,5,4,1-1959,19,0,0,8,3.465649127960205,0.18240258568211606
189,189,189,189,189,189,189,1-0582,11,10,1-0582,70,7,0,13,12.631679832935333,0.18045256904193333
302,302,302,302,302,302,302,1-7809,13,12,1-7809,40,5,0,5,7.166030704975128,0.1791507676243782
38,38,38,38,38,38,38,1-5899,6,5,1-5899,288,47,0,10,51.332061409950256,0.17823632434010506
165,165,165,165,165,165,165,1-8368,5,4,1-8368,80,9,0,12,14.198473691940308,0.17748092114925385
541,541,541,541,541,541,541,1-19192,18,18,1-19192,5,0,0,2,0.8664122819900513,0.17328245639801027
397,397,397,397,397,397,397,1-19851,5,4,1-19851,25,0,0,10,4.332061409950256,0.17328245639801027
97,97,97,97,97,97,97,1-4654,5,4,1-4654,138,3,0,48,23.79389476776123,0.17241952730261761
