Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
153,153,153,1-8666,14,12,1-8666,89,19,0,8,25.264716811478138,0.28387322260087794
229,229,229,1-8986,20,8,1-8986,57,6,0,13,16.180164818651974,0.2838625406781048
306,306,306,1-8990,16,11,1-8990,40,5,0,8,11.264716811478138,0.2816179202869534
210,210,210,1-1514,1,6,1-1514,64,7,0,14,17.96325442008674,0.28067585031385534
42,42,42,1-8681,19,9,1-8681,260,17,0,71,72.59936170186847,0.2792283142379557
407,407,407,1-0295,1,1,1-0295,24,2,0,6,6.6985376086086035,0.2791057336920251
10,10,10,MLG08,8,18,MLG08,532,37,0,142,148.19872340373695,0.2785690289543928
99,99,99,1-0917,9,4,1-0917,134,10,0,34,36.625046448782086,0.2733212421550902
304,304,304,1-2006,11,16,1-2006,40,7,0,5,10.915448007173836,0.2728862001793459
172,172,172,1-19068,13,14,1-19068,77,13,0,10,20.830896014347672,0.27053111706945027
95,95,95,1-9100,10,16,1-9100,142,18,0,26,38.36032963730395,0.27014316645988695
50,50,50,1-4011,17,11,1-4011,246,20,0,59,66.20228648465127,0.2691149857099645
29,29,29,1-7462,9,4,1-7462,336,22,0,87,90.12879532482475,0.26824046227626414
22,22,22,1-6568,14,13,1-6568,394,24,0,104,105.4413185492158,0.26761755976958324
58,58,58,MLG53,16,20,MLG53,216,42,0,19,56.87870242726058,0.2633273260521323
342,342,342,1-18987,19,19,1-18987,34,5,0,5,8.915448007173836,0.2622190590345246
322,322,322,1-18435,4,7,1-18435,37,5,0,6,9.698537608608603,0.2621226380705028
240,240,240,1-10808,2,19,1-10808,54,0,0,18,14.09561282582581,0.26102986714492243
323,323,323,1-8613,16,11,1-8613,37,1,0,11,9.61398561578244,0.25983744907520107
325,325,325,1-6543,22,23,1-6543,36,3,0,8,9.264716811478138,0.2573532447632816
348,348,348,1-0997,7,18,1-0997,33,3,0,7,8.48162721004337,0.2570190063649506
260,260,260,MLG24,16,20,MLG24,49,7,0,7,12.48162721004337,0.25472708591925247
35,35,35,1-7901,9,4,1-7901,298,39,0,47,75.80521126743406,0.25437990358199347
111,111,111,1-1887,19,9,1-1887,119,12,0,23,30.011060832999647,0.25219378851260205
555,555,555,1-3734,3,21,1-3734,4,1,0,0,1.0,0.25
503,503,503,1-11534,3,5,1-11534,12,3,0,0,3.0,0.25
118,118,118,1-3051,12,14,1-3051,116,18,0,14,28.96325442008674,0.24968322775936846
358,358,358,1-5655,15,9,1-5655,31,3,0,6,7.6985376086086035,0.24833992285834205
117,117,117,1-3246,2,5,1-3246,116,17,0,15,28.74634402152151,0.24781331053035782
114,114,114,1-6166,12,8,1-6166,117,14,0,19,28.878702427260578,0.24682651647231263
237,237,237,1-18266,20,8,1-18266,55,7,0,8,13.264716811478138,0.24117666929960252
12,12,12,1-3523,15,12,1-3523,497,11,0,139,119.84945459943265,0.24114578390227898
224,224,224,1-8087,16,20,1-8087,58,10,0,5,13.915448007173836,0.23992151736506614
139,139,139,1-8228,13,14,1-8228,99,12,0,15,23.74634402152151,0.23986206082344957
338,338,338,1-8497,17,2,1-8497,34,5,0,4,8.132358405739069,0.23918701193350203
475,475,475,1-9548,8,2,1-9548,16,3,0,1,3.7830896014347672,0.23644310008967295
151,151,151,1-7725,5,1,1-7725,90,2,0,24,20.794150434434414,0.23104611593816016
391,391,391,1-7301,19,20,1-7301,26,6,0,0,6.0,0.23076923076923078
32,32,32,1-3152,17,11,1-3152,323,19,0,70,73.81627210043371,0.2285333501561415
36,36,36,MLG67,19,9,MLG67,293,30,0,47,66.80521126743406,0.22800413401854627
433,433,433,1-10042,14,7,1-10042,21,4,0,1,4.783089601434767,0.22776617149689368
287,287,287,1-0454,20,10,1-0454,43,9,0,1,9.783089601434767,0.22751371166127365
353,353,353,1-7456,10,17,1-7456,32,1,0,8,7.264716811478138,0.2270224003586918
20,20,20,1-0708,11,16,1-0708,408,20,0,92,92.04424333199859,0.2255986356176436
414,414,414,1-18370,12,15,1-18370,23,2,0,4,5.132358405739069,0.2231460176408291
62,62,62,1-1131,2,5,1-1131,200,21,0,30,44.49268804304302,0.22246344021521508
14,14,14,1-3037,3,7,1-3037,467,61,0,54,103.28683847747743,0.2211709603372108
262,262,262,1-7656,9,10,1-7656,48,9,0,2,10.566179202869534,0.2201287333931153
31,31,31,1-1687,12,15,1-1687,325,37,0,44,71.45594246312976,0.21986443834809158
451,451,451,1-7146,9,3,1-7146,18,0,0,5,3.9154480071738362,0.21752488928743535
227,227,227,1-8055,23,21,1-8055,57,3,0,12,12.397075217217207,0.21749254767047732
219,219,219,1-8702,4,19,1-8702,59,5,0,10,12.830896014347672,0.2174728138025029
113,113,113,1-7971,17,11,1-7971,117,5,0,26,25.36032963730395,0.21675495416499102
49,49,49,1-19257,1,6,1-19257,246,29,0,31,53.275777644477785,0.21656820180682027
15,15,15,MLG14,8,18,MLG14,462,35,0,83,99.99643691908568,0.21644250415386512
131,131,131,1-6501,18,10,1-6501,107,5,0,23,23.011060832999647,0.21505664329906213
136,136,136,1-7720,10,16,1-7720,102,10,0,15,21.74634402152151,0.21319945119138733
103,103,103,1-2275,14,13,1-2275,130,11,0,21,27.444881630130112,0.21111447407792394
347,347,347,7W2-0103,12,16,7W2-0103,33,3,0,5,6.915448007173836,0.20955903052041927
125,125,125,1-9260,11,10,1-9260,111,9,0,18,23.09561282582581,0.20806858401644873
209,209,209,1-6249,1,6,1-6249,64,7,0,8,13.264716811478138,0.2072612001793459
444,444,444,1-7467,15,13,1-7467,20,1,0,4,4.132358405739069,0.20661792028695344
440,440,440,1-20081,20,8,1-20081,20,1,0,4,4.132358405739069,0.20661792028695344
376,376,376,1-3356,2,20,1-3356,28,5,0,1,5.783089601434767,0.20653891433695598
96,96,96,1-7402,10,17,1-7402,141,4,0,32,29.058867245912552,0.20609125706320958
44,44,44,1-8371,2,5,1-8371,255,40,0,16,52.529433622956276,0.20599777891355403
248,248,248,1-8618,18,10,1-8618,53,3,0,10,10.830896014347672,0.2043565285725976
251,251,251,1-8287,20,8,1-8287,53,10,0,1,10.783089601434767,0.20345452078178805
302,302,302,1-7809,13,14,1-7809,40,5,0,4,8.132358405739069,0.2033089601434767
143,143,143,1-12345,5,1,1-12345,97,15,0,6,19.698537608608603,0.20307770730524333
185,185,185,MLG42,16,20,MLG42,72,6,0,11,14.61398561578244,0.20297202244142276
320,320,320,1-5109,15,12,1-5109,37,2,0,7,7.481627210043371,0.202206140811983
192,192,192,1-3254,6,2,1-3254,68,9,0,6,13.698537608608603,0.2014490824795383
513,513,513,1-18770,19,20,1-18770,10,2,0,0,2.0,0.2
369,369,369,1-9217,8,2,1-9217,30,6,0,0,6.0,0.2
516,516,516,1-17965,1,6,1-17965,10,2,0,0,2.0,0.2
381,381,381,1-6554,3,7,1-6554,28,4,0,2,5.5661792028695345,0.19879211438819766
453,453,453,1-11121,23,21,1-11121,18,2,0,2,3.5661792028695345,0.19812106682608524
6,6,6,1-3026,3,7,1-3026,570,47,0,84,112.77952652052045,0.19785881845705341
422,422,422,1-17969,11,15,1-17969,22,2,0,3,4.349268804304302,0.19769403655928644
254,254,254,1-8808,23,21,1-8808,52,4,0,8,10.264716811478138,0.19739840022073343
459,459,459,1-17979,23,21,1-17979,17,1,0,3,3.3492688043043017,0.1970158120179001
24,24,24,MLG62,8,18,MLG62,370,18,0,70,72.81627210043371,0.19680073540657758
120,120,120,1-1152,4,20,1-1152,112,11,0,14,21.96325442008674,0.19610048589363163
329,329,329,1-8859,19,9,1-8859,36,0,0,9,7.047806412912905,0.1957724003586918
554,554,554,1-10217,8,21,1-10217,4,0,0,1,0.7830896014347672,0.1957724003586918
524,524,524,1-6015,18,10,1-6015,8,0,0,2,1.5661792028695345,0.1957724003586918
447,447,447,1-9473,19,9,1-9473,20,0,0,5,3.9154480071738362,0.1957724003586918
548,548,548,1-9621,1,6,1-9621,4,0,0,1,0.7830896014347672,0.1957724003586918
377,377,377,1-10305,19,9,1-10305,28,0,0,7,5.481627210043371,0.1957724003586918
547,547,547,1-3100,4,19,1-3100,4,0,0,1,0.7830896014347672,0.1957724003586918
435,435,435,1-10919,6,2,1-10919,20,0,0,5,3.9154480071738362,0.1957724003586918
5,5,5,1-8611,12,15,1-8611,621,62,0,76,121.51480970904231,0.19567602207575252
214,214,214,P1-0004,15,20,P1-0004,60,7,0,6,11.698537608608603,0.19497562681014338
264,264,264,1-8284,17,17,1-8284,48,7,0,3,9.349268804304302,0.1947764334230063
81,81,81,1-7038,15,12,1-7038,163,20,0,15,31.74634402152151,0.19476284675780067
238,238,238,MLG20,7,3,MLG20,55,6,0,6,10.698537608608603,0.19451886561106552
128,128,128,1-18045,10,17,1-18045,109,7,0,18,21.09561282582581,0.1935377323470258
16,16,16,1-0691,10,17,1-0691,450,15,0,92,87.04424333199859,0.19343165184888575
314,314,314,1-18973,10,17,1-18973,39,2,0,7,7.481627210043371,0.1918365951293172
160,160,160,1-1119,18,10,1-1119,83,12,0,5,15.915448007173836,0.19175238562860045
398,398,398,1-8914,7,16,1-8914,25,4,0,1,4.783089601434767,0.1913235840573907
383,383,383,1-9182,7,3,1-9182,28,3,0,3,5.349268804304302,0.19104531443943934
38,38,38,1-5899,6,2,1-5899,288,47,0,10,54.83089601434767,0.19038505560537386
409,409,409,1-9245,9,23,1-9245,23,2,0,3,4.349268804304302,0.18909864366540444
11,11,11,1-19755,1,6,1-19755,517,46,0,66,97.68391369469464,0.18894374022184648
68,68,68,1-0677,10,16,1-0677,187,22,0,17,35.31252322439104,0.18883702259032645
89,89,89,1-3509,9,4,1-3509,150,4,0,31,28.275777644477785,0.18850518429651855
424,424,424,1-18869,18,9,1-18869,22,1,0,4,4.132358405739069,0.1878344729881395
173,173,173,1-9276,19,9,1-9276,77,1,0,17,14.312523224391043,0.18587692499209146
63,63,63,1-5531,11,16,1-5531,199,22,0,19,36.87870242726058,0.1853201126998019
223,223,223,1-5686,16,20,1-5686,59,7,0,5,10.915448007173836,0.18500759334192943
484,484,484,1-9203,7,3,1-9203,14,1,0,2,2.5661792028695345,0.18329851449068105
297,297,297,1-6101,16,3,1-6101,41,2,0,7,7.481627210043371,0.1824787124400822
41,41,41,MLG70,13,14,MLG70,269,16,0,42,48.889763260260224,0.18174633182252872
30,30,30,1-8718,4,19,1-8718,333,33,0,35,60.408136050216854,0.18140581396461516
156,156,156,MLG83,22,23,MLG83,88,12,0,5,15.915448007173836,0.1808573637178845
434,434,434,1-11026,20,8,1-11026,21,3,0,1,3.7830896014347672,0.18014712387784607
289,289,289,1-7390,1,6,1-7390,43,3,0,6,7.6985376086086035,0.17903575833973495
301,301,301,1-3469,3,7,1-3469,40,4,0,4,7.132358405739069,0.17830896014347672
512,512,512,1-5140,23,21,1-5140,10,1,0,1,1.7830896014347672,0.17830896014347672
303,303,303,1-7899,14,13,1-7899,40,4,0,4,7.132358405739069,0.17830896014347672
161,161,161,1-7636,18,8,1-7636,83,14,0,1,14.783089601434767,0.1781095132702984
241,241,241,1-8058,20,23,1-8058,54,1,0,11,9.61398561578244,0.17803677066263776
425,425,425,1-7476,15,12,1-7476,22,0,0,5,3.9154480071738362,0.17797490941699257
417,417,417,1-9115,11,16,1-9115,22,0,0,5,3.9154480071738362,0.17797490941699257
154,154,154,1-9157,17,11,1-9157,89,0,0,20,15.661792028695345,0.17597519133365555
149,149,149,MLG29,22,23,MLG29,93,14,0,3,16.3492688043043,0.17579858929359465
517,517,517,MLG77,17,11,MLG77,9,0,0,2,1.5661792028695345,0.17401991142994827
458,458,458,1-8747,17,11,1-8747,18,0,0,4,3.132358405739069,0.17401991142994827
298,298,298,1-0584,23,21,1-0584,41,4,0,4,7.132358405739069,0.17395996111558704
471,471,471,1-9396,1,6,1-9396,16,2,0,1,2.7830896014347672,0.17394310008967295
370,370,370,1-7647,23,21,1-7647,30,2,0,4,5.132358405739069,0.17107861352463563
167,167,167,MLG32,22,23,MLG32,79,8,0,7,13.48162721004337,0.17065350898789078
213,213,213,1-10043,17,23,1-10043,61,4,0,8,10.264716811478138,0.16827404608980553
445,445,445,1-2028,15,4,1-2028,20,1,0,3,3.3492688043043017,0.1674634402152151
177,177,177,1-19121,23,21,1-19121,75,3,0,12,12.397075217217207,0.16529433622956277
234,234,234,1-10800,17,11,1-10800,55,2,0,9,9.047806412912905,0.16450557114387102
343,343,343,1-11132,16,20,1-11132,34,4,0,2,5.5661792028695345,0.16371115302557454
460,460,460,1-7083,1,6,1-7083,17,2,0,1,2.7830896014347672,0.16371115302557454
463,463,463,1-9522,20,8,1-9522,17,2,0,1,2.7830896014347672,0.16371115302557454
344,344,344,1-7781,13,14,1-7781,33,3,0,3,5.349268804304302,0.16209905467588792
509,509,509,1-0337,4,1,1-0337,11,1,0,1,1.7830896014347672,0.16209905467588792
281,281,281,1-7622,10,17,1-7622,45,1,0,8,7.264716811478138,0.16143815136618084
150,150,150,1-7539,14,13,1-7539,91,2,0,16,14.529433622956276,0.15966410574677226
40,40,40,1-1070,11,16,1-1070,280,16,0,36,44.19122565165162,0.15782580589875578
231,231,231,1-8044,14,13,1-8044,56,1,0,10,8.830896014347672,0.15769457168477988
404,404,404,1-6559,1,6,1-6559,24,3,0,1,3.7830896014347672,0.1576287333931153
137,137,137,1-3135,14,13,1-3135,101,1,0,19,15.878702427260578,0.15721487551743146
395,395,395,1-1958,7,3,1-1958,25,0,0,5,3.9154480071738362,0.15661792028695345
545,545,545,1-9935,1,6,1-9935,5,0,0,1,0.7830896014347672,0.15661792028695345
437,437,437,1-11533,8,18,1-11533,20,0,0,4,3.132358405739069,0.15661792028695345
541,541,541,1-19192,18,9,1-19192,5,0,0,1,0.7830896014347672,0.15661792028695345
255,255,255,1-3302,2,5,1-3302,52,5,0,4,8.132358405739069,0.1563915078026744
71,71,71,MLG45,22,23,MLG45,179,24,0,5,27.915448007173836,0.15595222350376445
263,263,263,1-7464,12,15,1-7464,48,2,0,7,7.481627210043371,0.15586723354257023
39,39,39,1-7172,1,6,1-7172,284,26,0,23,44.01106083299965,0.15496852405985792
363,363,363,1-10294,15,12,1-10294,30,3,0,2,4.5661792028695345,0.15220597342898448
362,362,362,MLG40,22,23,MLG40,30,3,0,2,4.5661792028695345,0.15220597342898448
