Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-6168,11,16,1-6168,31,5,0,6,5.361194111406803,0.1729417455292517
1-19884,4,9,1-19884,60,9,0,20,10.20398037135601,0.17006633952260017
1-7057,22,8,1-7057,105,16,0,30,17.805970557034016,0.16958067197175253
1-7625,4,21,1-7625,76,12,0,12,12.722388222813606,0.16739984503702113
MLG74,4,9,MLG74,177,29,0,9,29.541791167110205,0.16690277495542488
1-1530,16,10,1-1530,632,95,0,171,105.29403217509389,0.1666044812897055
MLG38,4,9,MLG38,26,4,0,5,4.300995092839003,0.16542288818611547
1-0582,9,3,1-0582,70,11,0,9,11.541791167110205,0.16488273095871722
1-2292,18,22,1-2292,252,40,0,25,41.50497546419501,0.16470228358807545
1-7776,4,9,1-7776,26,4,0,4,4.240796074271202,0.16310754131812316
1-3056,7,2,1-3056,250,40,0,11,40.662189204245806,0.16264875681698324
1-3254,3,7,1-3254,68,10,0,15,10.902985278517008,0.16033801880172072
1-1514,9,12,1-1514,64,9,0,19,10.14378135278821,0.15849658363731578
1-1136,3,7,1-1136,113,17,0,15,17.902985278517008,0.15843349803997353
1-11523,19,10,1-11523,24,3,0,13,3.782587241381407,0.15760780172422528
MLG51,22,8,MLG51,99,12,0,59,15.55174209550023,0.15708830399495183
7W2-0103,4,17,7W2-0103,33,5,0,3,5.180597055703402,0.15698778956676973
1-8044,16,10,1-8044,56,8,0,13,8.782587241381407,0.15683191502466798
1-9182,10,22,1-9182,28,4,0,6,4.361194111406803,0.15575693255024298
1-7429,20,21,1-7429,33,5,0,2,5.120398037135601,0.155163576882897
1-0997,17,11,1-0997,33,5,0,2,5.120398037135601,0.155163576882897
MLG55,8,4,MLG55,110,13,0,67,17.033334244042635,0.15484849312766033
1-7901,8,4,1-7901,298,42,0,65,45.912936206907034,0.15407025572787594
1-5819,7,16,1-5819,23,3,0,9,3.5417911671102047,0.15399092030913933
1-9259,19,15,1-9259,13,2,0,0,2.0,0.15384615384615385
1-2272,15,17,1-2272,412,62,0,18,63.08358233422041,0.15311549110247671
1-7715,16,10,1-7715,20,3,0,1,3.0601990185678005,0.15300995092839004
1-3496,10,5,1-3496,192,27,0,37,29.22736368700862,0.15222585253650323
1-8986,10,5,1-8986,57,8,0,11,8.662189204245806,0.15196823165343518
1-7809,2,1,1-7809,40,6,0,1,6.0601990185678005,0.151504975464195
MLG29,22,8,MLG29,93,13,0,16,13.963184297084808,0.15014176663532053
1-3509,13,14,1-3509,150,21,0,25,22.504975464195013,0.1500331697613001
MLG26,8,4,MLG26,155,22,0,20,23.20398037135601,0.14970309917003877
1-1119,18,22,1-1119,83,12,0,7,12.421393129974604,0.14965533891535668
1-6554,12,6,1-6554,28,4,0,3,4.180597055703402,0.1493070377036929
1-4874,22,2,1-4874,224,32,0,22,33.32437840849161,0.1487695464664804
1-5655,13,14,1-5655,31,4,0,10,4.601990185678005,0.14845129631219373
1-1887,11,16,1-1887,119,16,0,26,17.565174482762814,0.14760650825851104
1-6015,4,9,1-6015,8,1,0,3,1.1805970557034016,0.1475746319629252
1-1636,21,13,1-1636,22,3,0,4,3.240796074271202,0.14730891246687283
1-9267,21,13,1-9267,14,2,0,1,2.0601990185678005,0.14715707275484288
MLG70,22,8,MLG70,269,29,0,174,39.47462923079729,0.14674583357173715
1-0917,8,4,1-0917,134,19,0,10,19.601990185678005,0.14628350884834332
MLG62,17,11,MLG62,370,50,0,68,54.093533262610435,0.14619873854759577
1-2364,13,14,1-2364,88,12,0,14,12.842786259949207,0.14594075295396827
MLG57,14,3,MLG57,165,22,0,33,23.986567612737417,0.14537313704689345
MLG32,22,8,MLG32,79,11,0,7,11.421393129974604,0.144574596581957
1-3733,16,10,1-3733,16,2,0,5,2.3009950928390026,0.14381219330243766
1-9600,15,17,1-9600,7,1,0,0,1.0,0.14285714285714285
1-6816,21,13,1-6816,14,2,0,0,2.0,0.14285714285714285
1-2523,13,14,1-2523,14,2,0,0,2.0,0.14285714285714285
1-8090,21,13,1-8090,14,2,0,0,2.0,0.14285714285714285
1-7655,13,14,1-7655,38,5,0,7,5.421393129974604,0.14266824026248956
MLG14,16,10,MLG14,462,53,0,211,65.70199291780591,0.14221210588269678
1-8754,3,7,1-8754,108,14,0,22,15.324378408491611,0.14189239267121861
1-3469,15,13,1-3469,40,4,0,27,5.625373501330614,0.14063433753326535
1-9499,20,15,1-9499,36,5,0,1,5.0601990185678005,0.14056108384910557
1-3369,16,10,1-3369,8,1,0,2,1.120398037135601,0.14004975464195013
1-8914,12,22,1-8914,25,3,0,8,3.481592148542404,0.13926368594169616
1-7987,18,17,1-7987,23,3,0,3,3.1805970557034016,0.13828682850884355
1-7453,8,11,1-7453,24,3,0,5,3.3009950928390026,0.1375414622016251
1-6199,5,23,1-6199,30,4,0,2,4.120398037135601,0.13734660123785336
1-8916,19,15,1-8916,61,8,0,6,8.361194111406803,0.1370687559247017
1-9115,15,17,1-9115,22,3,0,0,3.0,0.13636363636363635
1-3693,1,18,1-3693,143,17,0,40,19.40796074271202,0.13572000519379035
1-8808,22,9,1-8808,52,6,0,17,7.023383315652609,0.13506506376255017
1-3037,19,15,1-3037,467,60,0,40,62.40796074271202,0.13363589024135336
1-3174,2,1,1-3174,117,15,0,9,15.541791167110205,0.13283582194111285
1-9466,7,2,1-9466,8,1,0,1,1.0601990185678005,0.13252487732097507
1-6511,4,9,1-6511,144,17,0,34,19.046766631305218,0.13226921271739733
1-7946,10,5,1-7946,289,35,0,51,38.07014994695783,0.1317306226538333
1-5109,19,15,1-5109,37,4,0,14,4.842786259949207,0.13088611513376236
1-6501,6,20,1-6501,107,12,0,32,13.926368594169617,0.1301529775156039
1-10960,3,7,1-10960,82,9,0,26,10.565174482762814,0.12884359125320505
1-18266,4,9,1-18266,55,6,0,18,7.083582334220409,0.12879240607673473
1-11388,3,7,1-11388,28,3,0,10,3.601990185678005,0.12864250663135732
1-7781,12,6,1-7781,33,4,0,4,4.240796074271202,0.12850897194761218
1-6543,3,7,1-6543,36,4,0,10,4.601990185678005,0.12783306071327794
