Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-1530,13,11,1-1530,632,97,0,81,173.63318240642548,0.2747360481114327
1-6506,9,3,1-6506,70,5,0,15,19.191330075263977,0.27416185821805683
1-8090,6,9,1-8090,14,1,0,3,3.8382660150527954,0.27416185821805683
1-7946,12,8,1-7946,289,25,0,57,78.92705428600311,0.27310399406921493
1-8735,12,8,1-8735,52,0,0,15,14.191330075263977,0.27291019375507647
1-8753,14,4,1-8753,258,38,0,34,70.16701483726501,0.2719651737878489
1-5228,7,15,1-5228,180,30,0,20,48.9217734336853,0.2717876301871406
1-4011,3,21,1-4011,246,10,0,60,66.76532030105591,0.27140374106120285
1-8611,7,15,1-8611,621,100,0,72,168.1183843612671,0.2707220360084816
1-9454,2,14,1-9454,80,15,0,7,21.622620701789856,0.2702827587723732
1-8162,3,21,1-8162,22,5,0,1,5.946088671684265,0.27027675780383026
1-8564,3,21,1-8564,185,12,0,40,49.843546867370605,0.2694245776614627
1-5185,22,19,1-5185,59,13,0,3,15.838266015052795,0.2684451866958101
1-20040,9,3,1-20040,22,4,0,2,5.89217734336853,0.26782624288038775
MLG22,18,2,MLG22,33,6,0,3,8.838266015052795,0.26782624288038775
7W2-0103,1,17,7W2-0103,33,6,0,3,8.838266015052795,0.26782624288038775
1-8678,14,4,1-8678,74,12,0,8,19.56870937347412,0.2644420185604611
1-8711,11,13,1-8711,48,6,0,7,12.622620701789856,0.262971264620622
1-6591,19,2,1-6591,79,16,0,5,20.730443358421326,0.26241067542305474
1-1005,13,11,1-1005,122,31,0,1,31.946088671684265,0.2618531858334776
1-1166,16,18,1-1166,118,11,0,21,30.867862105369568,0.26159205174042005
1-3496,13,11,1-3496,192,15,0,37,50.00528085231781,0.2604441711058219
1-8567,3,21,1-8567,388,40,0,64,100.54967498779297,0.25914864687575506
1-7499,21,20,1-7499,26,2,0,5,6.730443358421326,0.2588632060931279
1-5819,14,4,1-5819,23,5,0,1,5.946088671684265,0.258525594421055
1-8126,4,13,1-8126,34,5,0,4,8.78435468673706,0.25836337313932534
