Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
455,455,455,455,1-10981,5,10,1-10981,34,11,0,7,14.579270005226135,0.4288020589772393
211,211,211,211,1-7187,7,3,1-7187,96,12,0,57,41.14548432826996,0.4285987950861454
430,430,430,430,1-8718,5,10,1-8718,333,99,0,85,142.4625643491745,0.4278155085560796
336,336,336,336,1-8678,17,8,1-8678,74,26,0,11,31.62456715106964,0.42735901555499517
155,155,155,155,1-7462,5,10,1-7462,336,79,0,123,141.8928872346878,0.42230025962704704
195,195,195,195,1-3079,3,13,1-3079,34,0,0,28,14.317080020904541,0.42109058885013356
519,519,519,519,1-10800,6,7,1-10800,55,17,0,12,23.135891437530518,0.42065257159146396
358,358,358,358,MLG18,20,4,MLG18,72,22,0,16,30.181188583374023,0.4191831747690837
413,413,413,413,1-1763,10,17,1-1763,35,13,0,3,14.53397285938263,0.41525636741093225
454,454,454,454,1-6678,10,17,1-6678,213,28,0,118,88.33626580238342,0.4147242525933494
397,397,397,397,1-6492,11,14,1-6492,48,2,0,35,19.896350026130676,0.41450729221105576
395,395,395,395,1-18620,21,16,1-18620,60,11,0,27,24.805755734443665,0.41342926224072774
536,536,536,536,1-1964,15,12,1-1964,48,7,0,25,19.78310716152191,0.4121480658650398
369,369,369,369,1-8564,6,7,1-8564,185,35,0,80,75.90594291687012,0.4103023941452439
142,142,142,142,MLG17,14,6,MLG17,76,23,0,16,31.181188583374023,0.4102787971496582
398,398,398,398,MLG65,20,4,MLG65,155,47,0,32,63.36237716674805,0.4087895301080519
495,495,495,495,1-5515,6,7,1-5515,30,2,0,20,12.22648572921753,0.407549524307251
258,258,258,258,1-4654,9,9,1-4654,138,26,0,59,56.16813290119171,0.40701545580573706
246,246,246,246,1-9232,13,5,1-9232,20,5,0,6,8.067945718765259,0.40339728593826296
51,51,51,51,1-8981,8,15,1-8981,15,5,0,2,6.022648572921753,0.4015099048614502
233,233,233,233,1-8864,3,13,1-8864,39,11,0,9,15.601918578147888,0.40004919431148434
254,254,254,254,1-9230,12,2,1-9230,5,2,0,0,2.0,0.4
278,278,278,278,1-3152,6,7,1-3152,323,44,0,164,127.85718297958374,0.39584267176341714
312,312,312,312,1-3364,6,7,1-3364,121,20,0,54,47.61151146888733,0.39348356585857297
344,344,344,344,1-9294,14,6,1-9294,74,24,0,10,29.113242864608765,0.39342220087309143
275,275,275,275,1-1712,6,7,1-1712,157,32,0,58,61.656808614730835,0.39271852620847664
378,378,378,378,1-5819,10,17,1-5819,23,8,0,2,9.022648572921753,0.3922890683879023
528,528,528,528,MLG77,14,6,MLG77,9,3,0,1,3.5113242864608765,0.3901471429400974
157,157,157,157,1-2318,15,12,1-2318,13,2,0,6,5.067945718765259,0.3898419783665584
39,39,39,39,1-8567,6,7,1-8567,388,69,0,160,150.81188583374023,0.388690427406547
262,262,262,262,1-4394,21,16,1-4394,190,21,0,103,73.66640150547028,0.3877179026603699
377,377,377,377,1-7901,14,6,1-7901,298,96,0,38,115.4303228855133,0.3873500767970245
191,191,191,191,1-9285,5,10,1-9285,30,8,0,7,11.579270005226135,0.3859756668408712
345,345,345,345,1-2364,15,12,1-2364,88,20,0,27,33.805755734443665,0.38415631516413257
423,423,423,423,1-5696,8,15,1-5696,80,29,0,3,30.53397285938263,0.38167466074228285
463,463,463,463,1-8187,5,10,1-8187,29,9,0,4,11.045297145843506,0.38087231537391397
479,479,479,479,1-7809,9,9,1-7809,40,8,0,14,15.15854001045227,0.37896350026130676
67,67,67,67,1-19989,3,13,1-19989,4,1,0,1,1.5113242864608765,0.3778310716152191
546,546,546,546,1-9601,9,9,1-9601,31,4,0,15,11.669864296913147,0.3764472353842951
136,136,136,136,1-7425,9,9,1-7425,352,78,0,105,131.68905007839203,0.37411661954088643
235,235,235,235,1-3077,18,11,1-3077,41,1,0,28,15.317080020904541,0.3735873175830376
130,130,130,130,MLG32,3,13,MLG32,79,14,0,30,29.339728593826294,0.371388969542105
41,41,41,41,MLG24,3,13,MLG24,49,11,0,14,18.15854001045227,0.3705824491929035
290,290,290,290,1-0447,4,1,1-0447,65,23,0,2,24.022648572921753,0.3695792088141808
285,285,285,285,1-6727,6,7,1-6727,235,36,0,99,86.62110435962677,0.36860044408351816
526,526,526,526,1-11205,20,4,1-11205,56,17,0,7,20.579270005226135,0.3674869643790381
232,232,232,232,1-3186,9,9,1-3186,796,132,0,312,291.53317737579346,0.3662477102710973
173,173,173,173,1-7456,16,18,1-7456,32,2,0,19,11.715161442756653,0.3660987950861454
498,498,498,498,MLG38,10,17,MLG38,26,9,0,1,9.511324286460876,0.36582016486387986
166,166,166,166,1-9454,18,11,1-9454,80,18,0,22,29.249134302139282,0.365614178776741
327,327,327,327,1-4609,15,12,1-4609,7,0,0,5,2.5566214323043823,0.36523163318634033
357,357,357,357,1-7488,9,9,1-7488,65,13,0,21,23.737810015678406,0.3651970771642832
68,68,68,68,1-6533,6,7,1-6533,21,1,0,13,7.647215723991394,0.3641531297138759
565,565,565,565,1-19069,10,17,1-19069,11,4,0,0,4.0,0.36363636363636365
393,393,393,393,1-2292,2,24,1-2292,252,0,0,179,91.52704727649689,0.3632025685575273
457,457,457,457,1-9071,6,7,1-9071,75,7,0,39,26.941647171974182,0.3592219622929891
167,167,167,167,1-9287,20,4,1-9287,21,6,0,3,7.533972859382629,0.35876061235155376
29,29,29,29,1-8090,10,17,1-8090,14,4,0,2,5.022648572921753,0.35876061235155376
329,329,329,329,1-19755,7,3,1-19755,517,69,0,224,183.53664016723633,0.35500317247047647
281,281,281,281,1-8126,18,11,1-8126,34,11,0,2,12.022648572921753,0.35360731096828685
113,113,113,113,1-7647,20,4,1-7647,30,6,0,9,10.601918578147888,0.3533972859382629
131,131,131,131,MLG13,8,15,MLG13,225,38,0,81,79.417267203331,0.3529656320148044
148,148,148,148,1-2028,10,17,1-2028,20,6,0,2,7.022648572921753,0.3511324286460876
476,476,476,476,MLG01,21,16,MLG01,43,12,0,6,15.067945718765259,0.3504173422968665
295,295,295,295,1-7522,15,12,1-7522,67,4,0,38,23.430322885513306,0.3497063117240792
436,436,436,436,1-8702,5,10,1-8702,59,15,0,11,20.62456715106964,0.3495689347638922
339,339,339,339,1-7523,14,6,1-7523,79,23,0,9,27.601918578147888,0.3493913744069353
159,159,159,159,MLG36,20,4,MLG36,136,39,0,16,47.18118858337402,0.3469205042895149
137,137,137,137,1-19257,7,3,1-19257,246,28,0,111,84.75699579715729,0.3445406333217776
375,375,375,375,1-8990,6,7,1-8990,40,3,0,21,13.737810015678406,0.34344525039196017
341,341,341,341,1-0983,13,5,1-0983,195,27,0,78,66.88329434394836,0.34299125304588907
512,512,512,512,1-9121,18,11,1-9121,22,7,0,1,7.5113242864608765,0.3414238312027671
270,270,270,270,1-5655,15,12,1-5655,31,7,0,7,10.579270005226135,0.3412667743621334
305,305,305,305,1-7472,5,10,1-7472,12,0,0,8,4.090594291687012,0.3408828576405843
61,61,61,61,1-7306,8,15,1-7306,159,40,0,27,53.805755734443665,0.33840097946190983
473,473,473,473,1-3174,9,9,1-3174,117,22,0,34,39.3850257396698,0.3366241516211094
350,350,350,350,1-19891,21,16,1-19891,95,16,0,31,31.85105288028717,0.33527424084512814
482,482,482,482,1-11534,8,15,1-11534,12,3,0,2,4.022648572921753,0.33522071441014606
109,109,109,109,1-3309,17,8,1-3309,12,3,0,2,4.022648572921753,0.33522071441014606
503,503,503,503,1-0295,9,9,1-0295,24,6,0,4,8.045297145843506,0.33522071441014606
331,331,331,331,1-9412,11,14,1-9412,15,4,0,2,5.022648572921753,0.3348432381947835
363,363,363,363,1-7993,6,7,1-7993,100,15,0,36,33.40767431259155,0.3340767431259155
544,544,544,544,1-20124,15,12,1-20124,3,1,0,0,1.0,0.3333333333333333
298,298,298,298,1-7107,13,5,1-7107,84,17,0,21,27.737810015678406,0.3302120239961715
493,493,493,493,1-3162,17,8,1-3162,35,9,0,5,11.556621432304382,0.3301891837801252
323,323,323,323,1-7946,13,5,1-7946,289,36,0,116,95.31361722946167,0.32980490390817185
104,104,104,104,1-9040,11,14,1-9040,55,12,0,12,18.135891437530518,0.329743480682373
499,499,499,499,1-3135,13,5,1-3135,101,22,0,22,33.24913430213928,0.3291993495261315
