Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
130,130,130,130,MLG32,3,3,MLG32,79,17,0,29,38.30666196346283,0.4848944552337067
503,503,503,503,1-0295,9,19,1-0295,24,2,0,13,11.551262259483337,0.48130259414513904
399,399,399,399,1-8087,3,3,1-8087,58,11,0,23,27.89838707447052,0.48100667369776756
46,46,46,46,1-3056,5,9,1-3056,250,69,0,69,119.69516122341156,0.47878064489364625
142,142,142,142,MLG17,14,2,MLG17,76,18,0,25,36.36781203746796,0.4785238425982626
239,239,239,239,1-1136,4,14,1-1136,113,9,0,61,53.817461371421814,0.476260720101078
148,148,148,148,1-2028,10,11,1-2028,20,8,0,2,9.469424962997437,0.47347124814987185
321,321,321,321,MLG30,3,3,MLG30,66,18,0,18,31.22482466697693,0.473103404045105
147,147,147,147,1-7172,7,16,1-7172,284,45,0,121,133.9002102613449,0.4714796135962849
174,174,174,174,1-6568,13,10,1-6568,394,63,0,167,185.69698441028595,0.4713121431733146
398,398,398,398,MLG65,20,17,MLG65,155,28,0,61,72.81746137142181,0.4697900733640117
481,481,481,481,1-19851,18,8,1-19851,25,11,0,1,11.734712481498718,0.46938849925994874
478,478,478,478,1-8916,11,6,1-8916,61,12,0,22,28.1636745929718,0.461699583491341
459,459,459,459,1-8284,3,3,1-8284,48,17,0,7,22.142987370491028,0.46131223688522977
90,90,90,90,MLG83,17,18,MLG83,88,25,0,21,40.42896211147308,0.4594200239940123
323,323,323,323,1-7946,13,10,1-7946,289,75,0,77,131.5728610754013,0.4552694154858177
300,300,300,300,1-7083,17,18,1-7083,17,7,0,1,7.734712481498718,0.45498308714698343
225,225,225,225,1-17970,5,9,1-17970,36,9,0,10,16.347124814987183,0.4540868004163106
430,430,430,430,1-8718,5,9,1-8718,333,99,0,71,151.164586186409,0.45394770626549247
152,152,152,152,1-1530,13,10,1-1530,632,122,0,222,285.10617089271545,0.45111735900746114
451,451,451,451,1-7146,14,2,1-7146,18,8,0,0,8.0,0.4444444444444444
20,20,20,20,1-3141,1,21,1-3141,14,4,0,3,6.204137444496155,0.4431526746068682
156,156,156,156,1-2322,11,6,1-2322,14,4,0,3,6.204137444496155,0.4431526746068682
238,238,238,238,1-7444,9,19,1-7444,14,1,0,7,6.142987370491028,0.4387848121779306
211,211,211,211,1-7187,7,16,1-7187,96,12,0,41,42.12321174144745,0.4387834556400776
233,233,233,233,1-8864,3,3,1-8864,39,9,0,11,17.0818372964859,0.4379958281150231
270,270,270,270,1-5655,15,7,1-5655,31,4,0,13,13.551262259483337,0.437137492241398
385,385,385,385,MLG70,19,24,MLG70,269,0,0,160,117.55399703979492,0.43700370646763914
61,61,61,61,1-7306,8,5,1-7306,159,40,0,40,69.38849925994873,0.436405655722948
507,507,507,507,1-19067,10,11,1-19067,8,2,0,2,3.4694249629974365,0.43367812037467957
559,559,559,559,1-9466,20,17,1-9466,8,2,0,2,3.4694249629974365,0.43367812037467957
440,440,440,440,1-9197,20,17,1-9197,16,4,0,4,6.938849925994873,0.43367812037467957
248,248,248,248,1-19068,4,14,1-19068,77,4,0,40,33.38849925994873,0.43361687350582767
155,155,155,155,1-7462,5,9,1-7462,336,45,0,137,145.6556099653244,0.4334988391825131
51,51,51,51,1-8981,8,5,1-8981,15,5,0,2,6.4694249629974365,0.4312949975331624
294,294,294,294,1-3051,4,14,1-3051,116,5,0,61,49.817461371421814,0.42946087389156734
395,395,395,395,1-18620,21,4,1-18620,60,8,0,24,25.63309955596924,0.42721832593282066
344,344,344,344,1-9294,14,2,1-9294,74,19,0,17,31.49011218547821,0.42554205656051636
449,449,449,449,1-10960,4,14,1-10960,82,6,0,38,33.919074296951294,0.4136472475237963
465,465,465,465,1-8053,4,14,1-8053,55,8,0,20,22.694249629974365,0.41262272054498844
214,214,214,214,1-19859,18,8,1-19859,12,2,0,4,4.938849925994873,0.41157082716623944
537,537,537,537,1-9499,4,14,1-9499,36,6,0,12,14.81654977798462,0.41157082716623944
358,358,358,358,MLG18,20,17,MLG18,72,23,0,9,29.612412333488464,0.4112835046317842
350,350,350,350,1-19891,21,4,1-19891,95,22,0,23,38.89838707447052,0.4094567060470581
460,460,460,460,1-8044,13,10,1-8044,56,11,0,16,22.755399703979492,0.4063464232853481
431,431,431,431,1-9115,5,9,1-9115,22,6,0,4,8.938849925994873,0.4063113602724942
484,484,484,484,MLG35,3,3,MLG35,44,12,0,8,17.877699851989746,0.4063113602724942
286,286,286,286,1-7725,9,19,1-7725,90,3,0,45,36.06206166744232,0.40068957408269246
282,282,282,282,1-7711,5,9,1-7711,8,1,0,3,3.204137444496155,0.40051718056201935
409,409,409,409,1-7297,20,17,1-7297,13,3,0,3,5.204137444496155,0.4003182649612427
542,542,542,542,1-5287,5,9,1-5287,18,5,0,3,7.204137444496155,0.40022985802756417
80,80,80,80,1-21411,1,21,1-21411,5,2,0,0,2.0,0.4
183,183,183,183,1-18927,17,18,1-18927,30,12,0,0,12.0,0.4
254,254,254,254,1-9230,12,15,1-9230,5,2,0,0,2.0,0.4
304,304,304,304,1-10294,17,18,1-10294,30,9,0,4,11.938849925994873,0.3979616641998291
415,415,415,415,1-7872,11,6,1-7872,124,30,0,26,49.102524518966675,0.3959881009594087
379,379,379,379,1-5228,4,14,1-5228,180,11,0,82,71.2464234828949,0.39581346379386056
455,455,455,455,1-10981,5,9,1-10981,34,9,0,6,13.40827488899231,0.39436102614683266
50,50,50,50,MLG14,20,17,MLG14,462,87,0,129,181.77791011333466,0.39345867989899275
453,453,453,453,MLG45,7,16,MLG45,179,37,0,45,70.06206166744232,0.3914081657399012
555,555,555,555,1-20068,14,2,1-20068,45,11,0,9,17.612412333488464,0.3913869407441881
345,345,345,345,1-2364,15,7,1-2364,88,19,0,21,34.42896211147308,0.39123820581219415
423,423,423,423,1-5696,8,5,1-5696,80,29,0,3,31.204137444496155,0.3900517180562019
269,269,269,269,1-5271,3,3,1-5271,12,1,0,5,4.673562407493591,0.38946353395779926
416,416,416,416,1-3246,10,11,1-3246,116,40,0,7,45.14298737049103,0.38916368422837094
56,56,56,56,1-8924,3,3,1-8924,40,3,0,17,15.49011218547821,0.3872528046369553
329,329,329,329,1-19755,7,16,1-19755,517,69,0,178,199.77882170677185,0.38641938434578693
480,480,480,480,1-1514,7,16,1-1514,64,10,0,20,24.694249629974365,0.38584765046834946
244,244,244,244,1-3099,3,3,1-3099,9,2,0,2,3.4694249629974365,0.38549166255527073
512,512,512,512,1-9121,18,8,1-9121,22,7,0,2,8.469424962997437,0.38497386195442895
262,262,262,262,1-4394,21,4,1-4394,190,27,0,62,72.55217385292053,0.3818535465943186
378,378,378,378,1-5819,10,11,1-5819,23,8,0,1,8.734712481498718,0.3797701078912486
