Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
58,58,58,58,58,MLG53,16,22,MLG53,216,29,0,64,83.78725051879883,0.3879039375870316
207,207,207,207,207,1-7488,5,17,1-7488,65,8,0,20,25.121015787124634,0.3864771659557636
11,11,11,11,11,1-19755,1,7,1-19755,517,20,0,208,198.0585641860962,0.38309200035995394
452,452,452,452,452,1-0487,5,17,1-0487,18,0,0,8,6.8484063148498535,0.3804670174916585
14,14,14,14,14,1-3037,3,15,1-3037,467,46,0,152,176.11971998214722,0.3771300213750476
368,368,368,368,368,1-18927,1,7,1-18927,30,1,0,12,11.27260947227478,0.37575364907582604
69,69,69,69,69,1-8564,17,5,1-8564,185,7,0,73,69.49170762300491,0.3756308520162428
238,238,238,238,238,MLG20,7,20,MLG20,55,12,0,10,20.560507893562317,0.3738274162465876
325,325,325,325,325,1-6543,22,23,1-6543,36,10,0,4,13.424203157424927,0.3728945321506924
348,348,348,348,348,1-0997,7,20,1-0997,33,8,0,5,12.280253946781158,0.3721289074782169
76,76,76,76,76,1-7518,12,11,1-7518,169,32,0,36,62.81782841682434,0.37170312672677125
449,449,449,449,449,1-5154,1,7,1-5154,19,1,0,7,6.992355525493622,0.3680187118680854
377,377,377,377,377,1-10305,19,3,1-10305,28,0,0,12,10.27260947227478,0.3668789097240993
489,489,489,489,489,MLG05,1,7,MLG05,14,0,0,6,5.13630473613739,0.3668789097240993
111,111,111,111,111,1-1887,19,3,1-1887,119,11,0,38,43.529929995536804,0.36579773105493113
138,138,138,138,138,1-7993,17,5,1-7993,100,10,0,31,36.53757447004318,0.3653757447004318
525,525,525,525,525,1-19067,9,21,1-19067,8,2,0,1,2.8560507893562317,0.35700634866952896
350,350,350,350,350,1-3491,16,22,1-3491,33,4,0,9,11.704457104206085,0.3546805183092753
358,358,358,358,358,1-5655,15,14,1-5655,31,5,0,7,10.992355525493622,0.3545921137256007
153,153,153,153,153,1-8666,14,13,1-8666,89,3,0,33,31.249676048755646,0.351119955603996
23,23,23,23,23,1-8567,17,5,1-8567,388,30,0,124,136.15029788017273,0.35090282958807406
342,342,342,342,342,1-18987,19,3,1-18987,34,4,0,9,11.704457104206085,0.3442487383590025
542,542,542,542,542,1-9230,1,7,1-9230,5,0,0,2,1.7121015787124634,0.34242031574249265
371,371,371,371,371,1-9253,1,7,1-9253,30,0,0,12,10.27260947227478,0.34242031574249265
208,208,208,208,208,1-6214,10,9,1-6214,65,0,0,26,22.257320523262024,0.34242031574249265
334,334,334,334,334,1-9063,1,7,1-9063,35,0,0,14,11.984711050987244,0.34242031574249265
30,30,30,30,30,1-8718,4,16,1-8718,333,83,0,36,113.81782841682434,0.34179528053100405
413,413,413,413,413,1-5819,19,3,1-5819,23,1,0,8,7.8484063148498535,0.34123505716738495
95,95,95,95,95,1-9100,10,9,1-9100,142,14,0,40,48.24203157424927,0.3397326167200653
297,297,297,297,297,1-6101,16,22,1-6101,41,1,0,15,13.840761840343475,0.3375795570815482
180,180,180,180,180,1-9294,15,14,1-9294,74,18,0,8,24.848406314849854,0.335789274524998
178,178,178,178,178,1-9071,17,5,1-9071,75,2,0,27,25.113371312618256,0.33484495083491006
279,279,279,279,279,1-20068,14,13,1-20068,45,3,0,14,14.984711050987244,0.33299357891082765
39,39,39,39,39,1-7172,1,7,1-7172,284,13,0,95,94.32482498884201,0.33212966545366907
492,492,492,492,492,1-7297,8,19,1-7297,13,0,0,5,4.2802539467811584,0.3292503035985507
128,128,128,128,128,1-18045,10,9,1-18045,109,5,0,36,35.81782841682434,0.3286039304295811
6,6,6,6,6,1-3026,3,15,1-3026,570,37,0,172,184.24073576927185,0.32322936099872257
165,165,165,165,165,1-8368,5,17,1-8368,80,12,0,16,25.696812629699707,0.32121015787124635
316,316,316,316,316,1-3216,1,7,1-3216,38,1,0,13,12.128660261631012,0.31917527004292134
236,236,236,236,236,1-8053,2,8,1-8053,55,3,0,17,17.55286341905594,0.3191429712555625
94,94,94,94,94,1-3693,11,10,1-3693,143,23,0,26,45.257320523262024,0.31648475890393024
36,36,36,36,36,MLG67,19,3,MLG67,293,29,0,74,92.34775841236115,0.315180062840823
437,437,437,437,437,1-11533,8,19,1-11533,20,2,0,5,6.2802539467811584,0.3140126973390579
59,59,59,59,59,1-0916,19,3,1-0916,215,1,0,77,66.91591078042984,0.31123679432758067
240,240,240,240,240,1-10808,2,8,1-10808,54,2,0,17,16.55286341905594,0.30653450776029517
172,172,172,172,172,1-19068,13,12,1-19068,77,15,0,10,23.560507893562317,0.3059806219943158
51,51,51,51,51,1-9365,19,3,1-9365,243,11,0,74,74.34775841236115,0.3059578535488113
428,428,428,428,428,1-5221,9,21,1-5221,21,3,0,4,6.424203157424927,0.3059144360678537
488,488,488,488,488,1-2322,1,7,1-2322,14,0,0,5,4.2802539467811584,0.3057324247700827
315,315,315,315,315,1-6764,22,23,1-6764,38,9,0,3,11.568152368068695,0.30442506231759725
46,46,46,46,46,1-3056,4,16,1-3056,250,40,0,42,75.95413315296173,0.30381653261184693
174,174,174,174,174,MLG17,8,19,MLG17,76,5,0,21,22.977066576480865,0.30232982337474823
332,332,332,332,332,1-3162,22,23,1-3162,35,2,0,10,10.560507893562317,0.30172879695892335
447,447,447,447,447,1-9473,19,3,1-9473,20,0,0,7,5.992355525493622,0.2996177762746811
343,343,343,343,343,1-11132,16,22,1-11132,34,5,0,6,10.13630473613739,0.29812660988639383
113,113,113,113,113,1-7971,17,5,1-7971,117,4,0,36,34.81782841682434,0.2975882770668747
503,503,503,503,503,1-11534,3,15,1-11534,12,1,0,3,3.568152368068695,0.29734603067239124
96,96,96,96,96,1-7402,10,9,1-7402,141,4,0,44,41.666234731674194,0.2955052108629376
103,103,103,103,103,1-2275,14,13,1-2275,130,11,0,32,38.393625259399414,0.295335578918457
271,271,271,271,271,1-5568,17,5,1-5568,47,1,0,15,13.840761840343475,0.2944842944753931
15,15,15,15,15,MLG14,8,19,MLG14,462,21,0,134,135.71080577373505,0.29374633284358237
445,445,445,445,445,1-2028,15,14,1-2028,20,5,0,1,5.856050789356232,0.2928025394678116
54,54,54,54,54,MLG66,1,7,MLG66,229,8,0,68,66.21145367622375,0.2891329854856933
112,112,112,112,112,1-1166,1,7,1-1166,118,5,0,34,34.10572683811188,0.28903158337382945
154,154,154,154,154,1-9157,17,5,1-9157,89,0,0,30,25.68152368068695,0.2885564458504152
118,118,118,118,118,1-3051,12,11,1-3051,116,6,0,32,33.393625259399414,0.28787607982240876
64,64,64,64,64,1-0983,14,13,1-0983,195,9,0,55,56.08279341459274,0.2876040687927833
255,255,255,255,255,1-3302,2,8,1-3302,52,8,0,8,14.848406314849854,0.2855462752855741
192,192,192,192,192,1-3254,6,18,1-3254,68,10,0,11,19.41655868291855,0.28553762768997865
403,403,403,403,403,1-9436,8,19,1-9436,24,0,0,8,6.8484063148498535,0.2853502631187439
269,269,269,269,269,1-1964,11,10,1-1964,48,0,0,16,13.696812629699707,0.2853502631187439
68,68,68,68,68,1-0677,10,9,1-0677,187,10,0,50,52.802539467811584,0.2823665212182438
106,106,106,106,106,1-7872,7,20,1-7872,124,29,0,7,34.99235552549362,0.28219641552817437
164,164,164,164,164,1-9454,13,12,1-9454,80,14,0,10,22.560507893562317,0.28200634866952895
66,66,66,66,66,1-3496,14,13,1-3496,192,10,0,51,53.658590257167816,0.27947182425608236
115,115,115,115,115,1-3174,5,17,1-3174,117,19,0,16,32.69681262969971,0.2794599370059804
224,224,224,224,224,1-8087,16,22,1-8087,58,5,0,13,16.128660261631012,0.2780803493384657
4,4,4,4,4,1-1530,14,13,1-1530,632,33,0,166,175.10443103313446,0.27706397315369374
202,202,202,202,202,1-1367,14,13,1-1367,66,8,0,12,18.27260947227478,0.2768577192768906
170,170,170,170,170,1-9291,12,11,1-9291,78,7,0,17,21.55286341905594,0.27631876178276843
243,243,243,243,243,1-9542,9,21,1-9542,54,8,0,8,14.848406314849854,0.27497048731203433
104,104,104,104,104,MLG64,2,8,MLG64,129,20,0,18,35.40891420841217,0.2744877070419548
218,218,218,218,218,1-9351,1,7,1-9351,60,5,0,13,16.128660261631012,0.26881100436051686
352,352,352,352,352,1-8853,5,17,1-8853,33,2,0,8,8.848406314849854,0.2681335246924198
187,187,187,187,187,MLG82,16,22,MLG82,71,7,0,14,18.984711050987244,0.26739029649277807
47,47,47,47,47,1-1035,11,10,1-1035,249,34,0,37,65.67387920618057,0.2637505189003236
20,20,20,20,20,1-0708,11,10,1-0708,408,25,0,96,107.18087577819824,0.2626982249465643
117,117,117,117,117,1-3246,2,8,1-3246,116,21,0,11,30.41655868291855,0.2622117127837806
0,0,0,0,0,1-3186,5,17,1-3186,796,63,0,170,208.5286341905594,0.26197064596803943
184,184,184,184,184,MLG18,3,15,MLG18,72,12,0,8,18.848406314849854,0.2617834210395813
168,168,168,168,168,1-7523,14,13,1-7523,79,4,0,19,20.264964997768402,0.2565185442755494
242,242,242,242,242,1-18469,3,15,1-18469,54,1,0,15,13.840761840343475,0.2563104044508051
67,67,67,67,67,1-4394,21,1,1-4394,190,3,0,53,48.37069183588028,0.2545825886098962
546,546,546,546,546,1-7834,16,22,1-7834,4,1,0,0,1.0,0.25
