Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
484,484,MLG35,3,8,MLG35,44,11,0,20,12.748787611722946,0.28974517299370334
20,20,1-3141,1,21,1-3141,14,4,0,0,4.0,0.2857142857142857
131,131,MLG13,8,6,MLG13,225,61,0,37,64.23525708168745,0.28549003147416646
430,430,1-8718,5,11,1-8718,333,81,0,157,94.72798275202513,0.28446841667274814
331,331,1-9412,11,7,1-9412,15,4,0,2,4.174878761172295,0.2783252507448196
38,38,1-10018,8,6,1-10018,40,11,0,1,11.087439380586147,0.2771859845146537
506,506,1-3302,12,2,1-3302,52,14,0,4,14.34975752234459,0.27595687542970365
535,535,1-9253,5,11,1-9253,30,8,0,2,8.174878761172295,0.27249595870574317
67,67,1-19989,3,8,1-19989,4,1,0,1,1.0874393805861473,0.2718598451465368
149,149,1-9621,11,7,1-9621,4,1,0,1,1.0874393805861473,0.2718598451465368
437,437,1-19093,6,13,1-19093,36,9,0,9,9.786954425275326,0.2718598451465368
176,176,1-7356,5,11,1-7356,4,1,0,1,1.0874393805861473,0.2718598451465368
514,514,1-6764,3,8,1-6764,38,10,0,2,10.174878761172295,0.26775996739927094
6,6,MLG58,3,8,MLG58,66,17,0,6,17.524636283516884,0.26552479217449826
377,377,1-7901,14,12,1-7901,298,73,0,64,78.59612035751343,0.2637453703272263
455,455,1-10981,5,11,1-10981,34,8,0,11,8.96183318644762,0.2635833290131653
275,275,1-1712,6,13,1-1712,157,37,0,47,41.10965088754892,0.2618449101117766
204,204,1-3509,14,12,1-3509,150,38,0,14,39.22415132820606,0.2614943421880404
282,282,1-7711,5,11,1-7711,8,2,0,1,2.0874393805861473,0.2609299225732684
83,83,1-1152,3,8,1-1152,112,25,0,48,29.19709026813507,0.2606883059654917
391,391,1-8165,14,12,1-8165,420,87,0,251,108.94728452712297,0.25939829649314994
50,50,MLG14,20,4,MLG14,462,115,0,50,119.37196902930737,0.2583808853448211
513,513,1-7453,12,2,1-7453,24,6,0,2,6.174878761172295,0.2572866150488456
399,399,1-8087,3,8,1-8087,58,14,0,9,14.786954425275326,0.2549474900909539
47,47,MLG15,12,2,MLG15,559,140,0,25,142.18598451465368,0.2543577540512588
345,345,1-2364,15,9,1-2364,88,20,0,27,22.360863275825977,0.25410071904347703
491,491,MLG51,10,14,MLG51,99,25,0,1,25.087439380586147,0.2534084785917793
150,150,P1-0004,3,8,P1-0004,60,15,0,2,15.174878761172295,0.2529146460195382
346,346,1-10823,16,15,1-10823,10,2,0,6,2.524636283516884,0.2524636283516884
431,431,1-9115,5,11,1-9115,22,5,0,6,5.524636283516884,0.25111983106894925
573,573,1-3100,3,8,1-3100,4,1,0,0,1.0,0.25
189,189,1-7834,3,8,1-7834,4,1,0,0,1.0,0.25
562,562,1-3142,8,6,1-3142,4,1,0,0,1.0,0.25
41,41,MLG24,3,8,MLG24,49,11,0,14,12.224151328206062,0.249472476085838
505,505,1-7936,7,3,1-7936,59,14,0,8,14.699515044689178,0.24914432279134202
23,23,1-11189,10,14,1-11189,53,13,0,2,13.174878761172295,0.2485826181353263
119,119,1-7476,18,10,1-7476,22,5,0,5,5.4371969029307365,0.24714531376957893
270,270,1-5655,15,9,1-5655,31,7,0,7,7.612075664103031,0.24555082787429133
375,375,1-8990,6,13,1-8990,40,9,0,9,9.786954425275326,0.24467386063188315
278,278,1-3152,6,13,1-3152,323,73,0,67,78.85843849927187,0.24414377244356616
128,128,MLG33,19,18,MLG33,161,39,0,0,39.0,0.2422360248447205
11,11,1-8750,11,7,1-8750,45,10,0,9,10.786954425275326,0.23971009833945167
