Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
518,518,518,518,518,518,1-3356,17,23,1-3356,28,0,0,19,10.708449900150299,0.38244463929108213
444,444,444,444,444,444,1-2083,15,13,1-2083,48,11,0,13,18.3268341422081,0.3818090446293354
366,366,366,366,366,366,MLG63,3,12,MLG63,543,48,0,279,205.2451327443123,0.37798366987902815
305,305,305,305,305,305,1-7472,5,15,1-7472,12,0,0,8,4.5088210105896,0.3757350842158
61,61,61,61,61,61,1-7306,8,8,1-7306,159,36,0,42,59.6713103055954,0.3752912597836189
324,324,324,324,324,324,1-3369,19,26,1-3369,8,3,0,0,3.0,0.375
270,270,270,270,270,270,1-5655,15,13,1-5655,31,7,0,8,11.5088210105896,0.37125229066418064
514,514,514,514,514,514,1-6764,3,12,1-6764,38,9,0,9,14.0724236369133,0.3703269378135079
345,345,345,345,345,345,1-2364,15,13,1-2364,88,20,0,22,32.3992577791214,0.3681733838536523
83,83,83,83,83,83,1-1152,3,12,1-1152,112,20,0,37,40.8532971739769,0.364761581910508
358,358,358,358,358,358,MLG18,20,10,MLG18,72,20,0,11,26.1996288895607,0.36388373457723194
326,326,326,326,326,326,1-9095,11,9,1-9095,16,3,0,5,5.8180131316185,0.36362582072615623
167,167,167,167,167,167,1-9287,20,10,1-9287,21,7,0,1,7.5636026263237,0.3601715536344619
142,142,142,142,142,142,MLG17,14,11,MLG17,76,15,0,21,26.8356551527977,0.3531007256947066
572,572,572,572,572,572,1-9584,4,19,1-9584,8,0,0,5,2.8180131316184998,0.35225164145231247
477,477,477,477,477,477,1-20081,12,7,1-20081,20,7,0,0,7.0,0.35
528,528,528,528,528,528,MLG77,14,11,MLG77,9,2,0,2,3.1272052526474,0.34746725029415554
451,451,451,451,451,451,1-7146,14,11,1-7146,18,4,0,4,6.2544105052948,0.34746725029415554
293,293,293,293,293,293,MLG20,19,26,MLG20,55,15,0,7,18.9452183842659,0.34445851607756184
512,512,512,512,512,512,1-9121,18,14,1-9121,22,7,0,1,7.5636026263237,0.34380011937835
465,465,465,465,465,465,1-8053,4,19,1-8053,55,0,0,33,18.5988866686821,0.33816157579421996
130,130,130,130,130,130,MLG32,3,12,MLG32,79,17,0,17,26.5812446475029,0.3364714512342139
426,426,426,426,426,426,1-7332,7,6,1-7332,53,2,0,28,17.7808735370636,0.3354881799445962
556,556,556,556,556,556,1-5304,12,7,1-5304,3,1,0,0,1.0,0.3333333333333333
307,307,307,307,307,307,1-5199,11,9,1-5199,3,1,0,0,1.0,0.3333333333333333
455,455,455,455,455,455,1-10981,5,15,1-10981,34,4,0,13,11.3268341422081,0.3331421806531794
415,415,415,415,415,415,1-7872,11,9,1-7872,124,21,0,36,41.2896945476532,0.3329814076423645
351,351,351,351,351,351,1-9399,12,7,1-9399,38,7,0,10,12.636026263237,0.3325270069272895
394,394,394,394,394,394,1-8808,11,9,1-8808,52,11,0,11,17.1996288895607,0.33076209403001344
150,150,150,150,150,150,P1-0004,3,12,P1-0004,60,17,0,5,19.8180131316185,0.3303002188603083
179,179,179,179,179,179,1-8186,8,8,1-8186,23,7,0,1,7.5636026263237,0.32885228810103045
419,419,419,419,419,419,1-1176,15,13,1-1176,69,9,0,24,22.5264630317688,0.3264704787212869
453,453,453,453,453,453,MLG45,7,6,MLG45,179,23,0,62,57.9433628320694,0.32370593760932626
36,36,36,36,36,36,1-5686,12,7,1-5686,59,5,0,25,19.0900656580925,0.3235604348829237
281,281,281,281,281,281,1-8126,18,14,1-8126,34,11,0,0,11.0,0.3235294117647059
238,238,238,238,238,238,1-7444,9,4,1-7444,14,0,0,8,4.5088210105896,0.3220586436135428
11,11,11,11,11,11,1-8750,11,9,1-8750,45,11,0,6,14.3816157579422,0.31959146128760446
73,73,73,73,73,73,1-9318,19,26,1-9318,13,3,0,2,4.1272052526474,0.31747732712672305
430,430,430,430,430,430,1-8718,5,15,1-8718,333,40,0,115,104.8143020272255,0.3147576637454219
408,408,408,408,408,408,1-8023,19,26,1-8023,20,4,0,4,6.2544105052948,0.31272052526474
379,379,379,379,379,379,1-5228,4,19,1-5228,180,0,0,99,55.796660006046295,0.309981444478035
431,431,431,431,431,431,1-9115,5,15,1-9115,22,4,0,5,6.8180131316185,0.3099096878008409
175,175,175,175,175,175,1-8177,16,17,1-8177,53,0,0,29,16.3444761633873,0.3083863427054207
516,516,516,516,516,516,1-0337,16,17,1-0337,11,0,0,6,3.3816157579421997,0.3074196143583818
17,17,17,17,17,17,1-9217,19,26,1-9217,30,8,0,2,9.1272052526474,0.3042401750882467
398,398,398,398,398,398,MLG65,20,10,MLG65,155,30,0,30,46.908078789711,0.30263276638523223
191,191,191,191,191,191,1-9285,5,15,1-9285,30,4,0,9,9.0724236369133,0.3024141212304433
164,164,164,164,164,164,MLG29,12,7,MLG29,93,24,0,7,27.9452183842659,0.3004862191856548
537,537,537,537,537,537,1-9499,4,19,1-9499,36,0,0,19,10.708449900150299,0.29745694167084163
492,492,492,492,492,492,1-3257,19,26,1-3257,37,11,0,0,11.0,0.2972972972972973
163,163,163,163,163,163,1-1633,9,4,1-1633,399,0,0,209,117.79294890165329,0.29522042331241427
429,429,429,429,429,429,1-8949,12,7,1-8949,112,15,0,32,33.0352840423584,0.2949578932353428
18,18,18,18,18,18,1-5635,15,13,1-5635,417,45,0,138,122.7771624326706,0.29442964612151223
153,153,153,153,153,153,MLG43,1,27,MLG43,39,3,0,15,11.4540393948555,0.2936933178168077
230,230,230,230,230,230,1-8766,12,7,1-8766,26,2,0,10,7.6360262632369995,0.2936933178168077
539,539,539,539,539,539,1-6559,19,26,1-6559,24,7,0,0,7.0,0.2916666666666667
428,428,428,428,428,428,1-7733,11,9,1-7733,76,3,0,34,22.1624892950058,0.2916117012500763
527,527,527,527,527,527,1-5568,1,27,1-5568,47,12,0,3,13.6908078789711,0.29129378465895955
155,155,155,155,155,155,1-7462,5,15,1-7462,336,15,0,147,97.84958606958389,0.2912190061594759
344,344,344,344,344,344,1-9294,14,11,1-9294,74,13,0,15,21.4540393948555,0.28991945128183105
335,335,335,335,335,335,1-9276,21,25,1-9276,77,2,0,36,22.2896945476532,0.28947655256692467
519,519,519,519,519,519,1-10800,6,21,1-10800,55,0,0,28,15.780873537063599,0.28692497340115636
120,120,120,120,120,120,MLG69,19,26,MLG69,73,4,0,30,20.908078789711,0.28641203821521916
258,258,258,258,258,258,1-4654,9,4,1-4654,138,0,0,70,39.452183842659,0.2858853901641956
20,20,20,20,20,20,1-3141,1,27,1-3141,14,4,0,0,4.0,0.2857142857142857
376,376,376,376,376,376,1-18412,19,26,1-18412,56,16,0,0,16.0,0.2857142857142857
547,547,547,547,547,547,1-9600,1,27,1-9600,7,2,0,0,2.0,0.2857142857142857
204,204,204,204,204,204,1-3509,14,11,1-3509,150,22,0,37,42.8532971739769,0.28568864782651265
244,244,244,244,244,244,1-3099,3,12,1-3099,9,2,0,1,2.5636026263237,0.2848447362581889
157,157,157,157,157,157,1-2318,15,13,1-2318,13,2,0,3,3.6908078789711,0.2839082983823923
143,143,143,143,143,143,1-7302,7,6,1-7302,240,7,0,108,67.8690836429596,0.28278784851233163
12,12,12,12,12,12,1-9133,2,28,1-9133,2,0,0,1,0.5636026263237,0.28180131316185
554,554,554,554,554,554,1-18770,5,15,1-18770,10,0,0,5,2.8180131316184998,0.28180131316185
276,276,276,276,276,276,1-9548,4,19,1-9548,16,0,0,8,4.5088210105896,0.28180131316185
46,46,46,46,46,46,1-3056,5,15,1-3056,250,15,0,98,70.2330573797226,0.2809322295188904
219,219,219,219,219,219,1-8371,15,13,1-8371,255,47,0,43,71.2349129319191,0.27935259973301607
