Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
326,326,326,326,326,326,1-9095,11,10,1-9095,16,3,0,4,3.159067153930664,0.1974416971206665
500,500,500,500,500,500,MLG50,12,18,MLG50,168,33,0,2,33.07953357696533,0.1969019855771746
203,203,203,203,203,203,1-19884,14,15,1-19884,60,11,0,17,11.676035404205322,0.1946005900700887
130,130,130,130,130,130,MLG32,3,11,MLG32,79,14,0,30,15.19300365447998,0.19231650195544278
159,159,159,159,159,159,MLG36,20,16,MLG36,136,25,0,27,26.073703289031982,0.19171840653699987
537,537,537,537,537,537,1-9499,4,19,1-9499,36,6,0,21,6.835102558135986,0.18986395994822183
429,429,429,429,429,429,1-8949,12,18,1-8949,112,21,0,6,21.238600730895996,0.18963036366871425
344,344,344,344,344,344,1-9294,14,15,1-9294,74,13,0,16,13.636268615722656,0.18427390021246834
69,69,69,69,69,69,1-7418,8,9,1-7418,45,8,0,2,8.079533576965332,0.1795451905992296
131,131,131,131,131,131,MLG13,8,9,MLG13,225,37,0,79,40.141576290130615,0.17840700573391385
170,170,170,170,170,170,MLG40,3,11,MLG40,30,5,0,8,5.318134307861328,0.1772711435953776
355,355,355,355,355,355,1-8666,14,15,1-8666,89,15,0,19,15.755568981170654,0.17702886495697365
394,394,394,394,394,394,1-8808,11,10,1-8808,52,8,0,26,9.033936500549316,0.17372954808748686
482,482,482,482,482,482,1-11534,8,9,1-11534,12,2,0,2,2.079533576965332,0.173294464747111
485,485,485,485,485,485,MLG25,14,15,MLG25,12,2,0,2,2.079533576965332,0.173294464747111
348,348,348,348,348,348,MLG62,12,18,MLG62,370,63,0,23,63.91463613510132,0.17274225982459815
164,164,164,164,164,164,MLG29,12,18,MLG29,93,16,0,1,16.039766788482666,0.17247061062884586
104,104,104,104,104,104,1-9040,11,10,1-9040,55,9,0,12,9.477201461791992,0.1723127538507635
214,214,214,214,214,214,1-19859,18,13,1-19859,12,2,0,1,2.039766788482666,0.16998056570688883
555,555,555,555,555,555,1-20068,14,15,1-20068,45,7,0,16,7.636268615722656,0.16969485812717014
157,157,157,157,157,157,1-2318,15,12,1-2318,13,2,0,5,2.19883394241333,0.16914107249333307
297,297,297,297,297,297,1-3702,12,18,1-3702,6,1,0,0,1.0,0.16666666666666666
109,109,109,109,109,109,1-3309,17,1,1-3309,12,2,0,0,2.0,0.16666666666666666
223,223,223,223,223,223,1-5109,7,17,1-5109,37,6,0,4,6.159067153930664,0.1664612744305585
102,102,102,102,102,102,1-6737,14,15,1-6737,32,5,0,7,5.278367519378662,0.1649489849805832
499,499,499,499,499,499,1-3135,13,6,1-3135,101,16,0,14,16.556735038757324,0.1639280696906666
402,402,402,402,402,402,1-1958,3,11,1-1958,25,4,0,1,4.039766788482666,0.16159067153930665
391,391,391,391,391,391,1-8165,14,15,1-8165,420,57,0,267,67.61773252487183,0.16099460124969484
114,114,114,114,114,114,1-7449,10,7,1-7449,25,4,0,0,4.0,0.16
221,221,221,221,221,221,1-20138,9,2,1-20138,25,4,0,0,4.0,0.16
95,95,95,95,95,95,1-7625,10,7,1-7625,76,12,0,3,12.119300365447998,0.15946447849273682
426,426,426,426,426,426,1-7332,7,17,1-7332,53,7,0,36,8.431604385375977,0.15908687519577314
246,246,246,246,246,246,1-9232,13,6,1-9232,20,3,0,4,3.159067153930664,0.1579533576965332
210,210,210,210,210,210,1-3182,14,15,1-3182,20,3,0,4,3.159067153930664,0.1579533576965332
313,313,313,313,313,313,1-3631,18,13,1-3631,13,2,0,1,2.039766788482666,0.1569051375755897
141,141,141,141,141,141,MLG42,20,16,MLG42,72,11,0,7,11.278367519378662,0.15664399332470363
219,219,219,219,219,219,1-8371,15,12,1-8371,255,39,0,23,39.91463613510132,0.15652798484353458
328,328,328,328,328,328,1-7883,9,2,1-7883,33,5,0,4,5.159067153930664,0.1563353683009292
37,37,37,37,37,37,1-8039,14,15,1-8039,12,1,0,22,1.8748693466186523,0.15623911221822104
480,480,480,480,480,480,1-1514,7,17,1-1514,64,9,0,23,9.914636135101318,0.1549161896109581
16,16,16,16,16,16,1-7539,12,18,1-7539,91,14,0,2,14.079533576965332,0.15472014919742122
279,279,279,279,279,279,MLG03,15,12,MLG03,713,103,0,154,109.12408542633057,0.1530492081715716
287,287,287,287,287,287,1-9267,12,18,1-9267,14,2,0,3,2.119300365447998,0.15137859753199986
77,77,77,77,77,77,1-7567,8,9,1-7567,27,4,0,2,4.079533576965332,0.15109383618390118
50,50,50,50,50,50,MLG14,20,16,MLG14,462,65,0,105,69.17551279067993,0.14973054716597387
350,350,350,350,350,350,1-19891,21,8,1-19891,95,13,0,29,14.153236865997314,0.14898144069470856
462,462,462,462,462,462,1-8484,21,8,1-8484,202,28,0,46,29.829272270202637,0.14766966470397344
283,283,283,283,283,283,1-1636,3,11,1-1636,22,3,0,6,3.238600730895996,0.1472091241316362
444,444,444,444,444,444,1-2083,15,12,1-2083,48,7,0,0,7.0,0.14583333333333334
536,536,536,536,536,536,1-1964,15,12,1-1964,48,6,0,25,6.99416971206665,0.14571186900138855
119,119,119,119,119,119,1-7476,18,13,1-7476,22,3,0,5,3.19883394241333,0.14540154283696954
468,468,468,468,468,468,1-11523,14,15,1-11523,24,3,0,12,3.477201461791992,0.144883394241333
113,113,113,113,113,113,1-7647,20,16,1-7647,30,4,0,8,4.318134307861328,0.14393781026204427
151,151,151,151,151,151,1-11026,15,12,1-11026,21,3,0,0,3.0,0.14285714285714285
489,489,489,489,489,489,1-8058,21,8,1-8058,54,7,0,17,7.676035404205322,0.14214880378158004
431,431,431,431,431,431,1-9115,5,14,1-9115,22,3,0,3,3.119300365447998,0.14178638024763626
436,436,436,436,436,436,1-8702,5,14,1-8702,59,8,0,8,8.318134307861328,0.14098532725188692
155,155,155,155,155,155,1-7462,5,14,1-7462,336,42,0,130,47.16968250274658,0.14038595982960292
161,161,161,161,161,161,1-7656,18,13,1-7656,48,6,0,17,6.676035404205322,0.1390840709209442
538,538,538,538,538,538,1-18794,10,7,1-18794,29,4,0,0,4.0,0.13793103448275862
319,319,319,319,319,319,1-20040,18,1,1-20040,22,3,0,0,3.0,0.13636363636363635
329,329,329,329,329,329,1-19755,7,17,1-19755,517,62,0,183,69.27732229232788,0.13399868915343885
410,410,410,410,410,410,1-8368,9,2,1-8368,80,10,0,17,10.676035404205322,0.13345044255256652
147,147,147,147,147,147,1-7172,7,17,1-7172,284,33,0,119,37.732247829437256,0.13286002756844104
419,419,419,419,419,419,1-1176,15,12,1-1176,69,9,0,3,9.119300365447998,0.13216377341228983
274,274,274,274,274,274,1-8497,21,8,1-8497,34,4,0,11,4.437434673309326,0.13051278450909784
392,392,392,392,392,392,1-18266,15,12,1-18266,55,7,0,3,7.119300365447998,0.12944182482632724
27,27,27,27,27,27,1-0984,20,16,1-0984,50,6,0,10,6.39766788482666,0.1279533576965332
541,541,541,541,541,541,1-7301,11,16,1-7301,26,3,0,8,3.318134307861328,0.12762055030235878
33,33,33,33,33,33,1-0997,11,10,1-0997,33,4,0,5,4.19883394241333,0.12723739219434332
230,230,230,230,230,230,1-8766,12,18,1-8766,26,3,0,7,3.278367519378662,0.12609105843764085
461,461,461,461,461,461,1-9351,7,17,1-9351,60,7,0,12,7.477201461791992,0.12462002436319987
18,18,18,18,18,18,1-5635,15,12,1-5635,417,47,0,124,51.931081771850586,0.12453496827781915
211,211,211,211,211,211,1-7187,7,17,1-7187,96,10,0,48,11.908805847167969,0.12405006090799968
217,217,217,217,217,217,1-7575,5,14,1-7575,26,3,0,5,3.19883394241333,0.123032074708205
339,339,339,339,339,339,1-7523,14,15,1-7523,79,9,0,18,9.715802192687988,0.12298483788212643
396,396,396,396,396,396,1-11132,18,13,1-11132,34,4,0,4,4.159067153930664,0.12232550452737247
377,377,377,377,377,377,1-7901,14,15,1-7901,298,33,0,76,36.02227592468262,0.12088012055262623
36,36,36,36,36,36,1-5686,12,18,1-5686,59,7,0,0,7.0,0.11864406779661017
515,515,515,515,515,515,1-8480,20,16,1-8480,112,13,0,6,13.238600730895996,0.11820179224014282
106,106,106,106,106,106,1-8973,20,16,1-8973,44,5,0,5,5.19883394241333,0.11815531687303023
448,448,448,448,448,448,1-6249,7,17,1-6249,64,7,0,14,7.556735038757324,0.11807398498058319
23,23,23,23,23,23,1-11189,10,7,1-11189,53,6,0,5,6.19883394241333,0.11695913098893075
360,360,360,360,360,360,MLG67,17,1,MLG67,293,34,0,0,34.0,0.11604095563139932
497,497,497,497,497,497,1-3216,7,17,1-3216,38,4,0,10,4.39766788482666,0.11572810223228053
365,365,365,365,365,365,1-18435,5,14,1-18435,37,4,0,7,4.278367519378662,0.11563155457780168
268,268,268,268,268,268,1-7899,13,6,1-7899,40,4,0,15,4.59650182723999,0.11491254568099976
262,262,262,262,262,262,1-4394,21,8,1-4394,190,19,0,70,21.78367519378662,0.11465092207256117
46,46,46,46,46,46,1-3056,5,14,1-3056,250,26,0,65,28.58484125137329,0.11433936500549316
252,252,252,252,252,252,1-1887,11,10,1-1887,119,12,0,36,13.431604385375977,0.11287062508719307
366,366,366,366,366,366,MLG63,3,11,MLG63,543,59,0,50,60.9883394241333,0.11231738383818288
32,32,32,32,32,32,1-7870,7,17,1-7870,82,8,0,30,9.19300365447998,0.11210980066439001
177,177,177,177,177,177,1-10952,10,7,1-10952,9,1,0,0,1.0,0.1111111111111111
43,43,43,43,43,43,1-7518,21,8,1-7518,169,17,0,42,18.670205116271973,0.1104745864868164
169,169,169,169,169,169,1-1466,21,8,1-1466,73,8,0,0,8.0,0.1095890410958904
405,405,405,405,405,405,1-9365,11,10,1-9365,243,24,0,60,26.38600730895996,0.10858439221794222
336,336,336,336,336,336,1-8678,17,1,1-8678,74,8,0,0,8.0,0.10810810810810811
554,554,554,554,554,554,1-18770,5,14,1-18770,10,1,0,2,1.079533576965332,0.1079533576965332
518,518,518,518,518,518,1-3356,17,1,1-3356,28,3,0,0,3.0,0.10714285714285714
10,10,10,10,10,10,1-7390,7,17,1-7390,43,4,0,15,4.59650182723999,0.10689539133116256
463,463,463,463,463,463,1-8187,5,14,1-8187,29,3,0,2,3.079533576965332,0.10619081299880455
204,204,204,204,204,204,1-3509,14,15,1-3509,150,15,0,22,15.874869346618652,0.10583246231079102
417,417,417,417,417,417,1-3026,5,14,1-3026,570,57,0,62,59.46554088592529,0.10432551032618473
264,264,264,264,264,264,1-1131,18,13,1-1131,200,20,0,20,20.79533576965332,0.1039766788482666
188,188,188,188,188,188,1-5221,5,14,1-5221,21,2,0,4,2.159067153930664,0.10281272161574591
136,136,136,136,136,136,1-7425,9,2,1-7425,352,33,0,78,36.10180950164795,0.10256195881149986
178,178,178,178,178,178,1-0754,8,9,1-0754,41,4,0,4,4.159067153930664,0.1014406622909918
86,86,86,86,86,86,1-10042,11,10,1-10042,21,2,0,3,2.119300365447998,0.10091906502133324
501,501,501,501,501,501,MLG56,17,1,MLG56,109,11,0,0,11.0,0.10091743119266056
412,412,412,412,412,412,1-7403,21,8,1-7403,58,5,0,20,5.79533576965332,0.09991958223540208
253,253,253,253,253,253,1-7781,3,11,1-7781,33,3,0,5,3.19883394241333,0.09693436189131303
240,240,240,240,240,240,1-6168,17,1,1-6168,31,3,0,0,3.0,0.0967741935483871
352,352,352,352,352,352,1-2275,13,6,1-2275,130,10,0,64,12.545074462890625,0.09650057279146634
362,362,362,362,362,362,1-0429,4,19,1-0429,69,6,0,16,6.636268615722656,0.09617780602496603
137,137,137,137,137,137,1-19257,7,17,1-19257,246,19,0,115,23.573180675506592,0.09582593770531135
172,172,172,172,172,172,1-7326,15,12,1-7326,42,4,0,0,4.0,0.09523809523809523
239,239,239,239,239,239,1-1136,4,19,1-1136,113,9,0,43,10.709971904754639,0.09477851243145698
474,474,474,474,474,474,1-6608,4,19,1-6608,11,1,0,1,1.039766788482666,0.09452425349842418
386,386,386,386,386,386,MLG08,8,9,MLG08,532,46,0,104,50.135746002197266,0.09424012406428058
325,325,325,325,325,325,1-6625,5,14,1-6625,67,6,0,7,6.278367519378662,0.09370697790117406
371,371,371,371,371,371,MLG66,7,17,MLG66,229,19,0,60,21.38600730895996,0.09338867820506533
503,503,503,503,503,503,1-0295,9,2,1-0295,24,2,0,6,2.238600730895996,0.09327503045399983
243,243,243,243,243,243,1-7712,3,11,1-7712,12,1,0,3,1.119300365447998,0.09327503045399983
166,166,166,166,166,166,1-9454,18,11,1-9454,80,7,0,11,7.437434673309326,0.09296793341636658
101,101,101,101,101,101,1-8228,4,19,1-8228,99,8,0,30,9.19300365447998,0.09285862277252506
442,442,442,442,442,442,1-7770,9,2,1-7770,23,2,0,3,2.119300365447998,0.09214349414991296
406,406,406,406,406,406,1-6558,14,15,1-6558,24,2,0,5,2.19883394241333,0.09161808093388875
565,565,565,565,565,565,1-19069,10,7,1-19069,11,1,0,0,1.0,0.09090909090909091
459,459,459,459,459,459,1-8284,3,11,1-8284,48,4,0,9,4.357901096343994,0.0907896061738332
427,427,427,427,427,427,1-8613,7,17,1-8613,37,3,0,9,3.357901096343994,0.09075408368497281
152,152,152,152,152,152,1-1530,13,6,1-1530,632,46,0,281,57.17446756362915,0.09046592968928663
26,26,26,26,26,26,1-0918,9,2,1-0918,179,15,0,30,16.19300365447998,0.09046370756692726
441,441,441,441,441,441,1-3717,21,8,1-3717,89,7,0,24,7.954402923583984,0.08937531374813465
428,428,428,428,428,428,1-7733,11,10,1-7733,76,5,0,39,6.550904750823975,0.08619611514242072
196,196,196,196,196,196,1-8537,21,8,1-8537,47,4,0,1,4.039766788482666,0.08595248486133332
479,479,479,479,479,479,1-7809,9,2,1-7809,40,3,0,11,3.437434673309326,0.08593586683273316
156,156,156,156,156,156,1-2322,11,10,1-2322,14,1,0,5,1.19883394241333,0.08563099588666644
99,99,99,99,99,99,1-7655,20,16,1-7655,38,3,0,6,3.238600730895996,0.08522633502357885
379,379,379,379,379,379,1-5228,4,19,1-5228,180,11,0,109,15.334579944610596,0.0851921108033922
534,534,534,534,534,534,MLG48,7,17,MLG48,116,6,0,97,9.857378482818604,0.08497740071395347
449,449,449,449,449,449,1-10960,4,19,1-10960,82,6,0,24,6.954402923583984,0.0848097917510242
469,469,469,469,469,469,1-6494,10,7,1-6494,48,4,0,1,4.039766788482666,0.08416180809338887
387,387,387,387,387,387,1-3469,21,8,1-3469,40,3,0,9,3.357901096343994,0.08394752740859986
213,213,213,213,213,213,1-8859,17,1,1-8859,36,3,0,0,3.0,0.08333333333333333
395,395,395,395,395,395,1-18620,21,8,1-18620,60,4,0,25,4.99416971206665,0.0832361618677775
478,478,478,478,478,478,1-8916,11,10,1-8916,61,4,0,27,5.073703289031982,0.08317546375462266
48,48,48,48,48,48,1-6101,15,12,1-6101,41,3,0,10,3.39766788482666,0.08286994841040635
227,227,227,227,227,227,1-9542,15,12,1-9542,54,4,0,10,4.39766788482666,0.08143829416345667
318,318,318,318,318,318,1-3496,13,6,1-3496,192,12,0,89,15.539244174957275,0.08093356341123581
421,421,421,421,421,421,1-12345,9,2,1-12345,97,7,0,19,7.755568981170654,0.0799543193935119
276,276,276,276,276,276,1-9548,4,19,1-9548,16,1,0,7,1.278367519378662,0.07989796996116638
229,229,229,229,229,229,1-6569,21,8,1-6569,360,21,0,191,28.59545660018921,0.07943182388941447
