Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
172,172,172,172,172,1-19068,13,19,1-19068,77,21,0,13,30.611872613430023,0.3975567871874029
514,514,514,514,514,1-10823,15,14,1-10823,10,1,0,4,3.9574992656707764,0.39574992656707764
196,196,196,196,196,1-7522,20,17,1-7522,67,7,0,26,26.223745226860046,0.39139918249044847
69,69,69,69,69,1-8564,17,15,1-8564,185,16,0,76,72.19248604774475,0.3902296543121338
95,95,95,95,95,1-9100,10,3,1-9100,142,14,0,56,55.40498971939087,0.3901759839393723
1,1,1,1,1,MLG02,15,14,MLG02,755,92,0,271,292.3705752491951,0.3872457950320465
391,391,391,391,391,1-7301,19,18,1-7301,26,7,0,4,9.957499265670776,0.38298074098733753
46,46,46,46,46,1-3056,4,8,1-3056,250,40,0,75,95.45311123132706,0.38181244492530825
241,241,241,241,241,1-8058,20,17,1-8058,54,8,0,17,20.5693718791008,0.3809142940574222
303,303,303,303,303,1-7899,14,13,1-7899,40,10,0,7,15.175623714923859,0.37939059287309645
460,460,460,460,460,1-7083,1,10,1-7083,17,2,0,6,6.4362488985061646,0.37860287638271556
341,341,341,341,341,1-0363,1,10,1-0363,34,1,0,16,12.829997062683105,0.37735285478479724
189,189,189,189,189,1-0582,11,2,1-0582,70,7,0,26,26.223745226860046,0.3746249318122864
37,37,37,37,37,1-7946,14,13,1-7946,289,42,0,89,107.80435866117477,0.37302546249541446
164,164,164,164,164,1-9454,13,19,1-9454,80,15,0,20,29.787496328353882,0.3723437041044235
442,442,442,442,442,1-9232,1,10,1-9232,20,3,0,6,7.4362488985061646,0.37181244492530824
184,184,184,184,184,MLG18,3,9,MLG18,72,20,0,9,26.654373347759247,0.37019962982998955
178,178,178,178,178,1-9071,17,15,1-9071,75,4,0,32,27.65999412536621,0.36879992167154946
44,44,44,44,44,1-8371,2,11,1-8371,255,40,0,73,93.97436159849167,0.3685269082293791
117,117,117,117,117,1-3246,2,11,1-3246,116,18,0,33,42.399368941783905,0.36551180122227506
509,509,509,509,509,1-0337,4,8,1-0337,11,1,0,4,3.9574992656707764,0.35977266051552514
426,426,426,426,426,1-20040,10,3,1-20040,22,2,0,8,7.914998531341553,0.35977266051552514
384,384,384,384,384,1-7567,13,19,1-7567,27,6,0,5,9.69687408208847,0.3591434845217952
324,324,324,324,324,1-19093,17,15,1-19093,36,7,0,8,12.914998531341553,0.35874995920393205
338,338,338,338,338,1-8497,17,15,1-8497,34,4,0,11,12.133122980594635,0.3568565582527834
64,64,64,64,64,1-0983,14,13,1-0983,195,15,0,72,68.23498678207397,0.3499230091388409
516,516,516,516,516,1-17965,1,10,1-17965,10,2,0,2,3.478749632835388,0.34787496328353884
340,340,340,340,340,1-10981,15,14,1-10981,34,8,0,5,11.69687408208847,0.34402570829671975
475,475,475,475,475,1-9548,8,4,1-9548,16,4,0,2,5.478749632835388,0.34242185205221176
3,3,3,3,3,MLG06,18,16,MLG06,634,69,0,194,212.43871438503265,0.33507683656945214
121,121,121,121,121,MLG52,19,18,MLG52,112,2,0,48,37.489991188049316,0.33473206417901175
137,137,137,137,137,1-3135,14,13,1-3135,101,16,0,24,33.74499559402466,0.3341088672675709
89,89,89,89,89,1-3509,9,12,1-3509,150,36,0,19,50.04812151193619,0.33365414341290794
