Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
381,381,381,381,381,381,381,1-6554,3,9,1-6554,28,21,0,1,21.679296135902405,0.7742605762822288
574,574,574,574,574,574,574,1-4618,23,23,1-4618,1,0,0,1,0.6792961359024048,0.6792961359024048
92,92,92,92,92,92,92,1-6511,23,23,1-6511,144,0,0,124,84.2327208518982,0.5849494503604041
364,364,364,364,364,364,364,1-5515,17,4,1-5515,30,5,0,17,16.54803431034088,0.5516011436780294
539,539,539,539,539,539,539,P1-17272,15,18,P1-17272,6,1,0,3,3.0378884077072144,0.506314734617869
243,243,243,243,243,243,243,1-9542,9,10,1-9542,54,20,0,10,26.792961359024048,0.4961659510930379
266,266,266,266,266,266,266,1-1025,23,23,1-1025,48,0,0,34,23.096068620681763,0.48116809626420337
301,301,301,301,301,301,301,1-3469,3,9,1-3469,40,2,0,24,18.303107261657715,0.45757768154144285
508,508,508,508,508,508,508,1-7737,22,27,1-7737,11,5,0,0,5.0,0.45454545454545453
457,457,457,457,457,457,457,1-5287,23,23,1-5287,18,0,0,12,8.151553630828857,0.4528640906016032
514,514,514,514,514,514,514,1-10823,15,18,1-10823,10,1,0,5,4.396480679512024,0.43964806795120237
55,55,55,55,55,55,55,MLG13,8,13,MLG13,225,30,0,100,97.92961359024048,0.4352427270677355
353,353,353,353,353,353,353,1-7456,10,14,1-7456,32,1,0,19,13.906626582145691,0.43458208069205284
189,189,189,189,189,189,189,1-0582,11,15,1-0582,70,7,0,34,30.096068620681763,0.4299438374383109
391,391,391,391,391,391,391,1-7301,19,6,1-7301,26,3,0,12,11.151553630828857,0.428905908878033
552,552,552,552,552,552,552,1-5303,9,10,1-5303,4,1,0,1,1.6792961359024048,0.4198240339756012
382,382,382,382,382,382,382,1-3472,22,27,1-3472,28,9,0,4,11.71718454360962,0.4184708765574864
83,83,83,83,83,83,83,1-7306,13,17,1-7306,159,31,0,52,66.32339906692505,0.4171282960183965
464,464,464,464,464,464,464,1-8062,5,21,1-8062,17,0,0,10,6.792961359024048,0.3995859622955322
405,405,405,405,405,405,405,1-6558,15,18,1-6558,24,0,0,14,9.510145902633667,0.3962560792764028
190,190,190,190,190,190,190,1-1176,5,21,1-1176,69,0,0,40,27.17184543609619,0.3937948613926984
60,60,60,60,60,60,60,1-6678,19,6,1-6678,213,6,0,113,82.76046335697174,0.388546776323811
310,310,310,310,310,310,310,MLG43,23,23,MLG43,39,0,0,22,14.944514989852905,0.3831926920475104
254,254,254,254,254,254,254,1-8808,23,23,1-8808,52,0,0,29,19.69958794116974,0.3788382296378796
324,324,324,324,324,324,324,1-19093,17,4,1-19093,36,2,0,17,13.548034310340881,0.3763342863983578
31,31,31,31,31,31,31,1-1687,12,16,1-1687,325,26,0,141,121.78075516223907,0.37471001588381253
72,72,72,72,72,72,72,1-0918,5,21,1-0918,179,0,0,98,66.57102131843567,0.37190514703036687
445,445,445,445,445,445,445,1-2028,15,18,1-2028,20,4,0,5,7.396480679512024,0.3698240339756012
296,296,296,296,296,296,296,1-7326,17,4,1-7326,42,0,0,22,14.944514989852905,0.3558217854726882
348,348,348,348,348,348,348,1-0997,7,11,1-0997,33,9,0,4,11.71718454360962,0.35506619829120056
340,340,340,340,340,340,340,1-10981,15,18,1-10981,34,7,0,7,11.755072951316833,0.34573743974461274
215,215,215,215,215,215,215,1-0455,1,2,1-0455,60,1,0,29,20.69958794116974,0.34499313235282897
202,202,202,202,202,202,202,1-1367,14,19,1-1367,66,3,0,29,22.69958794116974,0.34393315062378393
551,551,551,551,551,551,551,1-10622,23,23,1-10622,4,0,0,2,1.3585922718048096,0.3396480679512024
563,563,563,563,563,563,563,1-5713,5,21,1-5713,2,0,0,1,0.6792961359024048,0.3396480679512024
566,566,566,566,566,566,566,1-3380,1,2,1-3380,2,0,0,1,0.6792961359024048,0.3396480679512024
370,370,370,370,370,370,370,1-7647,23,23,1-7647,30,0,0,15,10.189442038536072,0.3396480679512024
159,159,159,159,159,159,159,1-5687,6,12,1-5687,83,1,0,40,28.17184543609619,0.3394198245312794
205,205,205,205,205,205,205,1-0447,11,15,1-0447,65,1,0,31,22.05818021297455,0.3393566186611469
426,426,426,426,426,426,426,1-20040,10,14,1-20040,22,2,0,8,7.434369087219238,0.33792586760087445
471,471,471,471,471,471,471,1-9396,1,2,1-9396,16,2,0,5,5.396480679512024,0.3372800424695015
516,516,516,516,516,516,516,1-17965,1,2,1-17965,10,2,0,2,3.3585922718048096,0.33585922718048095
162,162,162,162,162,162,162,1-10960,12,16,1-10960,82,17,0,15,27.189442038536072,0.33157856144556186
214,214,214,214,214,214,214,P1-0004,15,18,P1-0004,60,4,0,23,19.62381112575531,0.3270635187625885
180,180,180,180,180,180,180,1-9294,15,18,1-9294,74,14,0,15,24.189442038536072,0.32688435187210907
33,33,33,33,33,33,33,1-18507,7,11,1-18507,320,4,0,148,104.53582811355591,0.32667446285486224
232,232,232,232,232,232,232,1-18412,9,10,1-18412,56,4,0,21,18.2652188539505,0.32616462239197325
