Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
237,237,237,237,237,1-18266,20,4,1-18266,55,8,0,1,8.010035512968898,0.14563700932670723
86,86,86,86,86,MLG65,3,16,MLG65,155,22,0,56,22.561988726258278,0.1455612175887631
381,381,381,381,381,1-6554,3,16,1-6554,28,4,0,6,4.060213077813387,0.14500760992190667
428,428,428,428,428,1-5221,9,22,1-5221,21,3,0,4,3.0401420518755913,0.14476866913693293
376,376,376,376,376,1-3356,2,14,1-3356,28,4,0,2,4.020071025937796,0.14357396521206414
109,109,109,109,109,1-3364,17,7,1-3364,121,17,0,37,17.37131397984922,0.1435645783458613
537,537,537,537,537,P1-6891,9,22,P1-6891,7,1,0,0,1.0,0.14285714285714285
136,136,136,136,136,1-7720,10,13,1-7720,102,14,0,34,14.341207440942526,0.14060007295041693
97,97,97,97,97,1-4654,5,18,1-4654,138,19,0,13,19.13046166859567,0.1386265338304034
47,47,47,47,47,1-1035,11,12,1-1035,249,34,0,37,34.37131397984922,0.13803740554156313
368,368,368,368,368,1-18927,1,15,1-18927,30,4,0,12,4.120426155626774,0.13734753852089246
58,58,58,58,58,MLG53,16,23,MLG53,216,29,0,41,29.41145603172481,0.13616414829502227
213,213,213,213,213,1-10043,17,7,1-10043,61,8,0,28,8.280994363129139,0.1357540059529367
323,323,323,323,323,1-8613,16,23,1-8613,37,5,0,2,5.020071025937796,0.1356775952956161
138,138,138,138,138,1-7993,17,7,1-7993,100,13,0,29,13.291029876098037,0.13291029876098037
81,81,81,81,81,1-7038,15,8,1-7038,163,21,0,30,21.301065389066935,0.13068138275501187
3,3,3,3,3,MLG06,18,6,MLG06,634,81,0,182,82.8264633603394,0.13064110940116624
528,528,528,528,528,1-3369,10,13,1-3369,8,1,0,3,1.0301065389066935,0.12876331736333668
471,471,471,471,471,1-9396,1,15,1-9396,16,2,0,4,2.0401420518755913,0.12750887824222445
466,466,466,466,466,MLG04,1,15,MLG04,16,2,0,4,2.0401420518755913,0.12750887824222445
301,301,301,301,301,1-3469,3,16,1-3469,40,5,0,6,5.060213077813387,0.12650532694533467
302,302,302,302,302,1-7809,13,10,1-7809,40,5,0,5,5.050177564844489,0.12625443912111223
207,207,207,207,207,1-7488,5,18,1-7488,65,8,0,20,8.200710259377956,0.12616477322119932
404,404,404,404,404,1-6559,1,15,1-6559,24,3,0,1,3.010035512968898,0.12541814637370408
202,202,202,202,202,1-1367,14,9,1-1367,66,8,0,25,8.250887824222445,0.12501345188215826
468,468,468,468,468,1-9316,18,6,1-9316,16,2,0,0,2.0,0.125
267,267,267,267,267,1-6492,2,14,1-6492,48,6,0,0,6.0,0.125
49,49,49,49,49,1-19257,1,15,1-19257,246,30,0,33,30.331171927973628,0.12329744686168141
1,1,1,1,1,MLG02,15,8,MLG02,755,92,0,36,92.36127846688032,0.12233281916143089
299,299,299,299,299,1-0754,7,21,1-0754,41,5,0,1,5.010035512968898,0.12219598812119263
62,62,62,62,62,1-1131,2,14,1-1131,200,24,0,39,24.391385005787015,0.12195692502893507
350,350,350,350,350,1-3491,16,23,1-3491,33,4,0,2,4.020071025937796,0.12182033411932713
338,338,338,338,338,1-8497,17,7,1-8497,34,4,0,11,4.110390642657876,0.12089384243111401
391,391,391,391,391,1-7301,19,5,1-7301,26,3,0,13,3.1304616685956717,0.1204023718690643
342,342,342,342,342,1-18987,19,5,1-18987,34,4,0,9,4.09031961672008,0.1203035181388259
54,54,54,54,54,MLG66,1,15,MLG66,229,27,0,32,27.32113641500473,0.11930627255460581
460,460,460,460,460,1-7083,1,15,1-7083,17,2,0,2,2.0200710259377956,0.11882770740810562
100,100,100,100,100,1-0541,17,7,1-0541,132,15,0,65,15.652308342978358,0.1185780935074118
18,18,18,18,18,1-5635,18,6,1-5635,417,49,0,27,49.27095885016024,0.11815577661908931
114,114,114,114,114,1-6166,12,11,1-6166,117,13,0,62,13.622201804071665,0.11642907524847576
107,107,107,107,107,1-0598,21,3,1-0598,122,14,0,16,14.160568207502365,0.11607023120903578
455,455,455,455,455,1-9225,4,17,1-9225,18,2,0,7,2.0702485907822847,0.11501381059901582
53,53,53,53,53,1-6727,17,7,1-6727,235,26,0,88,26.883125141263008,0.11439627719686386
242,242,242,242,242,1-18469,3,16,1-18469,54,6,0,11,6.110390642657876,0.11315538227144215
139,139,139,139,139,1-8228,13,10,1-8228,99,11,0,13,11.130461668595672,0.11242890574339062
235,235,235,235,235,1-9040,19,5,1-9040,55,6,0,18,6.180639233440161,0.1123752587898211
141,141,141,141,141,1-7081,9,22,1-7081,99,11,0,5,11.050177564844489,0.11161795520044938
105,105,105,105,105,1-0529,14,9,1-0529,124,13,0,82,13.822912063449621,0.11147509728588405
63,63,63,63,63,1-5531,11,12,1-5531,199,22,0,11,22.110390642657876,0.1111074906666225
84,84,84,84,84,1-1712,17,7,1-1712,157,17,0,44,17.441562570631504,0.11109275522695225
209,209,209,209,209,1-6249,1,15,1-6249,64,7,0,10,7.100355129688978,0.11094304890139028
119,119,119,119,119,1-1136,12,11,1-1136,113,12,0,50,12.501775648444891,0.11063518272960081
210,210,210,210,210,1-1514,1,15,1-1514,64,7,0,6,7.060213077813387,0.11031582934083417
24,24,24,24,24,MLG62,8,20,MLG62,370,39,0,159,40.59564656205475,0.10971796368122906
175,175,175,175,175,1-7625,2,14,1-7625,76,8,0,3,8.030106538906693,0.10565929656456176
130,130,130,130,130,1-8754,12,11,1-8754,108,11,0,38,11.381349492818117,0.10538286567424182
