Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
520,520,520,520,520,520,520,1-5314,17,23,1-5314,9,0,0,4,2.8594117164611816,0.3177124129401313
42,42,42,42,42,42,42,1-8681,19,19,1-8681,260,26,0,79,82.47338140010834,0.31720531307733973
396,396,396,396,396,396,396,1-20138,1,2,1-20138,25,0,0,11,7.8633822202682495,0.31453528881073
70,70,70,70,70,70,70,1-5228,12,12,1-5228,180,12,0,61,55.60602867603302,0.30892238153351675
35,35,35,35,35,35,35,1-7901,9,9,1-7901,298,47,0,63,92.03573453426361,0.30884474675927387
100,100,100,100,100,100,100,1-0541,17,23,1-0541,132,0,0,57,40.74661695957184,0.30868649211796845
96,96,96,96,96,96,96,1-7402,10,10,1-7402,141,12,0,44,43.453528881073,0.30818105589413475
157,157,157,157,157,157,157,1-7547,23,4,1-7547,86,0,0,37,26.44955837726593,0.30755300438681316
535,535,535,535,535,535,535,1-3117,23,4,1-3117,7,0,0,3,2.1445587873458862,0.3063655410494123
199,199,199,199,199,199,199,MLG30,23,4,MLG30,66,0,0,28,20.01588201522827,0.3032709396246708
304,304,304,304,304,304,304,1-2006,11,11,1-2006,40,7,0,7,12.003970503807068,0.3000992625951767
306,306,306,306,306,306,306,1-8990,16,17,1-8990,40,7,0,7,12.003970503807068,0.3000992625951767
330,330,330,330,330,330,330,1-9499,23,4,1-9499,36,0,0,15,10.722793936729431,0.2978553871313731
25,25,25,25,25,25,25,1-6569,21,21,1-6569,360,3,0,145,106.65367472171783,0.29626020756032734
115,115,115,115,115,115,115,1-3174,5,6,1-3174,117,13,0,30,34.44558787345886,0.2944067339611869
185,185,185,185,185,185,185,MLG42,16,17,MLG42,72,14,0,10,21.148529291152954,0.2937295734882355
111,111,111,111,111,111,111,1-1887,19,19,1-1887,119,11,0,33,34.59014666080475,0.29067350135130043
107,107,107,107,107,107,107,1-0598,21,21,1-0598,122,14,0,30,35.44558787345886,0.2905376055201546
512,512,512,512,512,512,512,1-5140,23,4,1-5140,10,0,0,4,2.8594117164611816,0.28594117164611815
543,543,543,543,543,543,543,1-18953,6,7,1-18953,5,0,0,2,1.4297058582305908,0.28594117164611815
177,177,177,177,177,177,177,1-19121,23,4,1-19121,75,0,0,30,21.445587873458862,0.28594117164611815
544,544,544,544,544,544,544,1-21411,1,2,1-21411,5,0,0,2,1.4297058582305908,0.28594117164611815
377,377,377,377,377,377,377,1-10305,19,19,1-10305,28,0,0,11,7.8633822202682495,0.2808350792952946
358,358,358,358,358,358,358,1-5655,15,15,1-5655,31,5,0,5,8.574264645576477,0.2765891821153702
254,254,254,254,254,254,254,1-8808,23,4,1-8808,52,0,0,20,14.297058582305908,0.27494343427511364
265,265,265,265,265,265,265,1-8711,21,21,1-8711,48,1,0,17,13.152499794960022,0.27401041239500046
516,516,516,516,516,516,516,1-17965,1,2,1-17965,10,2,0,1,2.7148529291152954,0.27148529291152956
47,47,47,47,47,47,47,1-1035,11,11,1-1035,249,34,0,47,67.59808766841888,0.2714782637285899
6,6,6,6,6,6,6,1-3026,3,14,1-3026,570,46,0,152,154.6576452255249,0.2713292021500437
344,344,344,344,344,344,344,1-7781,13,13,1-7781,33,6,0,4,8.859411716461182,0.2684670217109449
473,473,473,473,473,473,473,1-3371,23,4,1-3371,16,0,0,6,4.2891175746917725,0.2680698484182358
399,399,399,399,399,399,399,1-11522,23,4,1-11522,24,0,0,9,6.433676362037659,0.2680698484182358
530,530,530,530,530,530,530,1-3727,17,23,1-3727,8,0,0,3,2.1445587873458862,0.2680698484182358
28,28,28,28,28,28,28,1-6957,21,21,1-6957,338,3,0,122,90.21205735206604,0.26689957796469244
38,38,38,38,38,38,38,1-5899,6,7,1-5899,288,51,0,35,76.01985251903534,0.26395782124665046
353,353,353,353,353,353,353,1-7456,10,10,1-7456,32,2,0,9,8.433676362037659,0.26355238631367683
143,143,143,143,143,143,143,1-12345,5,6,1-12345,97,14,0,16,25.437646865844727,0.2622437821221106
364,364,364,364,364,364,364,1-5515,17,23,1-5515,30,0,0,11,7.8633822202682495,0.2621127406756083
151,151,151,151,151,151,151,1-7725,5,6,1-7725,90,2,0,30,23.445587873458862,0.2605065319273207
160,160,160,160,160,160,160,1-1119,18,18,1-1119,83,8,0,19,21.582205653190613,0.26002657413482666
426,426,426,426,426,426,426,1-20040,10,10,1-20040,22,0,0,8,5.718823432922363,0.25994651967828925
260,260,260,260,260,260,260,MLG24,16,17,MLG24,49,7,0,8,12.718823432922363,0.25956782516168087
188,188,188,188,188,188,188,1-6506,5,6,1-6506,70,1,0,24,18.15647029876709,0.25937814712524415
322,322,322,322,322,322,322,1-18435,4,26,1-18435,37,6,0,5,9.574264645576477,0.2587639093399048
329,329,329,329,329,329,329,1-8859,19,19,1-8859,36,0,0,13,9.29308807849884,0.25814133551385665
331,331,331,331,331,331,331,1-17970,23,4,1-17970,36,0,0,13,9.29308807849884,0.25814133551385665
324,324,324,324,324,324,324,1-19093,17,23,1-19093,36,0,0,13,9.29308807849884,0.25814133551385665
314,314,314,314,314,314,314,1-18973,10,10,1-18973,39,0,0,14,10.007941007614136,0.25661387199010605
246,246,246,246,246,246,246,1-11189,23,4,1-11189,53,0,0,19,13.582205653190613,0.2562680311922757
197,197,197,197,197,197,197,MLG27,23,4,MLG27,67,0,0,24,17.15647029876709,0.25606672087712073
323,323,323,323,323,323,323,1-8613,16,17,1-8613,37,3,0,9,9.433676362037659,0.2549642260010178
14,14,14,14,14,14,14,1-3037,3,14,1-3037,467,31,0,123,118.92691028118134,0.2546614781181613
130,130,130,130,130,130,130,1-8754,12,12,1-8754,108,11,0,23,27.441617369651794,0.2540890497189981
221,221,221,221,221,221,221,1-5185,3,14,1-5185,59,2,0,18,14.867352724075317,0.25198902922161553
427,427,427,427,427,427,427,1-9287,14,16,1-9287,21,1,0,6,5.2891175746917725,0.2518627416519892
445,445,445,445,445,445,445,1-2028,15,15,1-2028,20,5,0,0,5.0,0.25
555,555,555,555,555,555,555,1-3734,3,14,1-3734,4,1,0,0,1.0,0.25
291,291,291,291,291,291,291,1-11045,23,4,1-11045,43,0,0,15,10.722793936729431,0.24936730085417283
153,153,153,153,153,153,153,1-8666,14,16,1-8666,89,10,0,17,22.152499794960022,0.2489044920782025
76,76,76,76,76,76,76,1-7518,12,12,1-7518,169,32,0,14,42.007941007614136,0.24856769826990613
507,507,507,507,507,507,507,1-6608,13,13,1-6608,11,2,0,1,2.7148529291152954,0.24680481173775412
8,8,8,8,8,8,8,MLG15,7,8,MLG15,559,29,0,151,136.9427922964096,0.24497816153203866
216,216,216,216,216,216,216,1-18620,21,21,1-18620,60,1,0,19,14.582205653190613,0.24303676088651022
439,439,439,439,439,439,439,1-8023,6,7,1-8023,20,2,0,4,4.859411716461182,0.24297058582305908
513,513,513,513,513,513,513,1-18770,19,19,1-18770,10,1,0,2,2.429705858230591,0.24297058582305908
511,511,511,511,511,511,511,1-7707,8,25,1-7707,10,1,0,2,2.429705858230591,0.24297058582305908
103,103,103,103,103,103,103,1-2275,14,16,1-2275,130,10,0,30,31.445587873458862,0.24188913748814508
