Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
561,561,1-3699,13,3,1-3699,9,2,0,1,2.0254372861236334,0.22504858734707037
391,391,1-8165,14,2,1-8165,420,92,0,73,93.85692188702524,0.22346886163577437
347,347,1-7720,16,15,1-7720,102,22,0,28,22.712244011461735,0.22266905893589936
177,177,1-10952,10,16,1-10952,9,2,0,0,2.0,0.2222222222222222
248,248,1-19068,4,14,1-19068,77,16,0,40,17.017491444945335,0.22100638240188747
156,156,1-2322,11,7,1-2322,14,3,0,3,3.0763118583709,0.21973656131220715
47,47,MLG15,12,13,MLG15,559,117,0,222,122.64707751944661,0.21940443205625512
187,187,1-3477,4,14,1-3477,46,10,0,3,10.0763118583709,0.21905025779067175
430,430,1-8718,5,8,1-8718,333,71,0,72,72.8314846009016,0.2187131669696745
253,253,1-7781,3,6,1-7781,33,7,0,6,7.1526237167418,0.21674617323460002
540,540,1-8711,4,14,1-8711,48,10,0,14,10.356122005730867,0.21575254178605974
414,414,1-5140,3,6,1-5140,10,2,0,5,2.127186430618167,0.2127186430618167
132,132,1-0454,12,13,1-0454,43,9,0,3,9.0763118583709,0.21107701996211395
374,374,MLG74,18,9,MLG74,177,37,0,5,37.12718643061817,0.20975811542722128
455,455,1-10981,5,8,1-10981,34,7,0,5,7.127186430618167,0.20962313031229904
50,50,MLG14,20,11,MLG14,462,96,0,33,96.8394304420799,0.20960915680103875
453,453,MLG45,7,12,MLG45,179,37,0,16,37.406996577978134,0.20897763451384432
436,436,1-8702,5,8,1-8702,59,12,0,12,12.3052474334836,0.20856351582175595
298,298,1-7107,13,3,1-7107,84,17,0,2,17.050874572247267,0.2029866020505627
402,402,1-1958,3,6,1-1958,25,5,0,2,5.050874572247267,0.20203498288989066
535,535,1-9253,5,8,1-9253,30,6,0,2,6.050874572247267,0.20169581907490888
438,438,1-9100,16,15,1-9100,142,27,0,59,28.50079988129437,0.20070985831897442
331,331,1-9412,11,7,1-9412,15,3,0,0,3.0,0.2
94,94,1-8928,7,12,1-8928,30,6,0,0,6.0,0.2
500,500,MLG50,12,13,MLG50,168,33,0,21,33.5341830085963,0.1996082321940256
174,174,1-6568,13,3,1-6568,394,72,0,260,78.61369439214468,0.19952714312727077
