,exam,slot
0,1-3186,1
1,MLG02,17
2,MLG03,4
3,MLG06,21
4,1-1530,13
5,1-8611,9
6,1-3026,6
7,MLG12,5
8,MLG15,10
9,MLG63,18
10,MLG08,11
11,1-19755,19
12,1-3523,16
13,MLG11,11
14,1-3037,6
15,MLG14,2
16,1-0691,20
17,1-8165,14
18,1-5635,4
19,1-2272,11
20,1-0708,20
21,1-1633,1
22,1-6568,13
23,1-8567,12
24,MLG62,18
25,1-6569,7
26,1-3047,20
27,1-7425,1
28,1-6957,7
29,1-7462,14
30,1-8718,16
31,1-1687,9
32,1-3152,12
33,1-18507,3
34,1-8019,7
35,1-7901,14
36,MLG67,3
37,1-7946,13
38,1-5899,12
39,1-7172,19
40,1-1070,20
41,MLG70,15
42,1-8681,3
43,1-8753,22
44,1-8371,2
45,1-2292,7
46,1-3056,16
47,1-1035,20
48,1-4766,4
49,1-19257,19
50,1-4011,10
51,1-9365,5
52,1-7302,17
53,1-6727,22
54,MLG66,19
55,MLG13,11
56,1-4874,16
57,MLG61,18
58,MLG53,8
59,1-0916,4
60,1-6678,21
61,1-8484,7
62,1-1131,2
63,1-5531,20
64,1-0983,13
65,1-7460,11
66,1-3496,13
67,1-4394,7
68,1-0677,20
69,1-8564,22
70,1-5228,9
71,MLG45,3
72,1-0918,1
73,MLG74,10
74,MLG09,2
75,MLG73,17
76,1-7518,9
77,MLG50,4
78,1-5642,7
79,MLG57,2
80,1-9340,11
81,1-7038,11
82,MLG33,15
83,1-7306,16
84,1-1712,22
85,MLG26,8
86,MLG65,6
87,1-2742,9
88,MLG68,16
89,1-3509,14
90,1-1099,16
91,1-6684,2
92,1-6511,8
93,MLG71,14
94,1-3693,20
95,1-9100,20
96,1-7402,20
97,1-4654,1
98,MLG36,15
99,1-0917,14
100,1-0541,22
101,1-1655,1
102,MLG76,11
103,1-2275,13
104,MLG64,4
105,1-0529,13
106,1-7872,21
107,1-0598,7
108,1-1005,10
109,1-3364,22
110,1-9114,1
111,1-1887,3
112,1-1166,19
113,1-7971,12
114,1-6166,17
115,1-3174,1
116,MLG48,17
117,1-3246,21
118,1-3051,9
119,1-1136,9
120,1-1152,10
121,MLG52,13
122,1-8949,11
123,MLG59,17
124,1-8480,20
125,1-9260,21
126,1-8121,1
127,MLG55,8
128,1-18045,20
129,MLG56,18
130,1-8754,9
131,1-6501,22
132,1-4397,18
133,MLG47,14
134,1-2485,1
135,1-7057,20
136,1-7720,20
137,1-3135,17
138,1-7993,12
139,1-8228,9
140,MLG51,22
141,1-7081,18
142,1-9341,8
143,1-12345,1
144,1-7187,7
145,1-7589,3
146,1-19891,7
147,MLG78,17
148,1-6677,1
149,MLG29,15
150,1-7539,13
151,1-7725,14
152,1-3717,7
153,1-8666,13
154,1-9157,12
155,1-2364,4
156,MLG83,15
157,1-7547,22
158,1-7107,22
159,1-5687,22
160,1-1119,22
161,1-7636,7
162,1-10960,9
163,1-7870,12
164,1-9454,18
165,1-8368,1
166,1-5696,2
167,MLG32,15
168,1-7523,14
169,1-6591,5
170,1-9291,9
171,1-6637,3
172,1-19068,9
173,1-9276,5
174,MLG17,2
175,1-7625,12
176,1-7733,3
177,1-19121,12
178,1-9071,5
179,1-7900,14
180,1-9294,17
181,1-8678,6
182,MLG69,9
183,1-1466,17
184,MLG18,10
185,MLG42,16
186,1-3405,1
187,MLG82,15
188,1-6506,1
189,1-0582,12
190,1-1176,1
191,1-0429,9
192,1-3254,18
193,1-7943,9
194,1-8628,6
195,1-6625,16
196,1-7522,6
197,MLG27,8
198,1-8630,4
199,MLG30,15
200,MLG58,5
201,1-9515,1
202,1-1367,14
203,1-6953,17
204,1-6654,7
205,1-0447,21
206,1-8629,4
207,1-7488,1
208,1-6214,20
209,1-6249,19
210,1-1514,19
211,1-9644,14
212,1-8916,3
213,1-10043,19
214,P1-0004,21
215,1-0455,1
216,1-18620,6
217,1-19884,2
218,1-9351,17
219,1-8702,16
220,1-7936,8
221,1-5185,13
222,1-5159,1
223,1-5686,6
224,1-8087,5
225,1-19133,22
226,1-7403,9
227,1-8055,6
228,1-17959,12
229,1-8986,13
230,1-11205,18
231,1-8044,14
232,1-18412,18
233,1-8135,22
234,1-10800,12
235,1-9040,3
236,1-8053,9
237,1-18266,4
238,MLG20,17
239,1-8061,6
240,1-10808,17
241,1-8058,22
242,1-18469,9
243,1-9542,4
244,1-7332,8
245,1-8729,13
246,1-11189,19
247,1-8177,21
248,1-8618,11
249,1-11438,13
250,1-8300,21
251,1-8287,22
252,1-8735,2
253,1-2829,11
254,1-8808,15
255,1-3302,15
256,1-0984,14
257,1-8057,10
258,MLG37,15
259,1-2432,8
260,MLG24,15
261,1-18956,2
262,1-7656,13
263,1-7464,4
264,1-8284,22
265,1-8711,9
266,1-1025,9
267,1-6492,18
268,1-2083,4
269,1-1964,7
270,1-6494,7
271,1-5568,22
272,1-8951,12
273,1-8537,19
274,1-7723,11
275,1-3477,11
276,1-3075,10
277,1-7418,1
278,1-8750,22
279,1-20068,13
280,1-20045,9
281,1-7622,21
282,MLG35,22
283,1-8973,20
284,1-18635,16
285,1-18816,10
286,1-3489,7
287,1-0454,6
288,MLG01,8
289,1-7390,19
290,1-7348,4
291,1-11045,20
292,MLG31,7
293,1-8545,22
294,1-3081,6
295,1-7581,6
296,1-7326,4
297,1-6101,14
298,1-0584,12
299,1-0754,16
300,1-3077,1
301,1-3469,13
302,1-7809,1
303,1-7899,10
304,1-2006,21
305,1-8924,13
306,1-8990,22
307,1-7579,19
308,1-10018,3
309,1-9543,8
310,MLG43,6
311,1-1047,8
312,1-8864,9
313,1-8834,5
314,1-18973,18
315,1-6764,15
316,1-3216,17
317,1-9399,15
318,1-7655,15
319,1-8765,14
320,1-5109,19
321,1-3257,10
322,1-18435,17
323,1-8613,14
324,1-19093,12
325,1-6543,8
326,1-6835,5
327,1-6721,1
328,1-2699,2
329,1-8859,22
330,1-9499,9
331,1-17970,8
332,1-3162,6
333,1-11209,5
334,1-9063,2
335,1-1763,1
336,7W2-19692,13
337,1-3079,13
338,1-8497,22
339,1-8126,1
340,1-10981,16
341,1-0363,5
342,1-18987,2
343,1-11132,22
344,1-7781,19
345,1-7883,1
346,MLG22,2
347,7W2-0103,9
348,1-0997,2
349,1-7429,19
350,1-3491,1
351,1-4776,3
352,1-8853,15
353,1-7456,20
354,1-6661,13
355,1-5537,3
356,1-6737,19
357,1-9601,1
358,1-5655,4
359,1-6168,14
360,1-20100,22
361,1-6199,5
362,MLG40,14
363,1-10294,16
364,1-5515,22
365,1-19109,4
366,1-8928,9
367,1-9285,8
368,1-18927,2
369,1-9217,10
370,1-7647,6
371,1-9253,17
372,1-3300,7
373,1-18794,6
374,1-7486,22
375,1-8187,15
376,1-3356,21
377,1-10305,4
378,1-6496,22
379,1-11388,18
380,1-20077,22
381,1-6554,10
382,1-3472,16
383,1-9182,15
384,1-7567,10
385,1-10725,10
386,MLG38,7
387,1-6029,22
388,1-7776,16
389,1-8691,6
390,1-7575,13
391,1-7301,8
392,1-7499,5
393,1-8766,9
394,1-7449,22
395,1-1958,12
396,1-20138,12
397,1-19851,1
398,1-8914,6
399,1-11522,22
400,1-11523,15
401,1-7484,17
402,1-9123,9
403,1-9436,6
404,1-6559,21
405,1-6558,21
406,1-7453,1
407,1-0295,19
408,1-7987,11
409,1-9245,17
410,7W2-12806,11
411,1-8186,1
412,1-7770,1
413,1-5819,3
414,1-18370,10
415,1-7621,10
416,1-2192,22
417,1-9115,16
418,1-9121,1
419,1-7564,1
420,MLG28,22
421,1-8162,11
422,1-17969,10
423,1-1636,13
424,1-18869,16
425,1-7476,1
426,1-20040,21
427,1-9287,11
428,1-5221,4
429,1-9135,3
430,1-20065,1
431,1-6533,10
432,1-19627,10
433,1-10042,4
434,1-11026,4
435,1-10919,3
436,1-3182,9
437,1-11533,3
438,1-9458,1
439,1-8023,16
440,1-20081,6
441,1-19987,1
442,1-9232,18
443,1-4136,19
444,1-7467,13
445,1-2028,16
446,1-7715,13
447,1-9473,4
448,1-1959,1
449,1-5154,22
450,1-3301,12
451,1-7146,22
452,1-0487,1
453,1-11121,7
454,1-20046,4
455,1-9225,16
456,1-9586,4
457,1-5287,22
458,1-8747,22
459,1-17979,9
460,1-7083,6
461,1-1067,12
462,1-7430,19
463,1-9522,19
464,1-8062,6
465,1-7753,22
466,MLG04,1
467,1-9197,22
468,1-9316,4
469,1-9095,7
470,1-8291,18
471,1-9396,9
472,1-3733,15
473,1-3371,2
474,1-19108,1
475,1-9548,17
476,1-7910,1
477,1-9412,6
478,1-8981,22
479,1-8090,17
480,1-10882,9
481,1-3141,10
482,1-18952,15
483,1-6816,22
484,1-9203,19
485,1-9267,16
486,1-7444,1
487,1-2523,1
488,1-2322,5
489,MLG05,4
490,1-2318,22
491,1-9259,14
492,1-7297,22
493,1-9318,10
494,1-3631,13
495,1-3309,12
496,1-7712,4
497,1-8039,5
498,1-7472,1
499,1-20780,10
500,1-19859,22
501,1-5271,11
502,1-0305,4
503,1-11534,22
504,1-7721,9
505,MLG25,12
506,1-19069,22
507,1-6608,17
508,1-7737,14
509,1-0337,14
510,1-8242,9
511,1-7707,5
512,1-5140,22
513,1-18770,2
514,1-10823,15
515,1-2429,14
516,1-17965,11
517,MLG77,16
518,1-4413,1
519,1-10952,7
520,1-5314,22
521,1-17927,19
522,1-3099,1
523,1-3699,1
524,1-6015,12
525,1-19067,21
526,1-9584,15
527,1-7711,5
528,1-3369,14
529,1-9466,2
530,1-3727,22
531,1-7178,1
532,1-18369,14
533,1-9600,22
534,1-7886,1
535,1-3117,8
536,1-4609,10
537,P1-6891,20
538,1-5965,9
539,P1-17272,21
540,1-3702,20
541,1-19192,4
542,1-9230,22
543,1-18953,1
544,1-21411,13
545,1-9935,1
546,1-7834,4
547,1-3100,1
548,1-9621,4
549,1-9643,16
550,1-3142,4
551,1-10622,13
552,1-5303,16
553,1-7356,17
554,1-10217,10
555,1-3734,13
556,1-19989,14
557,1-5873,22
558,1-5199,9
559,1-5304,5
560,1-20124,5
561,1-8940,22
562,1-8899,2
563,1-5713,1
564,1-5146,1
565,1-3739,7
566,1-3380,1
567,1-9486,1
568,1-9133,1
569,1-5714,1
570,1-7481,1
571,1-9958,22
572,1-21180,11
573,1-20283,1
574,1-4618,11
575,1-4387,1
