,exam,slot
0,1-3186,9
1,MLG02,4
2,MLG03,15
3,MLG06,1
4,1-1530,5
5,1-8611,11
6,1-3026,6
7,MLG12,14
8,MLG15,13
9,MLG63,8
10,MLG08,13
11,1-19755,14
12,1-3523,10
13,MLG11,7
14,1-3037,6
15,MLG14,4
16,1-0691,2
17,1-8165,10
18,1-5635,15
19,1-2272,11
20,1-0708,2
21,1-1633,9
22,1-6568,5
23,1-8567,3
24,MLG62,13
25,1-6569,1
26,1-3047,2
27,1-7425,9
28,1-6957,1
29,1-7462,7
30,1-8718,7
31,1-1687,11
32,1-3152,3
33,1-18507,9
34,1-8019,10
35,1-7901,8
36,MLG67,12
37,1-7946,5
38,1-5899,3
39,1-7172,14
40,1-1070,2
41,MLG70,12
42,1-8681,20
43,1-8753,19
44,1-8371,15
45,1-2292,17
46,1-3056,7
47,1-1035,2
48,1-4766,20
49,1-19257,17
50,1-4011,3
51,1-9365,12
52,1-7302,17
53,1-6727,3
54,MLG66,20
55,MLG13,13
56,1-4874,9
57,MLG61,17
58,MLG53,16
59,1-0916,15
60,1-6678,20
61,1-8484,19
62,1-1131,4
63,1-5531,2
64,1-0983,5
65,1-7460,11
66,1-3496,5
67,1-4394,19
68,1-0677,2
69,1-8564,3
70,1-5228,11
71,MLG45,19
72,1-0918,9
73,MLG74,16
74,MLG09,8
75,MLG73,11
76,1-7518,11
77,MLG50,15
78,1-5642,1
79,MLG57,18
80,1-9340,11
81,1-7038,10
82,MLG33,18
83,1-7306,7
84,1-1712,3
85,MLG26,18
86,MLG65,6
87,1-2742,11
88,MLG68,8
89,1-3509,15
90,1-1099,14
91,1-6684,5
92,1-6511,18
93,MLG71,15
94,1-3693,2
95,1-9100,2
96,1-7402,2
97,1-4654,9
98,MLG36,18
99,1-0917,8
100,1-0541,18
101,1-1655,9
102,MLG76,13
103,1-2275,5
104,MLG64,8
105,1-0529,14
106,1-7872,12
107,1-0598,17
108,1-1005,5
109,1-3364,3
110,1-9114,6
111,1-1887,20
112,1-1166,14
113,1-7971,18
114,1-6166,11
115,1-3174,5
116,MLG48,20
117,1-3246,7
118,1-3051,11
119,1-1136,11
120,1-1152,16
121,MLG52,4
122,1-8949,13
123,MLG59,20
124,1-8480,2
125,1-9260,2
126,1-8121,1
127,MLG55,19
128,1-18045,2
129,MLG56,12
130,1-8754,11
131,1-6501,19
132,1-4397,2
133,MLG47,5
134,1-2485,13
135,1-7057,2
136,1-7720,2
137,1-3135,5
138,1-7993,3
139,1-8228,11
140,MLG51,1
141,1-7081,8
142,1-9341,20
143,1-12345,5
144,1-7187,17
145,1-7589,20
146,1-19891,17
147,MLG78,1
148,1-6677,4
149,MLG29,18
150,1-7539,5
151,1-7725,15
152,1-3717,19
153,1-8666,4
154,1-9157,3
155,1-2364,20
156,MLG83,18
157,1-7547,16
158,1-7107,2
159,1-5687,18
160,1-1119,16
161,1-7636,19
162,1-10960,11
163,1-7870,15
164,1-9454,8
165,1-8368,9
166,1-5696,1
167,MLG32,18
168,1-7523,8
169,1-6591,11
170,1-9291,11
171,1-6637,7
172,1-19068,11
173,1-9276,15
174,MLG17,13
175,1-7625,15
176,1-7733,20
177,1-19121,16
178,1-9071,3
179,1-7900,19
180,1-9294,16
181,1-8678,19
182,MLG69,4
183,1-1466,18
184,MLG18,6
185,MLG42,20
186,1-3405,9
187,MLG82,12
188,1-6506,9
189,1-0582,1
190,1-1176,10
191,1-0429,10
192,1-3254,8
193,1-7943,9
194,1-8628,16
195,1-6625,17
196,1-7522,17
197,MLG27,16
198,1-8630,17
199,MLG30,18
200,MLG58,17
201,1-9515,6
202,1-1367,5
203,1-6953,10
204,1-6654,6
205,1-0447,2
206,1-8629,14
207,1-7488,9
208,1-6214,2
209,1-6249,14
210,1-1514,17
211,1-9644,1
212,1-8916,20
213,1-10043,1
214,P1-0004,19
215,1-0455,12
216,1-18620,6
217,1-19884,20
218,1-9351,6
219,1-8702,7
220,1-7936,2
221,1-5185,15
222,1-5159,14
223,1-5686,12
224,1-8087,16
225,1-19133,9
226,1-7403,11
227,1-8055,19
228,1-17959,18
229,1-8986,5
230,1-11205,13
231,1-8044,16
232,1-18412,15
233,1-8135,6
234,1-10800,3
235,1-9040,19
236,1-8053,13
237,1-18266,15
238,MLG20,10
239,1-8061,17
240,1-10808,13
241,1-8058,6
242,1-18469,11
243,1-9542,6
244,1-7332,18
245,1-8729,20
246,1-11189,16
247,1-8177,16
248,1-8618,4
249,1-11438,5
250,1-8300,8
251,1-8287,17
252,1-8735,20
253,1-2829,5
254,1-8808,12
255,1-3302,4
256,1-0984,6
257,1-8057,20
258,MLG37,19
259,1-2432,19
260,MLG24,10
261,1-18956,4
262,1-7656,5
263,1-7464,6
264,1-8284,3
265,1-8711,11
266,1-1025,18
267,1-6492,8
268,1-2083,17
269,1-1964,2
270,1-6494,20
271,1-5568,19
272,1-8951,3
273,1-8537,1
274,1-7723,5
275,1-3477,5
276,1-3075,17
277,1-7418,20
278,1-8750,14
279,1-20068,4
280,1-20045,1
281,1-7622,1
282,MLG35,19
283,1-8973,2
284,1-18635,8
285,1-18816,13
286,1-3489,9
287,1-0454,1
288,MLG01,19
289,1-7390,2
290,1-7348,20
291,1-11045,2
292,MLG31,17
293,1-8545,4
294,1-3081,4
295,1-7581,16
296,1-7326,19
297,1-6101,6
298,1-0584,1
299,1-0754,20
300,1-3077,20
301,1-3469,6
302,1-7809,5
303,1-7899,5
304,1-2006,12
305,1-8924,1
306,1-8990,12
307,1-7579,1
308,1-10018,17
309,1-9543,1
310,MLG43,18
311,1-1047,9
312,1-8864,12
313,1-8834,7
314,1-18973,8
315,1-6764,5
316,1-3216,14
317,1-9399,1
318,1-7655,6
319,1-8765,3
320,1-5109,12
321,1-3257,13
322,1-18435,7
323,1-8613,6
324,1-19093,3
325,1-6543,19
326,1-6835,1
327,1-6721,13
328,1-2699,8
329,1-8859,20
330,1-9499,10
331,1-17970,20
332,1-3162,14
333,1-11209,20
334,1-9063,14
335,1-1763,12
336,7W2-19692,7
337,1-3079,1
338,1-8497,10
339,1-8126,10
340,1-10981,19
341,1-0363,2
342,1-18987,14
343,1-11132,5
344,1-7781,16
345,1-7883,1
346,MLG22,8
347,7W2-0103,10
348,1-0997,5
349,1-7429,19
350,1-3491,17
351,1-4776,19
352,1-8853,9
353,1-7456,14
354,1-6661,9
355,1-5537,20
356,1-6737,1
357,1-9601,19
358,1-5655,20
359,1-6168,20
360,1-20100,11
361,1-6199,13
362,MLG40,17
363,1-10294,8
364,1-5515,3
365,1-19109,1
366,1-8928,11
367,1-9285,11
368,1-18927,14
369,1-9217,9
370,1-7647,13
371,1-9253,14
372,1-3300,1
373,1-18794,1
374,1-7486,12
375,1-8187,14
376,1-3356,4
377,1-10305,13
378,1-6496,16
379,1-11388,20
380,1-20077,1
381,1-6554,20
382,1-3472,19
383,1-9182,8
384,1-7567,13
385,1-10725,13
386,MLG38,18
387,1-6029,11
388,1-7776,9
389,1-8691,16
390,1-7575,8
391,1-7301,20
392,1-7499,17
393,1-8766,20
394,1-7449,1
395,1-1958,16
396,1-20138,4
397,1-19851,10
398,1-8914,17
399,1-11522,5
400,1-11523,5
401,1-7484,20
402,1-9123,12
403,1-9436,2
404,1-6559,14
405,1-6558,8
406,1-7453,2
407,1-0295,8
408,1-7987,11
409,1-9245,1
410,7W2-12806,17
411,1-8186,20
412,1-7770,20
413,1-5819,20
414,1-18370,13
415,1-7621,14
416,1-2192,1
417,1-9115,7
418,1-9121,20
419,1-7564,1
420,MLG28,19
421,1-8162,1
422,1-17969,2
423,1-1636,19
424,1-18869,14
425,1-7476,5
426,1-20040,19
427,1-9287,4
428,1-5221,15
429,1-9135,13
430,1-20065,17
431,1-6533,16
432,1-19627,5
433,1-10042,15
434,1-11026,15
435,1-10919,11
436,1-3182,1
437,1-11533,3
438,1-9458,9
439,1-8023,8
440,1-20081,20
441,1-19987,12
442,1-9232,16
443,1-4136,11
444,1-7467,5
445,1-2028,8
446,1-7715,5
447,1-9473,20
448,1-1959,20
449,1-5154,15
450,1-3301,10
451,1-7146,11
452,1-0487,12
453,1-11121,9
454,1-20046,20
455,1-9225,11
456,1-9586,10
457,1-5287,9
458,1-8747,17
459,1-17979,18
460,1-7083,14
461,1-1067,20
462,1-7430,8
463,1-9522,19
464,1-8062,1
465,1-7753,13
466,MLG04,17
467,1-9197,16
468,1-9316,6
469,1-9095,1
470,1-8291,15
471,1-9396,14
472,1-3733,16
473,1-3371,14
474,1-19108,1
475,1-9548,11
476,1-7910,1
477,1-9412,6
478,1-8981,7
479,1-8090,18
480,1-10882,10
481,1-3141,18
482,1-18952,9
483,1-6816,8
484,1-9203,1
485,1-9267,20
486,1-7444,1
487,1-2523,1
488,1-2322,13
489,MLG05,16
490,1-2318,16
491,1-9259,9
492,1-7297,20
493,1-9318,17
494,1-3631,17
495,1-3309,12
496,1-7712,17
497,1-8039,4
498,1-7472,14
499,1-20780,3
500,1-19859,1
501,1-5271,9
502,1-0305,20
503,1-11534,14
504,1-7721,11
505,MLG25,20
506,1-19069,20
507,1-6608,1
508,1-7737,1
509,1-0337,1
510,1-8242,8
511,1-7707,14
512,1-5140,19
513,1-18770,11
514,1-10823,19
515,1-2429,16
516,1-17965,12
517,MLG77,1
518,1-4413,1
519,1-10952,16
520,1-5314,17
521,1-17927,1
522,1-3099,13
523,1-3699,17
524,1-6015,19
525,1-19067,2
526,1-9584,11
527,1-7711,10
528,1-3369,2
529,1-9466,1
530,1-3727,19
531,1-7178,1
532,1-18369,12
533,1-9600,20
534,1-7886,1
535,1-3117,19
536,1-4609,5
537,P1-6891,14
538,1-5965,18
539,P1-17272,20
540,1-3702,20
541,1-19192,14
542,1-9230,6
543,1-18953,1
544,1-21411,14
545,1-9935,1
546,1-7834,4
547,1-3100,8
