Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
1-9115,6,11,1-9115,22,6,0,4,9.644664287567139,0.43839383125305176
1-3186,9,19,1-3186,796,88,0,284,346.77116441726685,0.4356421663533503
1-3631,8,14,1-3631,13,2,0,4,5.644664287567139,0.4342049451974722
1-6101,2,15,1-6101,41,4,0,15,17.66749107837677,0.4309144165457749
1-0598,21,18,1-0598,122,43,0,10,52.11166071891785,0.4271447599911299
MLG47,16,6,MLG47,106,4,0,45,45.00247323513031,0.42455163429368215
1-11388,5,14,1-11388,28,0,0,13,11.8451589345932,0.4230413905211857
1-7460,7,1,1-7460,194,8,0,81,81.80445182323456,0.42167243207852867
1-1633,6,11,1-1633,399,67,0,111,168.1394339799881,0.42140209017540875
1-10800,21,18,1-10800,55,22,0,1,22.911166071891785,0.4165666558525779
1-9182,1,7,1-9182,28,8,0,4,11.644664287567139,0.4158808674131121
1-6637,5,14,1-6637,78,11,0,23,31.956819653511047,0.40970281607065445
1-3056,5,14,1-3056,250,52,0,55,102.11413395404816,0.4084565358161926
MLG45,22,5,MLG45,179,10,0,69,72.87045896053314,0.40709753609236393
1-18973,2,15,1-18973,39,14,0,2,15.82233214378357,0.4057008241995787
MLG17,1,7,MLG17,76,15,0,17,30.48982322216034,0.40118188450210973
1-4654,9,19,1-4654,138,7,0,53,55.29180181026459,0.4006652305091637
1-21411,11,2,1-21411,5,2,0,0,2.0,0.4
1-19891,14,3,1-19891,95,13,0,27,37.601483941078186,0.39580509411661247
MLG36,22,5,MLG36,136,21,0,36,53.80197858810425,0.39560278373606067
1-6168,5,14,1-6168,31,4,0,9,12.200494647026062,0.3935643434524536
1-8750,8,10,1-8750,45,4,0,15,17.66749107837677,0.39261091285281713
1-6199,1,7,1-6199,30,9,0,3,11.733498215675354,0.39111660718917846
1-17965,17,13,1-17965,10,3,0,1,3.9111660718917847,0.39111660718917846
1-8055,18,8,1-8055,57,15,0,8,22.289328575134277,0.3910408521953382
1-7484,1,7,1-7484,24,3,0,7,9.378162503242493,0.3907567709684372
1-8914,2,15,1-8914,25,7,0,3,9.733498215675354,0.38933992862701416
1-7306,5,14,1-7306,159,30,0,35,61.89081251621246,0.3892503931837262
1-8859,6,11,1-8859,36,3,0,12,13.933992862701416,0.38705535729726154
1-2006,11,2,1-2006,40,10,0,6,15.466996431350708,0.3866749107837677
1-20100,1,7,1-20100,31,1,0,12,11.933992862701416,0.3849675117000457
MLG29,22,5,MLG29,93,13,0,25,35.77915179729462,0.38472206233650125
1-3174,17,13,1-3174,117,22,0,25,44.77915179729462,0.38272779313927024
1-9135,20,24,1-9135,21,8,0,0,8.0,0.38095238095238093
1-3356,4,16,1-3356,28,7,0,4,10.644664287567139,0.3801665816988264
1-3047,15,21,1-3047,360,0,0,150,136.6749107837677,0.3796525299549103
1-9123,15,21,1-9123,24,0,0,10,9.111660718917847,0.3796525299549103
1-9100,15,21,1-9100,142,0,0,59,53.758798241615295,0.3785830862085584
1-5655,11,2,1-5655,31,9,0,3,11.733498215675354,0.37849994244114044
1-19068,7,1,1-19068,77,9,0,22,29.045653581619263,0.37721628028076964
1-10919,3,23,1-10919,20,2,0,6,7.466996431350708,0.3733498215675354
1-9276,21,18,1-9276,77,26,0,3,28.733498215675354,0.3731623144892903
1-7488,9,19,1-7488,65,5,0,21,24.134487509727478,0.3712998078419612
1-9217,3,23,1-9217,30,2,0,10,11.111660718917847,0.3703886906305949
1-9294,8,10,1-9294,74,11,0,18,27.400989294052124,0.3702836391088125
1-9396,11,2,1-9396,16,5,0,1,5.911166071891785,0.36944787949323654
1-19851,12,12,1-19851,25,1,0,9,9.200494647026062,0.3680197858810425
1-12345,6,19,1-12345,97,11,0,27,35.601483941078186,0.3670256076399813
1-8765,12,12,1-8765,38,2,0,13,13.8451589345932,0.36434628775245265
1-8681,11,2,1-8681,260,78,0,18,94.40098929405212,0.3630807280540466
1-8753,14,3,1-8753,258,28,0,72,93.6039571762085,0.3628060355666996
1-8753,14,3,1-8753,258,28,0,72,93.6039571762085,0.3628060355666996
1-9499,2,15,1-9499,36,12,0,1,12.911166071891785,0.358643501996994
1-7733,17,13,1-7733,76,9,0,20,27.223321437835693,0.3582015978662591
1-8187,1,7,1-8187,29,4,0,7,10.378162503242493,0.3578676725256032
1-11522,2,15,1-11522,24,4,0,5,8.555830359458923,0.3564929316441218
1-8808,18,8,1-8808,52,13,0,6,18.466996431350708,0.3551345467567444
1-7449,13,9,1-7449,25,7,0,2,8.82233214378357,0.35289328575134277
1-9548,17,13,1-9548,16,2,0,4,5.644664287567139,0.35279151797294617
1-3727,18,8,1-3727,8,1,0,2,2.8223321437835693,0.35279151797294617
1-6568,17,13,1-6568,394,55,0,92,138.8272786140442,0.35235349902041674
1-18045,15,21,1-18045,109,0,0,42,38.268975019454956,0.35109151393995375
1-7172,16,6,1-7172,284,34,0,72,99.6039571762085,0.35071815907115667
1-18987,4,16,1-18987,34,10,0,2,11.82233214378357,0.34771565128775206
7W2-0103,1,7,7W2-0103,33,6,0,6,11.466996431350708,0.3474847403439609
