Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
513,513,513,513,513,513,1-7453,12,16,1-7453,24,6,0,5,10.635361135005951,0.44314004729191464
444,444,444,444,444,444,1-2083,15,13,1-2083,48,11,0,11,21.197794497013092,0.44162071868777275
239,239,239,239,239,239,1-1136,4,17,1-1136,113,9,0,44,49.79117798805237,0.4406298936995785
394,394,394,394,394,394,1-8808,11,8,1-8808,52,9,0,15,22.906083405017853,0.44050160394265103
221,221,221,221,221,221,1-20138,9,1,1-20138,25,11,0,0,11.0,0.44
484,484,484,484,484,484,MLG35,3,9,MLG35,44,10,0,10,19.270722270011902,0.4379709606820887
489,489,489,489,489,489,1-8058,21,6,1-8058,54,6,0,19,23.614372313022614,0.43730319098190024
363,363,363,363,363,363,1-7993,6,19,1-7993,100,0,0,47,43.57239466905594,0.43572394669055936
480,480,480,480,480,480,1-1514,7,15,1-1514,64,10,0,19,27.614372313022614,0.43147456739097834
384,384,384,384,384,384,1-0584,8,7,1-0584,41,1,0,18,17.687300086021423,0.43139756307369326
317,317,317,317,317,317,1-3733,8,7,1-3733,16,5,0,2,6.85414445400238,0.4283840283751488
516,516,516,516,516,516,1-0337,16,4,1-0337,11,1,0,4,4.708288908004761,0.42802626436406915
223,223,223,223,223,223,1-5109,7,14,1-5109,37,13,0,3,15.78121668100357,0.4265193697568533
461,461,461,461,461,461,1-9351,7,15,1-9351,60,7,0,20,25.541444540023804,0.42569074233373005
412,412,412,412,412,412,1-7403,21,6,1-7403,58,8,0,18,24.687300086021423,0.42564310493140384
181,181,181,181,181,181,1-9123,4,17,1-9123,24,0,0,11,10.197794497013092,0.4249081040422122
387,387,387,387,387,387,1-3469,21,6,1-3469,40,3,0,15,16.906083405017853,0.42265208512544633
481,481,481,481,481,481,1-19851,18,12,1-19851,25,5,0,6,10.562433362007141,0.42249733448028565
58,58,58,58,58,58,1-7723,13,11,1-7723,46,12,0,8,19.41657781600952,0.4220995177393374
120,120,120,120,120,120,MLG69,19,25,MLG69,73,0,0,33,30.593383491039276,0.4190874450827298
29,29,29,29,29,29,1-8090,10,5,1-8090,14,4,0,2,5.85414445400238,0.4181531752858843
347,347,347,347,347,347,1-7720,16,4,1-7720,102,6,0,39,42.15581685304642,0.4132923220886904
27,27,27,27,27,27,1-0984,20,14,1-0984,50,15,0,6,20.56243336200714,0.4112486672401428
41,41,41,41,41,41,MLG24,3,9,MLG24,49,9,0,12,20.124866724014282,0.4107115657962098
276,276,276,276,276,276,1-9548,4,17,1-9548,16,1,0,6,6.562433362007141,0.4101520851254463
28,28,28,28,28,28,1-7081,20,14,1-7081,99,35,0,6,40.56243336200714,0.40972154911118325
535,535,535,535,535,535,1-9253,5,2,1-9253,30,3,0,10,12.270722270011902,0.4090240756670634
476,476,476,476,476,476,MLG01,21,6,MLG01,43,12,0,6,17.56243336200714,0.4084286828373754
247,247,247,247,247,247,1-8753,21,6,1-8753,258,20,0,92,105.2906448841095,0.40810327474461044
488,488,488,488,488,488,1-18369,3,9,1-18369,7,1,0,2,2.8541444540023804,0.40773492200034006
45,45,45,45,45,45,1-1070,16,4,1-1070,280,20,0,101,113.63429492712021,0.4058367675968579
520,520,520,520,520,520,1-8287,21,6,1-8287,53,2,0,21,21.468516767024994,0.40506635409481123
482,482,482,482,482,482,1-11534,8,7,1-11534,12,3,0,2,4.85414445400238,0.4045120378335317
496,496,496,496,496,496,1-18973,1,21,1-18973,39,0,0,17,15.760227859020233,0.40410840664154446
254,254,254,254,254,254,1-9230,12,16,1-9230,5,2,0,0,2.0,0.4
53,53,53,53,53,53,1-9340,4,17,1-9340,163,3,0,67,65.11383920907974,0.3994714061906733
485,485,485,485,485,485,MLG25,14,10,MLG25,12,2,0,3,4.781216681003571,0.39843472341696423
243,243,243,243,243,243,1-7712,3,9,1-7712,12,2,0,3,4.781216681003571,0.39843472341696423
