Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
143,143,143,143,143,143,143,1-12345,5,4,1-12345,97,0,0,44,21.279897093772888,0.21938038241002977
146,146,146,146,146,146,146,1-19891,21,6,1-19891,95,1,0,41,20.828995019197464,0.21925257914944699
185,185,185,185,185,185,185,MLG42,16,11,MLG42,72,9,0,14,15.770876348018646,0.21903994927803674
451,451,451,451,451,451,451,1-7146,9,18,1-7146,18,2,0,4,3.934536099433899,0.21858533885743883
324,324,324,324,324,324,324,1-19093,17,10,1-19093,36,3,0,10,7.836340248584747,0.21767611801624298
202,202,202,202,202,202,202,1-1367,14,13,1-1367,66,8,0,13,14.287242323160172,0.21647336853272986
247,247,247,247,247,247,247,1-8177,16,11,1-8177,53,9,0,5,11.418170124292374,0.21543717215645988
23,23,23,23,23,23,23,1-8567,17,10,1-8567,388,46,0,77,83.23981991410255,0.21453561833531587
43,43,43,43,43,43,43,1-8753,21,6,1-8753,258,4,0,106,55.26520663499832,0.21420622726743535
99,99,99,99,99,99,99,1-0917,9,18,1-0917,134,17,0,24,28.607216596603394,0.2134866910194283
61,61,61,61,61,61,61,1-8484,21,6,1-8484,202,17,0,54,43.116237342357635,0.21344671951662195
413,413,413,413,413,413,413,1-5819,19,8,1-5819,23,1,0,8,4.869072198867798,0.21169879125512164
428,428,428,428,428,428,428,1-5221,9,18,1-5221,21,2,0,5,4.418170124292374,0.21038905353773207
377,377,377,377,377,377,377,1-10305,19,8,1-10305,28,0,0,12,5.803608298301697,0.2072717249393463
503,503,503,503,503,503,503,1-11534,3,19,1-11534,12,2,0,1,2.4836340248584747,0.20696950207153955
358,358,358,358,358,358,358,1-5655,15,12,1-5655,31,3,0,7,6.385438174009323,0.2059818765809459
96,96,96,96,96,96,96,1-7402,10,17,1-7402,141,12,0,35,28.927190870046616,0.20515738205706818
176,176,176,176,176,176,176,1-7733,7,23,1-7733,76,1,0,30,15.509020745754242,0.20406606244413475
34,34,34,34,34,34,34,1-8019,21,6,1-8019,320,7,0,120,65.03608298301697,0.20323775932192803
52,52,52,52,52,52,52,1-7302,1,2,1-7302,240,6,0,88,48.559794187545776,0.20233247578144073
511,511,511,511,511,511,511,1-7707,8,21,1-7707,10,2,0,0,2.0,0.2
153,153,153,153,153,153,153,1-8666,14,13,1-8666,89,3,0,30,17.509020745754242,0.19673057017701395
514,514,514,514,514,514,514,1-10823,15,12,1-10823,10,1,0,2,1.9672680497169495,0.19672680497169495
170,170,170,170,170,170,170,1-9291,12,15,1-9291,78,7,0,17,15.22177842259407,0.1951510054178727
89,89,89,89,89,89,89,1-3509,9,18,1-3509,150,19,0,21,29.15631452202797,0.19437543014685313
51,51,51,51,51,51,51,1-9365,19,8,1-9365,243,11,0,74,46.78891783952713,0.1925469869939388
229,229,229,229,229,229,229,1-8986,20,7,1-8986,57,10,0,2,10.96726804971695,0.19240821139854297
6,6,6,6,6,6,6,1-3026,3,19,1-3026,570,28,0,168,109.25051617622375,0.19166757223898903
260,260,260,260,260,260,260,MLG24,16,11,MLG24,49,6,0,7,9.385438174009323,0.19153955457161884
28,28,28,28,28,28,28,1-6957,21,6,1-6957,338,3,0,127,64.42152115702629,0.19059621644090619
189,189,189,189,189,189,189,1-0582,11,16,1-0582,70,7,0,13,13.287242323160172,0.18981774747371674
72,72,72,72,72,72,72,1-0918,5,4,1-0918,179,0,0,69,33.37074771523476,0.18642875818566904
475,475,475,475,475,475,475,1-9548,8,21,1-9548,16,2,0,2,2.9672680497169495,0.18545425310730934
302,302,302,302,302,302,302,1-7809,13,14,1-7809,40,5,0,5,7.418170124292374,0.18545425310730934
118,118,118,118,118,118,118,1-3051,12,15,1-3051,116,6,0,32,21.47628879547119,0.18514042065061373
279,279,279,279,279,279,279,1-20068,14,13,1-20068,45,3,0,11,8.319974273443222,0.18488831718762716
353,353,353,353,353,353,353,1-7456,10,17,1-7456,32,2,0,8,5.869072198867798,0.18340850621461868
68,68,68,68,68,68,68,1-0677,10,17,1-0677,187,13,0,44,34.27989709377289,0.18331495772071063
160,160,160,160,160,160,160,1-1119,18,9,1-1119,83,13,0,4,14.934536099433899,0.17993416987269759
16,16,16,16,16,16,16,1-0691,10,17,1-0691,450,29,0,107,80.7488406598568,0.1794418681330151
109,109,109,109,109,109,109,1-3364,17,10,1-3364,121,10,0,24,21.607216596603394,0.1785720379884578
216,216,216,216,216,216,216,1-18620,21,6,1-18620,60,1,0,20,10.672680497169495,0.17787800828615824
59,59,59,59,59,59,59,1-0916,19,8,1-0916,215,1,0,77,38.239819914102554,0.17785962750745374
421,421,421,421,421,421,421,1-8162,1,2,1-8162,22,1,0,6,3.9018041491508484,0.17735473405231128
271,271,271,271,271,271,271,1-5568,17,10,1-5568,47,2,0,13,8.287242323160172,0.17632430474808874
506,506,506,506,506,506,506,1-19069,1,2,1-19069,11,0,0,4,1.934536099433899,0.17586691813035446
17,17,17,17,17,17,17,1-8165,9,18,1-8165,420,29,0,92,73.49433028697968,0.17498650068328495
139,139,139,139,139,139,139,1-8228,13,14,1-8228,99,11,0,13,17.28724232316017,0.1746186093248502
30,30,30,30,30,30,30,1-8718,4,20,1-8718,333,38,0,41,57.828995019197464,0.17366064570329567
25,25,25,25,25,25,25,1-6569,21,6,1-6569,360,3,0,122,62.00335103273392,0.1722315306464831
301,301,301,301,301,301,301,1-3469,3,19,1-3469,40,2,0,10,6.836340248584747,0.17090850621461867
69,69,69,69,69,69,69,1-8564,17,10,1-8564,185,17,0,30,31.509020745754242,0.17031903105813104
447,447,447,447,447,447,447,1-9473,19,8,1-9473,20,0,0,7,3.385438174009323,0.16927190870046616
54,54,54,54,54,54,54,MLG66,1,2,MLG66,229,8,0,63,38.46894356608391,0.16798665312700398
226,226,226,226,226,226,226,1-7403,21,6,1-7403,58,2,0,16,9.738144397735596,0.1678990413402689
239,239,239,239,239,239,239,1-8061,23,25,1-8061,55,0,0,19,9.18904647231102,0.16707357222383673
404,404,404,404,404,404,404,1-6559,1,2,1-6559,24,3,0,2,3.9672680497169495,0.1653028354048729
298,298,298,298,298,298,298,1-0584,23,25,1-0584,41,0,0,14,6.770876348018646,0.1651433255614304
523,523,523,523,523,523,523,1-3699,3,19,1-3699,9,1,0,1,1.4836340248584747,0.16484822498427498
3,3,3,3,3,3,3,MLG06,18,9,MLG06,634,81,0,45,102.76353111863136,0.16208758851519142
174,174,174,174,174,174,174,MLG17,8,21,MLG17,76,6,0,13,12.287242323160172,0.16167424109421277
452,452,452,452,452,452,452,1-0487,5,4,1-0487,18,0,0,6,2.9018041491508484,0.16121134161949158
559,559,559,559,559,559,559,1-5304,23,25,1-5304,3,0,0,1,0.48363402485847473,0.16121134161949158
132,132,132,132,132,132,132,1-4397,10,17,1-4397,106,3,0,29,17.025386720895767,0.16061685585750723
64,64,64,64,64,64,64,1-0983,14,13,1-0983,195,9,0,46,31.247165143489838,0.16024187253071712
122,122,122,122,122,122,122,1-8949,23,25,1-8949,112,0,0,37,17.894458919763565,0.15977195464074612
338,338,338,338,338,338,338,1-8497,17,10,1-8497,34,3,0,5,5.418170124292374,0.15935794483212865
31,31,31,31,31,31,31,1-1687,12,15,1-1687,325,26,0,53,51.63260331749916,0.1588695486692282
241,241,241,241,241,241,241,1-8058,20,7,1-8058,54,8,0,1,8.483634024858475,0.15710433379367547
424,424,424,424,424,424,424,1-18869,18,9,1-18869,22,2,0,3,3.450902074575424,0.15685918520797382
106,106,106,106,106,106,106,1-7872,7,23,1-7872,124,2,0,36,19.41082489490509,0.15653891044278298
207,207,207,207,207,207,207,1-7488,5,4,1-7488,65,0,0,21,10.15631452202797,0.15625099264658415
46,46,46,46,46,46,46,1-3056,4,20,1-3056,250,24,0,31,38.99265477061272,0.15597061908245086
168,168,168,168,168,168,168,1-7523,14,13,1-7523,79,4,0,17,12.22177842259407,0.1547060559822034
237,237,237,237,237,237,237,1-18266,20,7,1-18266,55,8,0,1,8.483634024858475,0.15424789136106318
212,212,212,212,212,212,212,1-8916,7,23,1-8916,61,6,0,7,9.385438174009323,0.15385964219687415
4,4,4,4,4,4,4,1-1530,14,13,1-1530,632,33,0,132,96.83969128131866,0.15322735962233966
262,262,262,262,262,262,262,1-7656,9,18,1-7656,48,3,0,9,7.352706223726273,0.153181379660964
63,63,63,63,63,63,63,1-5531,11,16,1-5531,199,22,0,17,30.22177842259407,0.1518682332793672
265,265,265,265,265,265,265,1-8711,21,6,1-8711,48,1,0,13,7.2872423231601715,0.15181754839917025
412,412,412,412,412,412,412,1-7770,6,22,1-7770,23,3,0,1,3.4836340248584747,0.1514623489068902
238,238,238,238,238,238,238,MLG20,7,23,MLG20,55,2,0,13,8.287242323160172,0.15067713314836675
53,53,53,53,53,53,53,1-6727,17,10,1-6727,235,16,0,40,35.34536099433899,0.1504057914652723
