Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
539,539,539,539,539,P1-17272,15,15,P1-17272,6,1,0,1,1.7582329511642456,0.29303882519404095
67,67,67,67,67,1-4394,21,21,1-4394,190,4,0,68,55.5598406791687,0.2924202141008879
376,376,376,376,376,1-3356,2,10,1-3356,28,2,0,8,8.065863609313965,0.28806655747549875
436,436,436,436,436,1-3182,2,5,1-3182,20,5,0,1,5.758232951164246,0.2879116475582123
92,92,92,92,92,1-6511,23,23,1-6511,144,8,0,44,41.36224985122681,0.28723784618907505
321,321,321,321,321,1-3257,8,9,1-3257,37,0,0,14,10.615261316299438,0.2868989544945794
59,59,59,59,59,1-0916,19,19,1-0916,215,3,0,77,61.38393723964691,0.285506684835567
14,14,14,14,14,1-3037,3,3,1-3037,467,68,0,86,133.20803380012512,0.2852420423985549
527,527,527,527,527,1-7711,11,11,1-7711,8,0,0,3,2.274698853492737,0.2843373566865921
525,525,525,525,525,1-19067,9,11,1-19067,8,0,0,3,2.274698853492737,0.2843373566865921
242,242,242,242,242,1-18469,3,3,1-18469,54,10,0,7,15.30763065814972,0.2834746418175874
138,138,138,138,138,1-7993,17,17,1-7993,100,18,0,13,27.857028365135193,0.27857028365135195
373,373,373,373,373,1-18794,11,11,1-18794,29,2,0,8,8.065863609313965,0.2781332279073781
442,442,442,442,442,1-9232,1,21,1-9232,20,1,0,6,5.549397706985474,0.2774698853492737
51,51,51,51,51,1-9365,19,19,1-9365,243,11,0,74,67.10923838615417,0.27616970529281554
513,513,513,513,513,1-18770,19,20,1-18770,10,2,0,1,2.7582329511642456,0.27582329511642456
120,120,120,120,120,1-1152,4,2,1-1152,112,18,0,17,30.889960169792175,0.27580321580171585
210,210,210,210,210,1-1514,1,4,1-1514,64,7,0,14,17.61526131629944,0.2752384580671787
496,496,496,496,496,1-7712,1,4,1-7712,12,1,0,3,3.274698853492737,0.2728915711243947
348,348,348,348,348,1-0997,7,7,1-0997,33,9,0,0,9.0,0.2727272727272727
185,185,185,185,185,MLG42,16,16,MLG42,72,9,0,14,19.61526131629944,0.27243418494860333
202,202,202,202,202,1-1367,14,14,1-1367,66,8,0,13,17.857028365135193,0.2705610358353817
106,106,106,106,106,1-7872,7,7,1-7872,124,7,0,35,33.538153290748596,0.27046897815119836
304,304,304,304,304,1-2006,11,11,1-2006,40,7,0,5,10.791164755821228,0.2697791188955307
358,358,358,358,358,1-5655,15,15,1-5655,31,3,0,7,8.30763065814972,0.26798808574676514
435,435,435,435,435,1-10919,6,8,1-10919,20,0,0,7,5.307630658149719,0.26538153290748595
447,447,447,447,447,1-9473,19,19,1-9473,20,0,0,7,5.307630658149719,0.26538153290748595
23,23,23,23,23,1-8567,17,17,1-8567,388,46,0,75,102.86747133731842,0.2651223488075217
35,35,35,35,35,1-7901,9,6,1-7901,298,41,0,50,78.91164755821228,0.26480418643695397
289,289,289,289,289,1-7390,1,4,1-7390,43,3,0,11,11.340562462806702,0.26373401076294656
279,279,279,279,279,1-20068,14,14,1-20068,45,5,0,9,11.82409656047821,0.26275770134396026
29,29,29,29,29,1-7462,9,6,1-7462,336,23,0,86,88.20803380012512,0.26252391011942
125,125,125,125,125,1-9260,11,11,1-9260,111,1,0,37,29.054619193077087,0.26175332606375756
380,380,380,380,380,1-20077,9,6,1-20077,28,2,0,7,7.307630658149719,0.26098680921963285
26,26,26,26,26,1-3047,11,11,1-3047,360,15,0,103,93.0979939699173,0.25860553880532583
212,212,212,212,212,1-8916,7,7,1-8916,61,11,0,6,15.549397706985474,0.2549081591309094
367,367,367,367,367,1-9285,6,8,1-9285,30,0,0,10,7.582329511642456,0.25274431705474854
271,271,271,271,271,1-5568,17,17,1-5568,47,2,0,13,11.857028365135193,0.2522771992581956
192,192,192,192,192,1-3254,6,8,1-3254,68,5,0,16,17.13172721862793,0.2519371649798225
344,344,344,344,344,1-7781,13,13,1-7781,33,3,0,7,8.30763065814972,0.2517463835802945
514,514,514,514,514,1-10823,15,15,1-10823,10,1,0,2,2.516465902328491,0.25164659023284913
511,511,511,511,511,1-7707,8,9,1-7707,10,1,0,2,2.516465902328491,0.25164659023284913
516,516,516,516,516,1-17965,1,11,1-17965,10,1,0,2,2.516465902328491,0.25164659023284913
28,28,28,28,28,1-6957,21,21,1-6957,338,13,0,95,85.03213036060333,0.2515743501792998
262,262,262,262,262,1-7656,9,6,1-7656,48,6,0,8,12.065863609313965,0.25137215852737427
164,164,164,164,164,1-9454,13,13,1-9454,80,14,0,8,20.065863609313965,0.25082329511642454
555,555,555,555,555,1-3734,3,3,1-3734,4,1,0,0,1.0,0.25
96,96,96,96,96,1-7402,10,10,1-7402,141,4,0,41,35.08755099773407,0.24884787941655367
49,49,49,49,49,1-19257,1,4,1-19257,246,28,0,43,60.60401690006256,0.2463577922766771
10,10,10,10,10,MLG08,8,9,MLG08,532,36,0,125,130.7791188955307,0.2458254114577645
117,117,117,117,117,1-3246,2,5,1-3246,116,17,0,15,28.373494267463684,0.24459908851261797
73,73,73,73,73,MLG74,23,23,MLG74,177,3,0,53,43.18634641170502,0.24399065769324868
118,118,118,118,118,1-3051,12,13,1-3051,116,19,0,12,28.098795413970947,0.2422309949480254
422,422,422,422,422,1-17969,11,11,1-17969,22,0,0,7,5.307630658149719,0.24125593900680542
11,11,11,11,11,1-19755,1,4,1-19755,517,42,0,109,124.64739167690277,0.24109746939439608
25,25,25,25,25,1-6569,21,21,1-6569,360,23,0,84,86.69156789779663,0.24080991082721287
209,209,209,209,209,1-6249,1,4,1-6249,64,7,0,11,15.340562462806702,0.2396962884813547
450,450,450,450,450,1-3301,7,7,1-3301,18,2,0,3,4.274698853492737,0.23748326963848537
95,95,95,95,95,1-9100,10,10,1-9100,142,14,0,26,33.714056730270386,0.23742293472021397
54,54,54,54,54,MLG66,1,4,MLG66,229,27,0,36,54.29638624191284,0.23710212332713032
146,146,146,146,146,1-19891,21,21,1-19891,95,1,0,28,22.230522632598877,0.23400550139577767
301,301,301,301,301,1-3469,3,3,1-3469,40,4,0,7,9.30763065814972,0.23269076645374298
174,174,174,174,174,MLG17,8,9,MLG17,76,7,0,14,17.61526131629944,0.23177975416183472
260,260,260,260,260,MLG24,16,16,MLG24,49,6,0,7,11.30763065814972,0.23076797261530038
503,503,503,503,503,1-11534,3,3,1-11534,12,2,0,1,2.7582329511642456,0.2298527459303538
426,426,426,426,426,1-20040,10,10,1-20040,22,2,0,4,5.032931804656982,0.2287696274844083
424,424,424,424,424,1-18869,18,18,1-18869,22,2,0,4,5.032931804656982,0.2287696274844083
6,6,6,6,6,1-3026,3,3,1-3026,570,46,0,111,130.16385757923126,0.2283576448758443
24,24,24,24,24,MLG62,8,9,MLG62,370,19,0,86,84.20803380012512,0.2275892805408787
109,109,109,109,109,1-3364,17,17,1-3364,121,10,0,23,27.43935787677765,0.22677155270064173
441,441,441,441,441,1-19987,12,12,1-19987,20,3,0,2,4.516465902328491,0.22582329511642457
64,64,64,64,64,1-0983,14,14,1-0983,195,9,0,46,43.8787157535553,0.2250190551464374
62,62,62,62,62,1-1131,2,5,1-1131,200,21,0,31,44.505221486091614,0.22252610743045806
325,325,325,325,325,1-6543,22,24,1-6543,36,8,0,0,8.0,0.2222222222222222
128,128,128,128,128,1-18045,10,10,1-18045,109,9,0,20,24.164659023284912,0.2216941194796781
347,347,347,347,347,7W2-0103,12,12,7W2-0103,33,2,0,7,7.307630658149719,0.22144335327726422
232,232,232,232,232,1-18412,9,15,1-18412,56,4,0,11,12.340562462806702,0.22036718683583395
302,302,302,302,302,1-7809,13,13,1-7809,40,5,0,5,8.791164755821228,0.2197791188955307
466,466,466,466,466,MLG04,1,4,MLG04,16,2,0,2,3.516465902328491,0.2197791188955307
20,20,20,20,20,1-0708,11,11,1-0708,408,15,0,98,89.30682921409607,0.21888928728945115
216,216,216,216,216,1-18620,21,21,1-18620,60,1,0,16,13.13172721862793,0.2188621203104655
414,414,414,414,414,1-18370,12,12,1-18370,23,2,0,4,5.032931804656982,0.21882312194160794
89,89,89,89,89,1-3509,9,6,1-3509,150,10,0,30,32.74698853492737,0.21831325689951578
39,39,39,39,39,1-7172,1,4,1-7172,284,26,0,47,61.63694870471954,0.21703150952366038
488,488,488,488,488,1-2322,1,4,1-2322,14,0,0,4,3.0329318046569824,0.21663798604692733
4,4,4,4,4,1-1530,14,14,1-1530,632,45,0,120,135.98795413970947,0.21517081351219852
136,136,136,136,136,1-7720,10,10,1-7720,102,9,0,17,21.889960169792175,0.21460745264502132
107,107,107,107,107,1-0598,21,21,1-0598,122,14,0,16,26.13172721862793,0.2141944853985896
