Exam Group,Exam Block,adj_block
72-0103,3,3
1-9185,12,12
MLG17,17,17
1-8222,1,1
1-6240,12,12
1-5549,2,2
1-8021,6,6
1-8767,2,2
1-8181,6,6
1-8020,12,12
1-7964,20,20
1-9722,1,1
MLG84,17,17
1-9805,1,1
1-6098,4,4
1-8093,21,21
1-9955,4,4
1-18603,7,7
1-3521,2,2
1-2596,2,2
1-5167,20,20
1-3519,14,14
1-7995,12,12
1-2025,11,11
1-7140,20,20
1-9607,17,17
1-9907,15,15
1-18409,6,6
1-10071,15,15
1-18735,17,17
1-8418,19,19
1-8938,17,17
1-0022,18,18
1-7991,14,14
1-6642,6,6
1-2869,9,9
1-2714,7,7
1-5508,12,12
1-2104,18,18
1-7467,10,10
1-7722,4,4
1-7509,1,1
1-1207,14,14
1-8705,5,5
1-5214,1,1
1-9444,1,1
1-8566,7,7
1-19547,6,6
1-0405,10,10
1-2178,6,6
1-8174,7,7
1-9925,2,2
72-12387,14,14
1-9850,5,5
1-8125,9,9
1-8095,3,3
1-5877,8,8
1-1224,2,2
1-17733,2,2
1-9331,4,4
1-18202,20,20
1-7341,21,21
1-9818,9,9
1-7066,11,11
1-9674,2,2
1-8659,21,21
1-7536,15,15
1-7481,13,13
1-7845,11,11
1-18498,10,10
1-2584,2,2
1-6532,7,7
1-9614,14,14
1-5355,19,19
1-8124,1,1
1-8401,4,4
1-8541,10,10
1-2153,5,5
1-4088,2,2
1-9739,19,19
1-9115,17,17
1-7770,15,15
1-17645,9,9
1-18423,1,1
1-18714,13,13
1-8084,21,21
1-9345,4,4
MLG35,1,1
1-5626,5,5
1-18004,2,2
1-19222,4,4
72-12171,13,13
1-7807,9,9
1-20003,13,13
1-3083,17,17
1-3312,6,6
MLG37,1,1
1-9237,1,1
1-8127,10,10
1-5775,16,16
1-19598,15,15
1-9892,3,3
1-3564,14,14
1-8820,2,2
1-8267,16,16
1-1258,5,5
MLG69,18,18
1-6971,15,15
1-9731,20,20
1-9768,3,3
72-18936,6,6
1-19897,15,15
1-10698,18,18
1-4499,2,2
1-7496,9,9
1-3178,12,12
1-20047,4,4
1-0358,5,5
1-6543,7,7
1-5929,8,8
1-10232,14,14
1-7070,8,8
MLG42,3,3
MLG55,12,12
1-8427,8,8
1-8622,8,8
1-8488,21,21
1-9643,1,1
1-19286,7,7
1-2573,1,1
1-1833,3,3
1-9283,19,19
1-9110,1,1
1-8576,19,19
1-9465,1,1
1-9712,10,10
1-9549,18,18
1-1972,3,3
1-5515,15,15
1-7863,5,5
1-2294,15,15
MLG45,19,19
P-16454,11,11
1-8928,5,5
1-7744,5,5
MLG06,11,11
1-7453,8,8
1-17657,18,18
1-0001,10,10
MLG58,11,11
1-7005,13,13
1-9870,2,2
1-9500,21,21
1-1350,19,19
1-18994,18,18
1-9447,12,12
1-8634,2,2
1-6061,4,4
1-7599,16,16
1-10696,9,9
1-19813,7,7
MLG41,10,10
1-8067,2,2
1-9137,1,1
1-9740,10,10
1-7721,16,16
MLG40,1,1
1-4929,2,2
1-9655,17,17
1-9606,21,21
1-5043,21,21
1-8100,6,6
1-8573,2,2
1-9588,1,1
MLG38,1,1
1-4910,2,2
1-8042,1,1
1-10948,18,18
1-7525,17,17
1-4052,11,11
1-0037,6,6
1-8641,13,13
1-7752,6,6
1-9496,4,4
1-8074,3,3
1-8906,5,5
72-11994,1,1
1-7321,5,5
1-20167,4,4
1-9156,3,3
1-2382,8,8
1-8328,7,7
1-9770,12,12
1-9553,5,5
1-9253,8,8
1-2670,2,2
1-9646,12,12
1-8646,2,2
1-9839,5,5
MLG39,1,1
1-4634,9,9
1-9902,11,11
1-8988,20,20
1-1250,3,3
1-9733,13,13
1-8018,8,8
1-9752,1,1
1-7058,10,10
1-10468,2,2
1-9938,2,2
1-7842,4,4
1-5406,18,18
1-10922,9,9
1-18563,8,8
1-0053,4,4
1-19839,7,7
1-9887,17,17
1-9630,11,11
1-9416,1,1
1-5653,2,2
MLG73,10,10
1-8023,8,8
1-4149,18,18
1-0205,13,13
1-9227,13,13
1-9650,17,17
1-9996,16,16
1-3068,9,9
1-17835,20,20
1-4361,18,18
1-3089,3,3
1-8450,6,6
1-18371,3,3
MLG07,13,13
MLG29,4,4
1-8113,2,2
1-7024,5,5
1-9667,1,1
1-9855,18,18
1-7042,13,13
MLG33,16,16
1-19448,3,3
1-20791,4,4
1-1015,9,9
MLG57,12,12
1-6647,19,19
MLG56,6,6
1-20467,12,12
1-2400,9,9
1-6931,12,12
1-9333,16,16
1-7268,8,8
1-21195,9,9
1-4649,14,14
1-8379,3,3
1-9946,1,1
1-9277,11,11
1-9504,17,17
1-9516,13,13
1-3596,18,18
1-0129,21,21
1-1942,16,16
1-8623,15,15
1-6927,1,1
P-0009,11,11
1-11330,8,8
1-2103,19,19
1-6181,20,20
MLG44,1,1
1-7839,12,12
1-1390,8,8
1-7897,3,3
1-1570,21,21
1-3589,1,1
1-0033,15,15
1-3216,18,18
1-9495,2,2
1-4051,2,2
1-10762,20,20
MLG43,10,10
1-7608,8,8
1-9995,1,1
1-1608,15,15
1-3535,3,3
1-4136,3,3
1-18615,6,6
1-3587,9,9
1-9836,3,3
1-8590,3,3
1-1592,8,8
1-8341,13,13
MLG02,20,20
1-9997,12,12
1-8066,14,14
1-3509,1,1
1-3639,2,2
1-9404,2,2
1-8352,15,15
