i,count
10,179
4,168
1,143
23,92
3,325
5,228
9,139
2,214
17,164
12,148
14,190
18,174
15,145
7,132
22,190
6,154
11,131
16,104
21,106
13,135
20,136
8,87
19,78
24,0
