configs
"(203, 3, 20)"
"(286, 4, 23)"
"(206, 4, 21)"
"(250, 2, 21)"
"(275, 1, 20)"
"(221, 1, 23)"
"(222, 2, 20)"
"(259, 3, 22)"
"(251, 2, 23)"
"(218, 2, 23)"
"(259, 6, 20)"
"(273, 2, 20)"
"(283, 0, 21)"
"(252, 4, 21)"
"(265, 0, 20)"
"(268, 2, 21)"
"(259, 0, 20)"
"(208, 1, 20)"
"(280, 1, 22)"
"(208, 6, 20)"
"(223, 0, 21)"
"(217, 0, 21)"
"(266, 0, 22)"
"(291, 2, 21)"
"(275, 3, 21)"
"(277, 3, 20)"
"(227, 2, 22)"
"(236, 0, 20)"
"(218, 0, 21)"
"(217, 0, 22)"
"(211, 1, 21)"
"(221, 2, 21)"
"(227, 4, 22)"
"(231, 3, 20)"
"(280, 2, 22)"
"(243, 0, 20)"
"(212, 4, 22)"
"(218, 1, 21)"
"(269, 1, 23)"
"(202, 6, 21)"
"(226, 5, 22)"
"(266, 2, 23)"
"(286, 5, 23)"
"(274, 2, 22)"
"(223, 4, 21)"
"(208, 5, 20)"
"(232, 0, 23)"
"(213, 2, 23)"
"(206, 6, 23)"
"(255, 1, 21)"
"(265, 4, 21)"
"(284, 5, 21)"
"(251, 0, 21)"
"(228, 3, 20)"
"(222, 4, 21)"
"(228, 3, 23)"
"(269, 3, 20)"
"(218, 5, 22)"
"(293, 0, 22)"
"(284, 2, 23)"
