Exam Group,Exam Block,adj_block
72-0103,13,13
1-9185,11,11
MLG17,18,18
1-8222,3,3
1-6240,16,16
1-5549,22,22
1-8021,13,13
1-8767,21,21
1-8181,11,11
1-8020,9,9
1-7964,7,7
1-9722,21,21
MLG84,6,6
1-9805,14,14
1-6098,15,15
1-8093,2,2
1-9955,11,11
1-18603,13,13
1-3521,19,19
1-2596,9,9
1-5167,1,1
1-3519,9,9
1-7995,1,1
1-2025,14,14
1-7140,4,4
1-9607,13,13
1-9907,16,16
1-18409,7,7
1-10071,13,13
1-18735,6,6
1-8418,4,4
1-8938,1,1
1-0022,20,20
1-7991,3,3
1-6642,21,21
1-2869,8,8
1-2714,8,8
1-5508,18,18
1-2104,6,6
1-7467,4,4
1-7722,9,9
1-7509,2,2
1-1207,1,1
1-8705,18,18
1-5214,2,2
1-9444,2,2
1-8566,16,16
1-19547,3,3
1-0405,15,15
1-2178,8,8
1-8174,1,1
1-9925,18,18
72-12387,13,13
1-9850,8,8
1-8125,21,21
1-8095,2,2
1-5877,3,3
1-1224,22,22
1-17733,22,22
1-9331,5,5
1-18202,19,19
1-7341,17,17
1-9818,10,10
1-7066,4,4
1-9674,22,22
1-8659,6,6
1-7536,15,15
1-7481,23,23
1-7845,13,13
1-18498,22,22
1-2584,16,16
1-6532,1,1
1-9614,20,20
1-5355,10,10
1-8124,22,22
1-8401,15,15
1-8541,12,12
1-2153,18,18
1-4088,1,1
1-9739,3,3
1-9115,4,4
1-7770,15,15
1-17645,21,21
1-18423,15,15
1-18714,20,20
1-8084,1,1
1-9345,16,16
MLG35,1,1
1-5626,6,6
1-18004,2,2
1-19222,20,20
72-12171,16,16
1-7807,17,17
1-20003,17,17
1-3083,16,16
1-3312,7,7
MLG37,2,2
1-9237,18,18
1-8127,19,19
1-5775,19,19
1-19598,12,12
1-9892,20,20
1-3564,6,6
1-8820,22,22
1-8267,17,17
1-1258,10,10
MLG69,20,20
1-6971,18,18
1-9731,2,2
1-9768,11,11
72-18936,8,8
1-19897,2,2
1-10698,17,17
1-4499,6,6
1-7496,17,17
1-3178,17,17
1-20047,1,1
1-0358,19,19
1-6543,18,18
1-5929,6,6
1-10232,14,14
1-7070,16,16
MLG42,13,13
MLG55,21,21
1-8427,16,16
1-8622,3,3
1-8488,4,4
1-9643,10,10
1-19286,15,15
1-2573,12,12
1-1833,21,21
1-9283,16,16
1-9110,2,2
1-8576,7,7
1-9465,2,2
1-9712,9,9
1-9549,3,3
1-1972,7,7
1-5515,20,20
1-7863,5,5
1-2294,6,6
MLG45,1,1
P-16454,2,2
1-8928,17,17
1-7744,20,20
MLG06,18,18
1-7453,8,8
1-17657,11,11
1-0001,9,9
MLG58,18,18
1-7005,3,3
1-9870,15,15
1-9500,5,5
1-1350,16,16
1-18994,19,19
1-9447,20,20
1-8634,2,2
1-6061,3,3
1-7599,14,14
1-10696,2,2
1-19813,4,4
MLG41,1,1
1-8067,22,22
1-9137,4,4
1-9740,17,17
1-7721,14,14
MLG40,8,8
1-4929,1,1
1-9655,4,4
1-9606,19,19
1-5043,10,10
1-8100,15,15
1-8573,2,2
1-9588,4,4
MLG38,1,1
1-4910,19,19
1-8042,1,1
1-10948,19,19
1-7525,5,5
1-4052,4,4
1-0037,3,3
1-8641,14,14
1-7752,3,3
1-9496,11,11
1-8074,8,8
1-8906,21,21
72-11994,10,10
1-7321,16,16
1-20167,14,14
1-9156,11,11
1-2382,23,23
1-8328,23,23
1-9770,6,6
1-9553,21,21
1-9253,18,18
1-2670,11,11
1-9646,15,15
1-8646,2,2
1-9839,3,3
MLG39,1,1
1-4634,17,17
1-9902,17,17
1-8988,14,14
1-1250,20,20
1-9733,14,14
1-8018,8,8
1-9752,1,1
1-7058,13,13
1-10468,22,22
1-9938,18,18
1-7842,15,15
1-5406,9,9
1-10922,3,3
1-18563,15,15
1-0053,15,15
1-19839,8,8
1-9887,2,2
1-9630,14,14
1-9416,1,1
1-5653,2,2
MLG73,5,5
1-8023,5,5
1-4149,5,5
1-0205,12,12
1-9227,12,12
1-9650,1,1
1-9996,12,12
1-3068,12,12
1-17835,3,3
1-4361,13,13
1-3089,6,6
1-8450,11,11
1-18371,11,11
MLG07,14,14
MLG29,15,15
1-8113,8,8
