i,count
13,125
23,126
10,82
14,212
3,231
7,228
4,211
17,118
19,80
1,184
2,223
11,199
18,107
20,162
5,273
16,181
15,128
12,131
22,118
6,130
8,97
21,103
9,113
24,0
