i,count
18,190
1,305
6,147
13,164
9,223
15,175
7,292
12,164
5,118
20,88
8,125
16,114
22,143
19,233
4,176
11,88
17,145
21,175
10,174
3,137
14,72
2,114
23,0
24,0
