i,count
6,199
1,162
15,255
8,158
22,195
12,159
3,161
11,165
18,155
21,141
5,102
4,141
2,216
16,235
23,78
20,140
14,128
7,153
10,112
17,112
13,149
9,148
19,98
24,0
