i,j,k,count
11,8,18,32
11,18,8,32
8,11,18,32
8,18,11,32
18,11,8,32
18,8,11,32
15,13,5,15
15,5,13,15
13,15,5,15
13,5,15,15
5,15,13,15
5,13,15,15
12,13,9,128
12,13,7,68
12,13,10,68
12,9,13,128
12,9,7,113
12,9,10,85
12,7,13,68
12,7,9,113
12,7,10,69
12,10,13,68
12,10,9,85
12,10,7,69
13,12,9,128
13,12,7,68
13,12,10,68
13,9,12,128
13,9,7,79
13,9,10,92
13,7,12,68
13,7,9,79
13,7,10,86
13,10,12,68
13,10,9,92
13,10,7,86
9,12,13,128
9,12,7,113
9,12,10,85
9,13,12,128
9,13,7,79
9,13,10,92
9,7,12,113
9,7,13,79
9,7,10,77
9,10,12,85
9,10,13,92
9,10,7,77
7,12,13,68
7,12,9,113
7,12,10,69
7,13,12,68
7,13,9,79
7,13,10,86
7,9,12,113
7,9,13,79
7,9,10,77
7,10,12,69
7,10,13,86
7,10,9,77
10,12,13,68
10,12,9,85
10,12,7,69
10,13,12,68
10,13,9,92
10,13,7,86
10,9,12,85
10,9,13,92
10,9,7,77
10,7,12,69
10,7,13,86
10,7,9,77
19,13,9,108
19,13,12,105
19,13,10,109
19,9,13,108
19,9,12,118
19,9,10,86
19,12,13,105
19,12,9,118
19,12,10,81
19,10,13,109
19,10,9,86
19,10,12,81
13,19,9,108
13,19,12,105
13,19,10,109
13,9,19,108
13,12,19,105
13,10,19,109
9,19,13,108
9,19,12,118
9,19,10,86
9,13,19,108
9,12,19,118
9,10,19,86
12,19,13,105
12,19,9,118
12,19,10,81
12,13,19,105
12,9,19,118
12,10,19,81
10,19,13,109
10,19,9,86
10,19,12,81
10,13,19,109
10,9,19,86
10,12,19,81
6,10,14,26
6,14,10,26
10,6,14,26
10,14,6,26
14,6,10,26
14,10,6,26
4,8,9,45
4,8,16,14
4,8,17,20
4,9,8,45
4,9,16,15
4,9,17,23
4,16,8,14
4,16,9,15
4,16,17,7
4,17,8,20
4,17,9,23
4,17,16,7
8,4,9,45
8,4,16,14
8,4,17,20
8,9,4,45
8,9,16,48
8,9,17,64
8,16,4,14
8,16,9,48
8,16,17,47
8,17,4,20
8,17,9,64
8,17,16,47
9,4,8,45
9,4,16,15
9,4,17,23
9,8,4,45
9,8,16,48
9,8,17,64
9,16,4,15
9,16,8,48
9,16,17,42
9,17,4,23
9,17,8,64
9,17,16,42
16,4,8,14
16,4,9,15
16,4,17,7
16,8,4,14
16,8,9,48
16,8,17,47
16,9,4,15
16,9,8,48
16,9,17,42
16,17,4,7
16,17,8,47
16,17,9,42
17,4,8,20
17,4,9,23
17,4,16,7
17,8,4,20
17,8,9,64
17,8,16,47
17,9,4,23
17,9,8,64
17,9,16,42
17,16,4,7
17,16,8,47
17,16,9,42
13,14,10,38
13,14,11,36
13,10,14,38
13,10,11,53
13,11,14,36
13,11,10,53
14,13,10,38
14,13,11,36
14,10,13,38
14,10,11,37
14,11,13,36
14,11,10,37
10,13,14,38
10,13,11,53
10,14,13,38
10,14,11,37
10,11,13,53
10,11,14,37
11,13,14,36
11,13,10,53
11,14,13,36
11,14,10,37
11,10,13,53
11,10,14,37
16,9,20,28
16,20,9,28
9,16,20,28
9,20,16,28
20,16,9,28
20,9,16,28
14,8,16,106
14,8,19,78
14,16,8,106
14,16,19,51
14,19,8,78
14,19,16,51
8,14,16,106
8,14,19,78
8,16,14,106
8,16,19,40
8,19,14,78
8,19,16,40
16,14,8,106
16,14,19,51
16,8,14,106
16,8,19,40
16,19,14,51
16,19,8,40
19,14,8,78
19,14,16,51
19,8,14,78
19,8,16,40
19,16,14,51
19,16,8,40
9,19,4,42
9,19,20,66
9,19,8,68
