i,count
8,192
20,398
9,61
1,455
5,253
12,105
10,125
16,57
18,156
4,175
14,213
3,107
2,161
7,201
6,131
11,286
15,177
17,120
13,100
19,89
21,0
22,0
23,0
24,0
