Exam Group,Exam Block,adj_block
72-0103,20,20
1-9185,23,23
MLG17,5,5
1-8222,7,7
1-6240,19,19
1-5549,3,3
1-8021,11,11
1-8767,21,21
1-8181,10,10
1-8020,14,14
1-7964,7,7
1-9722,14,14
MLG84,9,9
1-9805,14,14
1-6098,10,10
1-8093,2,2
1-9955,18,18
1-18603,3,3
1-3521,12,12
1-2596,3,3
1-5167,1,1
1-3519,18,18
1-7995,4,4
1-2025,10,10
1-7140,7,7
1-9607,1,1
1-9907,21,21
1-18409,17,17
1-10071,23,23
1-18735,1,1
1-8418,9,9
1-8938,1,1
1-0022,9,9
1-7991,3,3
1-6642,12,12
1-2869,13,13
1-2714,16,16
1-5508,9,9
1-2104,1,1
1-7467,23,23
1-7722,9,9
1-7509,2,2
1-1207,21,21
1-8705,7,7
1-5214,6,6
1-9444,12,12
1-8566,5,5
1-19547,2,2
1-0405,18,18
1-2178,1,1
1-8174,18,18
1-9925,20,20
72-12387,3,3
1-9850,9,9
1-8125,13,13
1-8095,8,8
1-5877,17,17
1-1224,22,22
1-17733,22,22
1-9331,10,10
1-18202,8,8
1-7341,10,10
1-9818,13,13
1-7066,1,1
1-9674,22,22
1-8659,23,23
1-7536,3,3
1-7481,6,6
1-7845,23,23
1-18498,7,7
1-2584,17,17
1-6532,5,5
1-9614,3,3
1-5355,21,21
1-8124,15,15
1-8401,1,1
1-8541,23,23
1-2153,7,7
1-4088,16,16
1-9739,1,1
1-9115,4,4
1-7770,6,6
1-17645,23,23
1-18423,11,11
1-18714,1,1
1-8084,10,10
1-9345,5,5
MLG35,2,2
1-5626,21,21
1-18004,23,23
1-19222,17,17
72-12171,1,1
1-7807,12,12
1-20003,16,16
1-3083,9,9
1-3312,4,4
MLG37,6,6
1-9237,20,20
1-8127,10,10
1-5775,20,20
1-19598,11,11
1-9892,4,4
1-3564,11,11
1-8820,22,22
1-8267,13,13
1-1258,18,18
MLG69,14,14
1-6971,13,13
1-9731,16,16
1-9768,17,17
72-18936,5,5
1-19897,11,11
1-10698,16,16
1-4499,14,14
1-7496,13,13
1-3178,13,13
1-20047,13,13
1-0358,16,16
1-6543,11,11
1-5929,1,1
1-10232,17,17
1-7070,19,19
MLG42,9,9
MLG55,1,1
1-8427,19,19
1-8622,1,1
1-8488,23,23
1-9643,6,6
1-19286,5,5
1-2573,5,5
1-1833,17,17
1-9283,19,19
1-9110,14,14
1-8576,7,7
1-9465,1,1
1-9712,9,9
1-9549,10,10
1-1972,1,1
1-5515,4,4
1-7863,21,21
1-2294,22,22
MLG45,2,2
P-16454,17,17
1-8928,2,2
1-7744,23,23
MLG06,3,3
1-7453,21,21
1-17657,14,14
1-0001,5,5
MLG58,20,20
1-7005,8,8
1-9870,9,9
1-9500,14,14
1-1350,1,1
1-18994,21,21
1-9447,10,10
1-8634,4,4
1-6061,10,10
1-7599,15,15
1-10696,5,5
1-19813,3,3
MLG41,2,2
1-8067,22,22
1-9137,11,11
1-9740,1,1
1-7721,15,15
MLG40,5,5
1-4929,19,19
1-9655,3,3
1-9606,21,21
1-5043,18,18
1-8100,6,6
1-8573,4,4
1-9588,16,16
MLG38,6,6
1-4910,17,17
1-8042,19,19
1-10948,16,16
1-7525,11,11
1-4052,15,15
1-0037,15,15
1-8641,15,15
1-7752,6,6
1-9496,17,17
1-8074,11,11
1-8906,6,6
72-11994,4,4
1-7321,4,4
1-20167,20,20
1-9156,11,11
1-2382,13,13
1-8328,12,12
1-9770,20,20
1-9553,4,4
1-9253,12,12
1-2670,5,5
1-9646,16,16
1-8646,7,7
1-9839,16,16
MLG39,2,2
1-4634,10,10
1-9902,10,10
1-8988,15,15
1-1250,14,14
1-9733,9,9
1-8018,1,1
1-9752,9,9
1-7058,6,6
1-10468,22,22
1-9938,22,22
1-7842,14,14
1-5406,13,13
1-10922,21,21
1-18563,10,10
1-0053,4,4
1-19839,2,2
1-9887,1,1
1-9630,13,13
1-9416,20,20
1-5653,7,7
MLG73,1,1
1-8023,15,15
1-4149,8,8
1-0205,15,15
1-9227,8,8
1-9650,22,22
1-9996,13,13
1-3068,3,3
1-17835,19,19
1-4361,15,15
1-3089,8,8
1-8450,20,20
1-18371,11,11
MLG07,14,14
MLG29,10,10
1-8113,12,12
1-7024,20,20
1-9667,1,1
1-9855,11,11
1-7042,13,13
MLG33,15,15
1-19448,4,4
1-20791,9,9
1-1015,12,12
MLG57,17,17
1-6647,17,17
MLG56,12,12
1-20467,17,17
1-2400,12,12
1-6931,21,21
1-9333,11,11
1-7268,2,2
1-21195,10,10
1-4649,15,15
1-8379,1,1
1-9946,9,9
1-9277,8,8
1-9504,1,1
1-9516,8,8
1-3596,14,14
1-0129,18,18
1-1942,8,8
1-8623,21,21
1-6927,22,22
P-0009,17,17
1-11330,5,5
1-2103,1,1
1-6181,7,7
MLG44,10,10
1-7839,17,17
1-1390,4,4
1-7897,5,5
1-1570,5,5
1-3589,3,3
1-0033,3,3
1-3216,2,2
1-9495,22,22
1-4051,4,4
1-10762,2,2
MLG43,2,2
1-7608,7,7
1-9995,1,1
1-1608,19,19
1-3535,11,11
1-4136,4,4
1-18615,15,15
1-3587,12,12
1-9836,15,15
1-8590,3,3
1-1592,12,12
1-8341,8,8
MLG02,7,7
1-9997,2,2
1-8066,3,3
1-3509,7,7
1-3639,9,9
1-9404,6,6
1-8352,4,4
1-7019,11,11
MLG54,9,9
1-4020,21,21
1-1177,19,19
MLG51,17,17
1-8157,5,5
1-19004,7,7
1-7866,16,16
1-18377,1,1
1-5530,3,3
1-6743,18,18
1-3516,13,13
1-4855,16,16
1-20578,1,1
1-3108,20,20
1-7521,1,1
1-3139,8,8
1-1769,22,22
1-7441,15,15
1-10978,13,13
1-2324,20,20
1-3584,1,1
MLG13,8,8
1-5172,18,18
1-0296,14,14
1-3647,21,21
1-6734,20,20
1-19924,1,1
1-8826,5,5
P-16616,5,5
1-9497,10,10
1-1317,22,22
1-4531,8,8
MLG75,5,5
MLG78,5,5
1-11329,3,3
1-20641,18,18
1-8910,8,8
1-1827,8,8
1-18613,1,1
1-6296,7,7
1-3523,16,16
1-3362,4,4
1-0031,16,16
MLG65,3,3
1-4319,22,22
1-6035,5,5
1-1131,3,3
MLG32,5,5
1-8188,20,20
1-17758,2,2
1-3052,8,8
1-2282,15,15
1-19229,2,2
MLG63,16,16
MLG50,9,9
1-9417,22,22
1-9498,18,18
1-9761,1,1
1-4760,17,17
1-9831,22,22
1-4417,7,7
1-6611,2,2
1-0008,7,7
1-1462,8,8
1-10785,18,18
1-7682,19,19
MLG48,6,6
1-5163,11,11
1-8544,3,3
1-5197,22,22
1-6594,23,23
MLG62,14,14
1-1580,23,23
1-6916,6,6
1-6918,21,21
1-6919,4,4
MLG14,23,23
1-7874,8,8
1-7213,1,1
1-6561,18,18
1-4640,6,6
1-7004,13,13
1-2335,5,5
1-18558,14,14
1-8551,12,12
1-9270,18,18
1-6974,20,20
MLG68,21,21
1-10539,19,19
MLG49,17,17
1-0278,2,2
MLG64,15,15
MLG30,7,7
1-9609,10,10
1-7819,1,1
1-2423,7,7
1-6787,14,14
1-9963,18,18
1-9808,7,7
1-0303,20,20
MLG60,1,1
1-18709,4,4
1-7204,16,16
1-5744,4,4
1-1770,6,6
1-4682,10,10
1-3104,4,4
1-17907,3,3
1-8421,23,23
MLG53,21,21
1-9645,23,23
MLG12,20,20
MLG15,11,11
1-6858,4,4
1-8314,17,17
1-8285,4,4
1-1957,2,2
1-18203,18,18
1-10451,14,14
1-6216,15,15
1-6692,11,11
1-8172,20,20
1-8398,1,1
1-6878,7,7
1-7122,9,9
1-4700,21,21
1-6006,8,8
1-4355,16,16
1-9379,2,2
1-2701,19,19
1-6693,10,10
1-3141,18,18
1-7614,22,22
1-6914,8,8
1-5654,2,2
MLG59,3,3
1-9610,6,6
1-5161,1,1
1-6980,18,18
MLG10,6,6
MLG72,3,3
MLG52,9,9
1-19166,8,8
MLG11,18,18
1-3447,12,12
1-3217,2,2
1-6538,6,6
1-3534,13,13
1-7152,12,12
1-3106,3,3
1-1935,8,8
1-2297,18,18
1-4098,2,2
1-8529,1,1
1-8397,19,19
1-0272,13,13
1-17790,3,3
1-8186,11,11
1-8503,6,6
1-7182,12,12
1-2545,2,2
1-7993,2,2
1-9651,17,17
1-1183,1,1
1-1989,6,6
1-10060,4,4
1-5913,4,4
1-5981,4,4
1-13247,1,1
1-6228,1,1
1-8578,10,10
1-1204,5,5
1-9794,6,6
1-9518,7,7
1-9452,5,5
1-8400,3,3
1-18234,7,7
1-19205,7,7
1-9055,5,5
1-9394,6,6
1-9286,19,19
1-1005,10,10
1-10038,2,2
1-4390,8,8
1-9491,1,1
MLG31,23,23
1-5980,12,12
1-8678,13,13
1-6900,14,14
1-11350,23,23
1-9578,2,2
1-3551,3,3
MLG09,9,9
1-6028,20,20
1-1836,11,11
1-3265,1,1
MLG08,23,23
1-3176,3,3
1-8493,3,3
1-19915,5,5
1-8627,4,4
1-0292,7,7
1-18487,21,21
1-20012,5,5
1-9076,14,14
1-5425,2,2
1-4747,21,21
1-6227,1,1
1-6909,12,12
1-8532,4,4
1-18935,16,16
1-3206,16,16
1-9697,19,19
1-3033,19,19
1-8094,3,3
1-11206,2,2
1-6531,7,7
1-5036,6,6
1-18028,12,12
1-1850,11,11
1-4926,19,19
1-2034,6,6
1-19549,6,6
1-5282,5,5
1-9861,2,2
1-9338,23,23
1-3175,6,6
1-5002,15,15
1-5531,3,3
1-6718,14,14
1-6217,22,22
1-4847,4,4
1-5891,1,1
1-19447,1,1
1-7530,3,3
1-9457,23,23
1-5990,3,3
1-9971,19,19
1-4494,19,19
1-9576,3,3
1-9436,15,15
1-5413,5,5
1-5424,2,2
1-1191,13,13
1-5803,1,1
1-5799,2,2
1-19567,1,1
1-7527,11,11
MLG67,20,20
1-3087,6,6
1-4842,4,4
1-19568,8,8
1-9838,16,16
MLG46,6,6
1-5555,22,22
1-10444,7,7
1-3646,12,12
1-10951,9,9
1-9806,9,9
1-0055,2,2
1-5914,4,4
1-0027,5,5
1-9455,2,2
1-0003,19,19
1-21192,9,9
1-9034,8,8
1-19927,1,1
