Exam Group,Exam Block,adj_block
72-0103,6,6
1-9185,14,14
MLG17,14,14
1-8222,6,6
1-6240,5,5
1-5549,20,20
1-8021,9,9
1-8767,11,11
1-8181,1,1
1-8020,13,13
1-7964,7,7
1-9722,11,11
MLG84,4,4
1-9805,13,13
1-6098,22,22
1-8093,13,13
1-9955,9,9
1-18603,16,16
1-3521,3,3
1-2596,20,20
1-5167,11,11
1-3519,18,18
1-7995,12,12
1-2025,9,9
1-7140,6,6
1-9607,9,9
1-9907,5,5
1-18409,14,14
1-10071,7,7
1-18735,1,1
1-8418,4,4
1-8938,19,19
1-0022,5,5
1-7991,4,4
1-6642,7,7
1-2869,16,16
1-2714,11,11
1-5508,5,5
1-2104,10,10
1-7467,19,19
1-7722,4,4
1-7509,6,6
1-1207,14,14
1-8705,3,3
1-5214,12,12
1-9444,6,6
1-8566,6,6
1-19547,10,10
1-0405,7,7
1-2178,17,17
1-8174,5,5
1-9925,19,19
72-12387,7,7
1-9850,3,3
1-8125,10,10
1-8095,15,15
1-5877,3,3
1-1224,20,20
1-17733,2,2
1-9331,5,5
1-18202,11,11
1-7341,22,22
1-9818,9,9
1-7066,11,11
1-9674,20,20
1-8659,15,15
1-7536,4,4
1-7481,7,7
1-7845,1,1
1-18498,13,13
1-2584,8,8
1-6532,3,3
1-9614,5,5
1-5355,2,2
1-8124,13,13
1-8401,5,5
1-8541,21,21
1-2153,10,10
1-4088,13,13
1-9739,1,1
1-9115,1,1
1-7770,2,2
1-17645,7,7
1-18423,9,9
1-18714,2,2
1-8084,22,22
1-9345,5,5
MLG35,8,8
1-5626,16,16
1-18004,19,19
1-19222,1,1
72-12171,15,15
1-7807,12,12
1-20003,10,10
1-3083,11,11
1-3312,20,20
MLG37,13,13
1-9237,3,3
1-8127,10,10
1-5775,14,14
1-19598,1,1
1-9892,9,9
1-3564,11,11
1-8820,20,20
1-8267,12,12
1-1258,16,16
MLG69,8,8
1-6971,1,1
1-9731,12,12
1-9768,14,14
72-18936,1,1
1-19897,9,9
1-10698,8,8
1-4499,5,5
1-7496,12,12
1-3178,7,7
1-20047,17,17
1-0358,3,3
1-6543,4,4
1-5929,1,1
1-10232,17,17
1-7070,8,8
MLG42,14,14
MLG55,13,13
1-8427,18,18
1-8622,6,6
1-8488,17,17
1-9643,14,14
1-19286,15,15
1-2573,10,10
1-1833,14,14
1-9283,8,8
1-9110,4,4
1-8576,6,6
1-9465,3,3
1-9712,6,6
1-9549,13,13
1-1972,18,18
1-5515,11,11
1-7863,16,16
1-2294,21,21
MLG45,4,4
P-16454,9,9
1-8928,9,9
1-7744,16,16
MLG06,1,1
1-7453,3,3
1-17657,8,8
1-0001,11,11
MLG58,4,4
1-7005,10,10
1-9870,2,2
1-9500,15,15
1-1350,4,4
1-18994,11,11
1-9447,9,9
1-8634,11,11
1-6061,15,15
1-7599,11,11
1-10696,8,8
1-19813,7,7
MLG41,19,19
1-8067,20,20
1-9137,9,9
1-9740,21,21
1-7721,6,6
MLG40,9,9
1-4929,3,3
1-9655,12,12
1-9606,21,21
1-5043,16,16
1-8100,21,21
1-8573,15,15
1-9588,7,7
MLG38,2,2
1-4910,1,1
1-8042,5,5
1-10948,19,19
1-7525,7,7
1-4052,2,2
1-0037,16,16
1-8641,1,1
1-7752,16,16
1-9496,3,3
1-8074,2,2
1-8906,15,15
