Exam Group,Exam Block,adj_block
72-0103,5,5
1-9185,2,2
MLG17,20,20
1-8222,5,5
1-6240,12,12
1-5549,1,1
1-8021,10,10
1-8767,1,1
1-8181,2,2
1-8020,9,9
1-7964,5,5
1-9722,19,19
MLG84,11,11
1-9805,1,1
1-6098,8,8
1-8093,1,1
1-9955,15,15
1-18603,4,4
1-3521,16,16
1-2596,10,10
1-5167,3,3
1-3519,10,10
1-7995,20,20
1-2025,19,19
1-7140,5,5
1-9607,15,15
1-9907,11,11
1-18409,7,7
1-10071,1,1
1-18735,8,8
1-8418,10,10
1-8938,10,10
1-0022,1,1
1-7991,1,1
1-6642,19,19
1-2869,7,7
1-2714,3,3
1-5508,3,3
1-2104,9,9
1-7467,10,10
1-7722,14,14
1-7509,16,16
1-1207,4,4
1-8705,1,1
1-5214,10,10
1-9444,2,2
1-8566,3,3
1-19547,3,3
1-0405,15,15
1-2178,9,9
1-8174,2,2
1-9925,2,2
72-12387,16,16
1-9850,1,1
1-8125,19,19
1-8095,3,3
1-5877,3,3
1-1224,17,17
1-17733,17,17
1-9331,4,4
1-18202,16,16
1-7341,15,15
1-9818,17,17
1-7066,20,20
1-9674,17,17
1-8659,21,21
1-7536,15,15
1-7481,19,19
1-7845,1,1
1-18498,5,5
1-2584,12,12
1-6532,7,7
1-9614,1,1
1-5355,21,21
1-8124,2,2
1-8401,4,4
1-8541,13,13
1-2153,13,13
1-4088,18,18
1-9739,13,13
1-9115,16,16
1-7770,14,14
1-17645,9,9
1-18423,1,1
1-18714,11,11
1-8084,8,8
1-9345,12,12
MLG35,1,1
1-5626,7,7
1-18004,1,1
1-19222,3,3
72-12171,12,12
1-7807,16,16
1-20003,7,7
1-3083,13,13
1-3312,1,1
MLG37,1,1
1-9237,1,1
1-8127,14,14
1-5775,4,4
1-19598,15,15
1-9892,4,4
1-3564,18,18
1-8820,11,11
1-8267,16,16
1-1258,6,6
MLG69,9,9
1-6971,6,6
1-9731,19,19
1-9768,4,4
72-18936,15,15
1-19897,13,13
1-10698,20,20
1-4499,3,3
1-7496,19,19
1-3178,14,14
1-20047,6,6
1-0358,2,2
1-6543,6,6
1-5929,6,6
1-10232,14,14
1-7070,9,9
MLG42,10,10
MLG55,2,2
1-8427,18,18
1-8622,5,5
1-8488,13,13
1-9643,9,9
1-19286,11,11
1-2573,3,3
1-1833,4,4
1-9283,12,12
1-9110,9,9
1-8576,5,5
1-9465,8,8
1-9712,14,14
1-9549,4,4
1-1972,16,16
1-5515,12,12
1-7863,6,6
1-2294,17,17
MLG45,8,8
P-16454,3,3
1-8928,13,13
1-7744,13,13
MLG06,2,2
1-7453,3,3
1-17657,11,11
1-0001,11,11
MLG58,14,14
1-7005,3,3
1-9870,8,8
1-9500,13,13
1-1350,20,20
1-18994,13,13
1-9447,5,5
1-8634,18,18
1-6061,8,8
1-7599,9,9
1-10696,1,1
1-19813,19,19
MLG41,2,2
1-8067,17,17
1-9137,2,2
1-9740,13,13
1-7721,20,20
MLG40,12,12
1-4929,14,14
1-9655,12,12
1-9606,8,8
1-5043,6,6
1-8100,8,8
1-8573,17,17
1-9588,20,20
MLG38,16,16
1-4910,4,4
1-8042,6,6
1-10948,9,9
1-7525,9,9
1-4052,15,15
1-0037,15,15
1-8641,2,2
1-7752,13,13
