i,count
13,227
14,155
19,86
9,157
5,173
12,202
20,150
4,239
11,183
17,134
3,143
7,151
15,122
1,229
2,310
8,179
21,157
10,134
16,151
6,157
18,123
22,0
23,0
24,0
