i,count
11,110
4,179
1,266
8,111
12,147
20,205
7,179
6,284
3,195
15,113
13,103
2,228
16,148
5,103
10,142
18,145
17,118
9,282
19,155
14,133
21,85
22,131
23,0
24,0
