i,j,k,count
23,17,11,24
23,11,17,24
17,23,11,24
17,11,23,24
11,23,17,24
11,17,23,24
1,4,16,13
1,16,4,13
4,1,16,13
4,16,1,13
16,1,4,13
16,4,1,13
1,4,9,31
1,4,13,33
1,4,14,15
1,9,4,31
1,9,13,46
1,9,14,39
1,13,4,33
1,13,9,46
1,13,14,29
1,14,4,15
1,14,9,39
1,14,13,29
4,1,9,31
4,1,13,33
4,1,14,15
4,9,1,31
4,9,13,86
4,9,14,51
4,13,1,33
4,13,9,86
4,13,14,54
4,14,1,15
4,14,9,51
4,14,13,54
9,1,4,31
9,1,13,46
9,1,14,39
9,4,1,31
9,4,13,86
9,4,14,51
9,13,1,46
9,13,4,86
9,13,14,49
9,14,1,39
9,14,4,51
9,14,13,49
13,1,4,33
13,1,9,46
13,1,14,29
13,4,1,33
13,4,9,86
13,4,14,54
13,9,1,46
13,9,4,86
13,9,14,49
13,14,1,29
13,14,4,54
13,14,9,49
14,1,4,15
14,1,9,39
14,1,13,29
14,4,1,15
14,4,9,51
14,4,13,54
14,9,1,39
14,9,4,51
14,9,13,49
14,13,1,29
14,13,4,54
14,13,9,49
3,4,9,81
3,4,5,88
3,4,22,87
3,9,4,81
3,9,5,72
3,9,22,43
3,5,4,88
3,5,9,72
3,5,22,62
3,22,4,87
3,22,9,43
3,22,5,62
4,3,9,81
4,3,5,88
4,3,22,87
4,9,3,81
4,9,5,82
4,9,22,63
4,5,3,88
4,5,9,82
4,5,22,93
4,22,3,87
4,22,9,63
4,22,5,93
9,3,4,81
9,3,5,72
9,3,22,43
9,4,3,81
9,4,5,82
9,4,22,63
9,5,3,72
9,5,4,82
9,5,22,42
9,22,3,43
9,22,4,63
9,22,5,42
5,3,4,88
5,3,9,72
5,3,22,62
5,4,3,88
5,4,9,82
5,4,22,93
5,9,3,72
5,9,4,82
5,9,22,42
5,22,3,62
5,22,4,93
5,22,9,42
22,3,4,87
22,3,9,43
22,3,5,62
22,4,3,87
22,4,9,63
22,4,5,93
22,9,3,43
22,9,4,63
22,9,5,42
22,5,3,62
22,5,4,93
22,5,9,42
6,11,15,22
6,15,11,22
11,6,15,22
11,15,6,22
15,6,11,22
15,11,6,22
10,2,9,13
10,2,8,11
10,2,14,12
10,9,2,13
10,9,8,8
10,9,14,5
10,8,2,11
10,8,9,8
10,8,14,2
10,14,2,12
10,14,9,5
10,14,8,2
2,10,9,13
2,10,8,11
2,10,14,12
2,9,10,13
2,9,8,16
2,9,14,15
2,8,10,11
2,8,9,16
2,8,14,4
2,14,10,12
2,14,9,15
2,14,8,4
9,10,2,13
9,10,8,8
9,10,14,5
9,2,10,13
9,2,8,16
9,2,14,15
9,8,10,8
9,8,2,16
9,8,14,21
9,14,10,5
9,14,2,15
9,14,8,21
8,10,2,11
8,10,9,8
8,10,14,2
8,2,10,11
8,2,9,16
8,2,14,4
8,9,10,8
8,9,2,16
8,9,14,21
8,14,10,2
8,14,2,4
8,14,9,21
14,10,2,12
14,10,9,5
14,10,8,2
14,2,10,12
14,2,9,15
14,2,8,4
14,9,10,5
14,9,2,15
14,9,8,21
14,8,10,2
14,8,2,4
14,8,9,21
4,7,14,36
4,7,19,17
4,14,7,36
4,14,19,30
4,19,7,17
4,19,14,30
7,4,14,36
7,4,19,17
7,14,4,36
7,14,19,10
7,19,4,17
7,19,14,10
14,4,7,36
14,4,19,30
14,7,4,36
14,7,19,10
14,19,4,30
14,19,7,10
19,4,7,17
19,4,14,30
19,7,4,17
19,7,14,10
19,14,4,30
19,14,7,10
13,20,19,11
13,19,20,11
20,13,19,11
20,19,13,11
19,13,20,11
19,20,13,11
22,7,18,75
22,7,12,7
22,18,7,75
22,18,12,7
22,12,7,7
22,12,18,7
7,22,18,75
7,22,12,7
7,18,22,75
7,18,12,4
7,12,22,7
7,12,18,4
18,22,7,75
18,22,12,7
18,7,22,75
18,7,12,4
18,12,22,7
18,12,7,4
12,22,7,7
12,22,18,7
12,7,22,7
12,7,18,4
12,18,22,7
12,18,7,4
9,3,18,27
9,3,19,49
9,3,21,19
9,3,8,19
9,18,3,27
9,18,19,27
9,18,21,29
9,18,8,25
9,19,3,49
9,19,18,27
9,19,21,36
9,19,8,19
9,21,3,19
9,21,18,29
9,21,19,36
9,21,8,28
9,8,3,19
9,8,18,25
9,8,19,19
9,8,21,28
3,9,18,27
3,9,19,49
3,9,21,19
3,9,8,19
3,18,9,27
3,18,19,22
3,18,21,20
3,18,8,9
3,19,9,49
3,19,18,22
3,19,21,34
3,19,8,11
3,21,9,19
3,21,18,20
3,21,19,34
3,21,8,9
3,8,9,19
3,8,18,9
3,8,19,11
3,8,21,9
18,9,3,27
18,9,19,27
18,9,21,29
18,9,8,25
18,3,9,27
18,3,19,22
18,3,21,20
18,3,8,9
18,19,9,27
18,19,3,22
18,19,21,19
18,19,8,13
18,21,9,29
18,21,3,20
18,21,19,19
18,21,8,23
18,8,9,25
18,8,3,9
18,8,19,13
18,8,21,23
19,9,3,49
19,9,18,27
19,9,21,36
19,9,8,19
19,3,9,49
19,3,18,22
19,3,21,34
19,3,8,11
19,18,9,27
19,18,3,22
19,18,21,19
19,18,8,13
19,21,9,36
19,21,3,34
19,21,18,19
19,21,8,21
19,8,9,19
19,8,3,11
19,8,18,13
19,8,21,21
21,9,3,19
21,9,18,29
21,9,19,36
21,9,8,28
21,3,9,19
21,3,18,20
21,3,19,34
21,3,8,9
21,18,9,29
21,18,3,20
21,18,19,19
21,18,8,23
21,19,9,36
21,19,3,34
21,19,18,19
21,19,8,21
21,8,9,28
21,8,3,9
21,8,18,23
21,8,19,21
8,9,3,19
8,9,18,25
8,9,19,19
8,9,21,28
8,3,9,19
8,3,18,9
8,3,19,11
8,3,21,9
8,18,9,25
8,18,3,9
8,18,19,13
8,18,21,23
8,19,9,19
8,19,3,11
8,19,18,13
8,19,21,21
8,21,9,28
8,21,3,9
8,21,18,23
8,21,19,21
10,2,4,29
10,2,5,23
10,4,2,29
10,4,9,23
10,4,5,33
10,9,4,23
10,9,5,17
10,5,2,23
10,5,4,33
10,5,9,17
2,10,4,29
2,10,5,23
2,4,10,29
2,4,9,59
2,4,5,81
2,9,4,59
2,9,5,49
2,5,10,23
2,5,4,81
2,5,9,49
4,10,2,29
4,10,9,23
4,10,5,33
4,2,10,29
4,2,9,59
4,2,5,81
4,9,10,23
4,9,2,59
4,5,10,33
4,5,2,81
9,10,4,23
9,10,5,17
9,2,4,59
9,2,5,49
9,4,10,23
9,4,2,59
9,5,10,17
9,5,2,49
5,10,2,23
5,10,4,33
5,10,9,17
5,2,10,23
5,2,4,81
5,2,9,49
5,4,10,33
5,4,2,81
5,9,10,17
5,9,2,49
6,4,15,22
6,4,7,27
6,15,4,22
6,15,7,19
6,7,4,27
6,7,15,19
4,6,15,22
4,6,7,27
4,15,6,22
4,15,7,17
4,7,6,27
4,7,15,17
15,6,4,22
15,6,7,19
15,4,6,22
15,4,7,17
15,7,6,19
15,7,4,17
7,6,4,27
7,6,15,19
7,4,6,27
7,4,15,17
7,15,6,19
7,15,4,17
4,8,13,29
4,13,8,29
8,4,13,29
8,13,4,29
13,4,8,29
13,8,4,29
13,4,16,43
13,16,4,43
4,13,16,43
4,16,13,43
16,13,4,43
16,4,13,43
18,6,2,6
18,2,6,6
6,18,2,6
6,2,18,6
2,18,6,6
2,6,18,6
1,21,9,11
1,9,21,11
21,1,9,11
21,9,1,11
9,1,21,11
9,21,1,11
9,23,6,35
9,6,23,35
23,9,6,35
23,6,9,35
6,9,23,35
6,23,9,35
13,9,23,68
13,9,20,22
13,23,9,68
13,23,20,34
13,20,9,22
13,20,23,34
9,13,23,68
9,13,20,22
9,23,13,68
9,23,20,30
9,20,13,22
9,20,23,30
23,13,9,68
23,13,20,34
23,9,13,68
23,9,20,30
23,20,13,34
23,20,9,30
20,13,9,22
20,13,23,34
20,9,13,22
20,9,23,30
20,23,13,34
20,23,9,30
21,7,3,14
21,7,14,22
21,3,7,14
21,3,14,13
21,14,7,22
21,14,3,13
7,21,3,14
7,21,14,22
7,3,21,14
7,3,14,35
7,14,21,22
7,14,3,35
3,21,7,14
3,21,14,13
3,7,21,14
3,7,14,35
3,14,21,13
3,14,7,35
14,21,7,22
14,21,3,13
14,7,21,22
14,7,3,35
14,3,21,13
14,3,7,35
4,2,13,105
4,13,2,105
2,4,13,105
2,13,4,105
13,4,2,105
13,2,4,105
12,23,14,6
12,23,19,6
