Exam Group,Exam Block,adj_block
72-0103,2,2
1-9185,1,1
MLG17,20,20
1-8222,10,10
1-6240,21,21
1-5549,11,11
1-8021,13,13
1-8767,6,6
1-8181,11,11
1-8020,6,6
1-7964,5,5
1-9722,12,12
MLG84,11,11
1-9805,17,17
1-6098,18,18
1-8093,10,10
1-9955,10,10
1-18603,6,6
1-3521,8,8
1-2596,17,17
1-5167,10,10
1-3519,12,12
1-7995,14,14
1-2025,13,13
1-7140,10,10
1-9607,2,2
1-9907,3,3
1-18409,2,2
1-10071,7,7
1-18735,18,18
1-8418,5,5
1-8938,15,15
1-0022,15,15
1-7991,5,5
1-6642,13,13
1-2869,14,14
1-2714,8,8
1-5508,15,15
1-2104,21,21
1-7467,15,15
1-7722,4,4
1-7509,2,2
1-1207,1,1
1-8705,17,17
1-5214,11,11
1-9444,7,7
1-8566,12,12
1-19547,14,14
1-0405,9,9
1-2178,5,5
1-8174,16,16
1-9925,1,1
72-12387,1,1
1-9850,7,7
1-8125,4,4
1-8095,3,3
1-5877,16,16
1-1224,14,14
1-17733,4,4
1-9331,18,18
1-18202,11,11
1-7341,17,17
1-9818,1,1
1-7066,18,18
1-9674,4,4
1-8659,20,20
1-7536,17,17
1-7481,3,3
1-7845,1,1
1-18498,12,12
1-2584,12,12
1-6532,9,9
1-9614,18,18
1-5355,9,9
1-8124,4,4
1-8401,9,9
1-8541,3,3
1-2153,15,15
1-4088,13,13
1-9739,4,4
1-9115,16,16
1-7770,3,3
1-17645,13,13
1-18423,14,14
1-18714,12,12
1-8084,5,5
1-9345,18,18
MLG35,2,2
1-5626,17,17
1-18004,2,2
1-19222,6,6
72-12171,2,2
1-7807,19,19
1-20003,21,21
1-3083,12,12
1-3312,14,14
MLG37,3,3
1-9237,11,11
1-8127,9,9
1-5775,16,16
1-19598,9,9
1-9892,15,15
1-3564,6,6
1-8820,4,4
1-8267,19,19
1-1258,21,21
MLG69,11,11
1-6971,13,13
1-9731,8,8
1-9768,16,16
72-18936,5,5
1-19897,15,15
1-10698,12,12
1-4499,10,10
1-7496,7,7
1-3178,7,7
1-20047,18,18
1-0358,7,7
1-6543,10,10
1-5929,10,10
1-10232,9,9
1-7070,21,21
MLG42,11,11
MLG55,9,9
1-8427,12,12
1-8622,7,7
1-8488,5,5
1-9643,11,11
1-19286,5,5
1-2573,9,9
1-1833,16,16
1-9283,7,7
1-9110,8,8
1-8576,8,8
1-9465,1,1
1-9712,10,10
1-9549,16,16
1-1972,1,1
1-5515,2,2
1-7863,17,17
1-2294,20,20
MLG45,20,20
P-16454,1,1
1-8928,12,12
1-7744,8,8
MLG06,1,1
1-7453,12,12
1-17657,4,4
1-0001,13,13
MLG58,1,1
1-7005,6,6
1-9870,10,10
1-9500,20,20
1-1350,8,8
1-18994,8,8
1-9447,6,6
1-8634,14,14
1-6061,18,18
1-7599,12,12
1-10696,17,17
1-19813,8,8
MLG41,9,9
1-8067,4,4
1-9137,18,18
1-9740,9,9
1-7721,14,14
MLG40,7,7
1-4929,5,5
1-9655,21,21
1-9606,18,18
1-5043,13,13
1-8100,21,21
1-8573,4,4
1-9588,5,5
MLG38,20,20
1-4910,7,7
1-8042,8,8
1-10948,7,7
1-7525,6,6
1-4052,5,5
1-0037,7,7
1-8641,10,10
1-7752,14,14
1-9496,18,18
1-8074,16,16
1-8906,1,1
72-11994,1,1
1-7321,4,4
1-20167,18,18
1-9156,16,16
1-2382,12,12
1-8328,19,19
1-9770,20,20
1-9553,9,9
1-9253,7,7
1-2670,4,4
1-9646,11,11
1-8646,9,9
1-9839,6,6
MLG39,20,20
1-4634,13,13
1-9902,14,14
1-8988,1,1
1-1250,19,19
1-9733,8,8
1-8018,12,12
1-9752,8,8
1-7058,3,3
1-10468,4,4
1-9938,4,4
1-7842,2,2
1-5406,16,16
1-10922,17,17
1-18563,9,9
1-0053,18,18
1-19839,10,10
1-9887,5,5
1-9630,5,5
1-9416,2,2
1-5653,2,2
MLG73,4,4
1-8023,1,1
1-4149,11,11
1-0205,3,3
1-9227,6,6
1-9650,15,15
1-9996,14,14
1-3068,19,19
1-17835,8,8
1-4361,17,17
1-3089,6,6
1-8450,3,3
1-18371,16,16
MLG07,15,15
MLG29,18,18
1-8113,17,17
1-7024,17,17
1-9667,1,1
1-9855,15,15
1-7042,3,3
MLG33,15,15
1-19448,17,17
1-20791,13,13
1-1015,19,19
MLG57,14,14
1-6647,13,13
MLG56,8,8
1-20467,14,14
1-2400,6,6
1-6931,7,7
1-9333,16,16
1-7268,7,7
1-21195,12,12
1-4649,3,3
1-8379,20,20
1-9946,3,3
1-9277,3,3
1-9504,14,14
1-9516,6,6
1-3596,11,11
1-0129,21,21
1-1942,3,3
1-8623,17,17
1-6927,4,4
P-0009,5,5
1-11330,8,8
1-2103,9,9
1-6181,10,10
MLG44,7,7
1-7839,18,18
1-1390,12,12
1-7897,16,16
1-1570,1,1
1-3589,2,2
1-0033,14,14
1-3216,3,3
1-9495,2,2
1-4051,4,4
1-10762,10,10
MLG43,6,6
1-7608,6,6
1-9995,8,8
1-1608,8,8
1-3535,16,16
1-4136,16,16
1-18615,14,14
1-3587,19,19
1-9836,5,5
1-8590,17,17
1-1592,12,12
1-8341,3,3
MLG02,10,10
1-9997,15,15
1-8066,13,13
1-3509,10,10
1-3639,12,12
1-9404,4,4
1-8352,6,6
1-7019,17,17
MLG54,12,12
1-4020,5,5
1-1177,21,21
MLG51,14,14
1-8157,13,13
1-19004,2,2
1-7866,15,15
1-18377,8,8
1-5530,6,6
1-6743,9,9
1-3516,19,19
1-4855,9,9
1-20578,4,4
1-3108,3,3
1-7521,8,8
1-3139,3,3
1-1769,12,12
1-7441,11,11
1-10978,6,6
1-2324,20,20
1-3584,18,18
MLG13,6,6
1-5172,13,13
1-0296,15,15
1-3647,13,13
1-6734,17,17
1-19924,13,13
1-8826,19,19
P-16616,5,5
1-9497,7,7
1-1317,4,4
1-4531,6,6
MLG75,1,1
MLG78,21,21
1-11329,20,20
1-20641,21,21
1-8910,6,6
1-1827,19,19
1-18613,21,21
1-6296,20,20
1-3523,15,15
1-3362,19,19
1-0031,1,1
MLG65,9,9
1-4319,4,4
1-6035,1,1
1-1131,20,20
MLG32,20,20
1-8188,14,14
1-17758,4,4
1-3052,3,3
1-2282,9,9
1-19229,15,15
MLG63,15,15
MLG50,21,21
1-9417,4,4
1-9498,1,1
1-9761,6,6
1-4760,2,2
1-9831,4,4
1-4417,10,10
1-6611,19,19
1-0008,10,10
1-1462,3,3
1-10785,17,17
1-7682,13,13
MLG48,3,3
1-5163,3,3
1-8544,18,18
1-5197,4,4
1-6594,1,1
MLG62,11,11
1-1580,13,13
1-6916,3,3
1-6918,20,20
1-6919,19,19
MLG14,2,2
1-7874,3,3
1-7213,18,18
1-6561,9,9
1-4640,3,3
1-7004,19,19
1-2335,16,16
1-18558,5,5
1-8551,2,2
1-9270,1,1
1-6974,16,16
