i,count
1,163
2,169
19,86
21,108
6,278
8,209
13,249
18,151
4,223
3,188
11,184
20,95
15,122
9,149
10,116
14,203
7,285
16,143
17,122
5,171
12,148
22,0
23,0
24,0
