Exam Group,Exam Block,adj_block
72-0103,11,11
1-9185,3,3
MLG17,5,5
1-8222,18,18
1-6240,14,14
1-5549,18,18
1-8021,6,6
1-8767,18,18
1-8181,13,13
1-8020,6,6
1-7964,3,3
1-9722,18,18
MLG84,9,9
1-9805,6,6
1-6098,12,12
1-8093,2,2
1-9955,1,1
1-18603,16,16
1-3521,2,2
1-2596,8,8
1-5167,11,11
1-3519,7,7
1-7995,15,15
1-2025,11,11
1-7140,11,11
1-9607,4,4
1-9907,19,19
1-18409,13,13
1-10071,10,10
1-18735,6,6
1-8418,17,17
1-8938,7,7
1-0022,1,1
1-7991,10,10
1-6642,4,4
1-2869,7,7
1-2714,1,1
1-5508,2,2
1-2104,15,15
1-7467,17,17
1-7722,2,2
1-7509,8,8
1-1207,15,15
1-8705,5,5
1-5214,9,9
1-9444,3,3
1-8566,15,15
1-19547,9,9
1-0405,20,20
1-2178,1,1
1-8174,2,2
1-9925,7,7
72-12387,20,20
1-9850,1,1
1-8125,19,19
1-8095,8,8
1-5877,15,15
1-1224,4,4
1-17733,4,4
1-9331,19,19
1-18202,11,11
1-7341,6,6
1-9818,9,9
1-7066,5,5
1-9674,4,4
1-8659,6,6
1-7536,2,2
1-7481,6,6
1-7845,7,7
1-18498,1,1
1-2584,4,4
1-6532,2,2
1-9614,12,12
1-5355,17,17
1-8124,5,5
1-8401,8,8
1-8541,15,15
1-2153,10,10
1-4088,7,7
1-9739,19,19
1-9115,8,8
1-7770,7,7
1-17645,9,9
1-18423,3,3
1-18714,3,3
1-8084,12,12
1-9345,12,12
MLG35,17,17
1-5626,16,16
1-18004,1,1
1-19222,1,1
72-12171,15,15
1-7807,6,6
1-20003,5,5
1-3083,10,10
1-3312,4,4
MLG37,1,1
1-9237,16,16
1-8127,5,5
1-5775,13,13
1-19598,19,19
1-9892,13,13
1-3564,17,17
1-8820,5,5
1-8267,2,2
1-1258,16,16
MLG69,18,18
1-6971,18,18
1-9731,11,11
1-9768,8,8
72-18936,13,13
1-19897,2,2
1-10698,9,9
1-4499,1,1
1-7496,6,6
1-3178,7,7
1-20047,10,10
