i,count
2,238
12,245
14,104
7,98
15,201
3,218
4,320
17,169
6,112
11,229
18,165
16,97
8,110
9,203
19,129
1,168
13,162
20,266
21,53
5,145
10,130
22,0
23,0
24,0
