i,j,count
22,1,161
8,4,68
16,5,119
16,12,113
5,12,88
4,7,87
4,2,63
7,2,180
15,7,153
15,6,240
15,8,184
15,19,167
7,6,281
7,8,165
7,19,128
6,8,139
6,19,160
8,19,45
10,9,55
22,7,223
22,6,301
22,9,84
22,19,175
7,9,85
6,9,108
9,19,69
10,12,67
10,4,94
12,4,179
8,5,74
8,6,65
8,13,42
8,14,102
5,6,183
5,13,38
5,14,188
6,13,99
6,14,257
13,14,46
21,20,132
21,1,96
21,16,140
20,1,70
20,16,83
1,16,165
7,14,163
2,6,160
2,18,131
6,18,304
5,3,226
5,18,180
5,22,113
3,18,184
3,22,36
18,22,52
6,22,100
6,5,230
22,14,142
22,18,251
22,5,215
14,18,112
14,5,84
14,19,71
18,5,165
18,19,96
5,19,193
8,7,47
8,15,79
5,7,116
5,15,155
7,15,193
6,15,224
8,1,74
8,22,59
7,1,147
7,22,136
1,22,135
7,11,120
6,11,230
9,7,51
9,20,263
7,20,193
19,10,59
13,10,51
13,1,64
10,1,94
1,3,117
1,15,211
3,15,129
6,16,221
6,10,199
16,10,157
16,11,87
22,10,183
9,6,131
9,16,221
9,10,135
3,16,101
3,5,81
3,7,49
16,7,88
21,6,176
21,2,144
6,2,181
17,18,134
13,3,29
13,18,50
3,10,74
10,18,97
9,13,64
9,12,135
9,15,99
9,17,211
12,15,104
12,17,82
15,17,78
15,16,232
22,12,106
7,12,144
1,4,142
15,4,233
9,18,53
13,4,68
4,3,123
2,7,137
2,10,168
2,22,86
7,10,295
10,22,54
20,15,65
20,19,40
19,6,62
19,14,91
18,12,120
18,3,188
18,10,136
12,3,60
12,10,78
15,1,113
15,10,222
1,10,151
2,8,164
8,10,67
4,16,131
4,15,143
16,15,127
7,13,40
22,8,80
22,13,72
5,17,49
5,20,108
5,10,144
17,14,89
17,20,209
17,10,80
14,20,57
14,10,64
20,10,65
1,21,87
21,15,138
22,3,183
11,22,51
11,4,232
11,6,60
22,4,192
4,6,165
14,7,35
14,13,49
1,2,174
3,20,66
15,12,98
6,12,106
2,12,93
15,5,269
15,22,128
2,19,129
2,4,147
2,14,118
18,4,71
18,14,136
19,4,114
4,14,102
5,11,112
5,2,131
11,19,144
11,2,137
19,2,78
21,8,103
16,8,81
5,8,106
17,8,59
16,3,76
16,6,175
16,13,70
16,21,94
6,21,112
12,13,105
12,21,48
13,21,51
9,22,89
9,21,88
22,20,126
22,21,152
20,21,47
22,2,164
2,5,134
3,19,82
21,11,114
11,15,121
9,14,132
21,17,131
21,14,143
11,1,50
11,10,57
3,9,46
16,9,67
21,19,115
21,4,203
19,22,49
19,18,44
18,6,152
19,5,57
20,17,277
3,1,103
16,1,156
1,7,148
14,4,74
14,12,25
4,12,134
4,5,139
12,5,59
6,1,196
6,7,111
6,17,146
1,17,139
7,17,179
