i,count
11,137
19,155
2,248
5,271
10,195
17,165
7,165
3,199
15,160
14,174
9,200
1,229
8,176
4,130
12,198
6,154
20,91
13,132
16,151
18,132
21,100
22,0
23,0
24,0
