i,count
5,201
14,149
3,155
13,186
4,152
17,214
18,184
9,106
8,181
1,320
15,102
16,99
7,142
21,72
10,108
2,141
22,170
11,203
12,182
20,147
6,206
19,142
23,0
24,0
