i,j,k,count
6,18,20,29
6,20,18,29
18,6,20,29
18,20,6,29
20,6,18,29
20,18,6,29
2,10,19,10
2,19,10,10
10,2,19,10
10,19,2,10
19,2,10,10
19,10,2,10
12,4,13,38
12,4,21,49
12,4,3,37
12,13,4,38
12,13,21,77
12,13,3,52
12,21,4,49
12,21,13,77
12,21,3,92
12,3,4,37
12,3,13,52
12,3,21,92
4,12,13,38
4,12,21,49
4,12,3,37
4,13,12,38
4,13,21,36
4,13,3,33
4,21,12,49
4,21,13,36
4,21,3,49
4,3,12,37
4,3,13,33
4,3,21,49
13,12,4,38
13,12,21,77
13,12,3,52
13,4,12,38
13,4,21,36
13,4,3,33
13,21,12,77
13,21,4,36
13,21,3,45
13,3,12,52
13,3,4,33
13,3,21,45
21,12,4,49
21,12,13,77
21,12,3,92
21,4,12,49
21,4,13,36
21,4,3,49
21,13,12,77
21,13,4,36
21,13,3,45
21,3,12,92
21,3,4,49
21,3,13,45
3,12,4,37
3,12,13,52
3,12,21,92
3,4,12,37
3,4,13,33
3,4,21,49
3,13,12,52
3,13,4,33
3,13,21,45
3,21,12,92
3,21,4,49
3,21,13,45
1,10,13,63
1,10,12,80
1,10,3,77
1,13,10,63
1,13,12,93
1,13,3,63
1,12,10,80
1,12,13,93
1,12,3,90
1,3,10,77
1,3,13,63
1,3,12,90
10,1,13,63
10,1,12,80
10,1,3,77
10,13,1,63
10,13,12,60
10,13,3,43
10,12,1,80
10,12,13,60
10,12,3,70
10,3,1,77
10,3,13,43
10,3,12,70
13,1,10,63
13,1,12,93
13,1,3,63
13,10,1,63
13,10,12,60
13,10,3,43
13,12,1,93
13,12,10,60
13,3,1,63
13,3,10,43
12,1,10,80
12,1,13,93
12,1,3,90
12,10,1,80
12,10,13,60
12,10,3,70
12,13,1,93
12,13,10,60
12,3,1,90
12,3,10,70
3,1,10,77
3,1,13,63
3,1,12,90
3,10,1,77
3,10,13,43
3,10,12,70
3,13,1,63
3,13,10,43
3,12,1,90
3,12,10,70
11,15,18,17
11,18,15,17
15,11,18,17
15,18,11,17
18,11,15,17
18,15,11,17
8,9,13,19
8,9,14,6
8,9,2,13
8,13,9,19
8,13,14,6
8,13,2,17
8,14,9,6
8,14,13,6
8,14,2,5
8,2,9,13
8,2,13,17
8,2,14,5
9,8,13,19
9,8,14,6
9,8,2,13
9,13,8,19
9,13,14,17
9,13,2,16
9,14,8,6
9,14,13,17
9,14,2,13
9,2,8,13
9,2,13,16
9,2,14,13
13,8,9,19
13,8,14,6
13,8,2,17
13,9,8,19
13,9,14,17
13,9,2,16
13,14,8,6
13,14,9,17
13,14,2,24
13,2,8,17
13,2,9,16
13,2,14,24
14,8,9,6
14,8,13,6
14,8,2,5
14,9,8,6
14,9,13,17
14,9,2,13
14,13,8,6
14,13,9,17
14,13,2,24
14,2,8,5
14,2,9,13
14,2,13,24
2,8,9,13
2,8,13,17
2,8,14,5
2,9,8,13
2,9,13,16
2,9,14,13
2,13,8,17
2,13,9,16
2,13,14,24
2,14,8,5
2,14,9,13
2,14,13,24
10,15,3,17
10,15,6,30
10,3,15,17
10,3,6,36
10,6,15,30
10,6,3,36
15,10,3,17
15,10,6,30
15,3,10,17
15,3,6,5
15,6,10,30
15,6,3,5
3,10,15,17
3,10,6,36
3,15,10,17
3,15,6,5
3,6,10,36
3,6,15,5
6,10,15,30
6,10,3,36
6,15,10,30
6,15,3,5
6,3,10,36
6,3,15,5
21,13,5,57
21,5,13,57
13,21,5,57
13,5,21,57
5,21,13,57
5,13,21,57
18,7,5,117
18,7,1,86
18,5,7,117
18,5,1,68
18,1,7,86
18,1,5,68
7,18,5,117
7,18,1,86
7,5,18,117
7,5,1,63
7,1,18,86
7,1,5,63
5,18,7,117
5,18,1,68
5,7,18,117
5,7,1,63
5,1,18,68
5,1,7,63
1,18,7,86
1,18,5,68
1,7,18,86
1,7,5,63
1,5,18,68
1,5,7,63
13,1,7,53
13,1,5,100
13,1,16,28
13,1,8,30
13,7,1,53
13,7,5,65
13,7,16,40
13,7,8,30
13,5,1,100
13,5,7,65
13,5,16,25
13,5,8,46
13,16,1,28
13,16,7,40
13,16,5,25
13,16,8,39
13,8,1,30
13,8,7,30
13,8,5,46
13,8,16,39
1,13,7,53
1,13,5,100
1,13,16,28
1,13,8,30
1,7,13,53
1,7,16,25
1,7,8,13
1,5,13,100
1,5,16,12
1,5,8,28
1,16,13,28
1,16,7,25
1,16,5,12
1,16,8,14
1,8,13,30
1,8,7,13
1,8,5,28
1,8,16,14
7,13,1,53
7,13,5,65
7,13,16,40
7,13,8,30
7,1,13,53
7,1,16,25
7,1,8,13
7,5,13,65
7,5,16,20
7,5,8,19
7,16,13,40
7,16,1,25
7,16,5,20
7,16,8,21
7,8,13,30
7,8,1,13
7,8,5,19
7,8,16,21
5,13,1,100
5,13,7,65
5,13,16,25
5,13,8,46
5,1,13,100
5,1,16,12
5,1,8,28
5,7,13,65
5,7,16,20
5,7,8,19
5,16,13,25
5,16,1,12
5,16,7,20
5,16,8,21
5,8,13,46
