i,count
4,152
5,161
2,364
9,250
13,147
8,321
19,130
11,156
1,234
21,96
10,163
3,191
20,108
6,241
7,161
15,185
17,80
12,142
16,97
14,107
18,76
22,0
23,0
24,0
