Exam Group,Exam Block,adj_block
72-0103,3,3
1-9185,17,17
MLG17,22,22
1-8222,12,12
1-6240,20,20
1-5549,12,12
1-8021,14,14
1-8767,2,2
1-8181,6,6
1-8020,9,9
1-7964,11,11
1-9722,19,19
MLG84,2,2
1-9805,1,1
1-6098,6,6
1-8093,15,15
1-9955,7,7
1-18603,13,13
1-3521,8,8
1-2596,12,12
1-5167,19,19
1-3519,17,17
1-7995,17,17
1-2025,17,17
1-7140,22,22
1-9607,2,2
1-9907,3,3
1-18409,13,13
1-10071,8,8
1-18735,16,16
1-8418,2,2
1-8938,9,9
1-0022,6,6
1-7991,17,17
1-6642,6,6
1-2869,7,7
1-2714,11,11
1-5508,9,9
1-2104,17,17
1-7467,11,11
1-7722,1,1
1-7509,5,5
1-1207,2,2
1-8705,5,5
1-5214,7,7
1-9444,7,7
1-8566,13,13
1-19547,9,9
1-0405,1,1
1-2178,12,12
1-8174,3,3
1-9925,7,7
72-12387,3,3
1-9850,1,1
1-8125,2,2
1-8095,10,10
1-5877,16,16
1-1224,9,9
1-17733,16,16
1-9331,8,8
1-18202,17,17
1-7341,6,6
1-9818,9,9
1-7066,2,2
1-9674,16,16
1-8659,17,17
1-7536,21,21
1-7481,14,14
1-7845,10,10
1-18498,9,9
1-2584,18,18
1-6532,19,19
1-9614,6,6
1-5355,2,2
1-8124,12,12
1-8401,5,5
1-8541,4,4
1-2153,20,20
1-4088,20,20
1-9739,11,11
1-9115,1,1
1-7770,10,10
1-17645,20,20
1-18423,1,1
1-18714,20,20
1-8084,6,6
1-9345,4,4
MLG35,2,2
1-5626,1,1
1-18004,12,12
1-19222,14,14
72-12171,5,5
1-7807,21,21
1-20003,8,8
1-3083,4,4
1-3312,11,11
MLG37,15,15
1-9237,5,5
1-8127,6,6
1-5775,10,10
1-19598,18,18
1-9892,18,18
1-3564,5,5
1-8820,16,16
1-8267,21,21
1-1258,13,13
MLG69,8,8
1-6971,12,12
1-9731,3,3
1-9768,5,5
72-18936,1,1
1-19897,18,18
1-10698,9,9
1-4499,12,12
1-7496,21,21
1-3178,15,15
1-20047,5,5
1-0358,13,13
1-6543,1,1
1-5929,19,19
1-10232,13,13
1-7070,20,20
MLG42,20,20
MLG55,9,9
1-8427,20,20
1-8622,15,15
1-8488,4,4
1-9643,22,22
1-19286,6,6
1-2573,15,15
1-1833,10,10
1-9283,8,8
1-9110,4,4
1-8576,7,7
1-9465,1,1
1-9712,8,8
1-9549,21,21
1-1972,1,1
1-5515,14,14
1-7863,3,3
1-2294,3,3
MLG45,22,22
P-16454,3,3
1-8928,22,22
1-7744,2,2
MLG06,12,12
1-7453,18,18
1-17657,22,22
1-0001,13,13
MLG58,12,12
1-7005,14,14
1-9870,7,7
