i,count
21,100
3,233
2,195
8,194
9,200
17,199
4,219
20,81
18,76
14,110
1,258
7,153
5,233
19,186
13,159
12,216
11,104
15,164
10,170
6,123
16,189
22,0
23,0
24,0
