i,j,count
15,6,41
6,15,41
8,2,23
2,8,23
14,9,13
9,14,13
4,21,15
21,4,15
22,14,14
14,22,14
9,10,7
10,9,7
3,14,21
14,3,21
4,9,32
9,4,32
11,18,5
18,11,5
2,13,51
13,2,51
8,21,4
21,8,4
2,17,74
17,2,74
2,5,31
5,2,31
3,17,22
17,3,22
23,19,18
19,23,18
2,1,82
1,2,82
3,4,61
4,3,61
15,19,6
19,15,6
14,6,23
6,14,23
6,16,22
16,6,22
15,16,19
16,15,19
13,14,35
14,13,35
19,9,14
9,19,14
3,22,40
22,3,40
14,17,9
17,14,9
1,12,7
12,1,7
7,2,18
2,7,18
23,13,20
13,23,20
15,21,4
21,15,4
18,12,9
12,18,9
6,22,20
22,6,20
4,2,45
2,4,45
3,20,19
20,3,19
5,14,25
14,5,25
17,22,25
22,17,25
4,8,13
8,4,13
20,19,10
19,20,10
3,1,19
1,3,19
5,8,13
8,5,13
1,8,8
8,1,8
3,7,21
7,3,21
9,12,13
12,9,13
1,17,26
17,1,26
15,14,2
14,15,2
23,14,15
14,23,15
1,9,15
9,1,15
16,9,11
9,16,11
16,21,33
21,16,33
1,23,12
23,1,12
9,22,24
22,9,24
4,19,17
19,4,17
12,8,6
8,12,6
10,22,6
22,10,6
1,10,9
10,1,9
6,17,28
17,6,28
12,10,6
10,12,6
3,19,13
19,3,13
3,5,60
5,3,60
23,22,9
22,23,9
21,10,5
10,21,5
12,5,9
5,12,9
20,22,11
22,20,11
3,10,16
10,3,16
15,13,10
13,15,10
23,3,25
3,23,25
3,9,35
9,3,35
4,17,30
17,4,30
17,9,21
9,17,21
4,7,21
7,4,21
23,11,7
11,23,7
13,4,45
4,13,45
2,19,5
19,2,5
5,5,10
4,12,12
12,4,12
2,6,42
6,2,42
3,8,12
8,3,12
4,5,47
5,4,47
4,22,30
22,4,30
2,14,17
14,2,17
1,13,21
13,1,21
23,6,22
6,23,22
17,10,7
10,17,7
22,8,10
8,22,10
2,16,14
16,2,14
23,21,12
21,23,12
5,19,32
19,5,32
3,21,9
21,3,9
23,5,23
5,23,23
1,6,14
6,1,14
11,3,17
3,11,17
5,6,23
6,5,23
16,14,16
14,16,16
5,17,18
17,5,18
11,19,13
