i,j,count
13,5,46
5,13,46
4,20,15
20,4,15
15,2,13
2,15,13
2,4,23
4,2,23
21,15,23
15,21,23
3,14,27
14,3,27
18,15,28
15,18,28
10,6,32
6,10,32
9,11,5
11,9,5
7,11,33
11,7,33
6,2,18
2,6,18
7,16,22
16,7,22
17,21,39
21,17,39
13,16,12
16,13,12
19,2,28
2,19,28
19,11,21
11,19,21
4,18,96
18,4,96
18,10,41
10,18,41
15,19,26
19,15,26
6,1,13
1,6,13
1,21,20
21,1,20
17,7,12
7,17,12
12,5,19
5,12,19
7,21,14
21,7,14
5,16,7
16,5,7
11,14,30
14,11,30
11,20,12
20,11,12
6,3,8
3,6,8
5,14,10
14,5,10
10,14,18
14,10,18
12,13,9
13,12,9
15,11,21
11,15,21
10,7,14
7,10,14
8,3,22
3,8,22
4,15,40
15,4,40
16,11,23
11,16,23
10,5,17
5,10,17
21,14,22
14,21,22
10,19,30
19,10,30
9,2,13
2,9,13
4,6,22
6,4,22
2,10,16
10,2,16
18,19,39
19,18,39
12,14,7
14,12,7
14,16,23
16,14,23
5,15,12
15,5,12
2,5,12
5,2,12
9,19,14
19,9,14
19,6,13
6,19,13
12,1,12
1,12,12
3,21,31
21,3,31
21,16,35
16,21,35
10,11,11
11,10,11
18,20,23
20,18,23
2,21,23
21,2,23
5,20,8
20,5,8
9,12,10
12,9,10
15,12,18
12,15,18
15,16,26
16,15,26
18,11,17
11,18,17
1,16,37
16,1,37
1,4,28
4,1,28
19,21,26
21,19,26
3,20,18
20,3,18
15,13,14
13,15,14
6,21,25
21,6,25
12,21,12
21,12,12
9,20,20
20,9,20
1,3,18
3,1,18
18,7,13
7,18,13
20,19,12
19,20,12
8,16,27
16,8,27
2,16,12
16,2,12
16,6,15
6,16,15
19,8,10
8,19,10
1,2,19
2,1,19
1,20,15
20,1,15
2,17,19
17,2,19
21,13,14
13,21,14
17,4,29
4,17,29
20,15,16
15,20,16
4,4,10
10,1,21
1,10,21
4,7,20
7,4,20
1,15,24
15,1,24
18,14,17
14,18,17
13,11,23
11,13,23
10,4,36
4,10,36
19,16,18
16,19,18
11,3,36
3,11,36
11,1,15
1,11,15
3,19,16
19,3,16
19,5,27
5,19,27
12,6,14
6,12,14
18,12,11
12,18,11
16,12,23
12,16,23
9,18,16
18,9,16
18,21,36
21,18,36
17,15,28
15,17,28
19,4,43
4,19,43
21,4,25
4,21,25
3,4,32
4,3,32
20,16,11
16,20,11
3,18,22
18,3,22
4,5,20
5,4,20
4,16,51
16,4,51
3,12,16
12,3,16
10,3,32
3,10,32
10,15,28
15,10,28
13,2,9
2,13,9
13,1,6
1,13,6
3,17,20
17,3,20
20,7,9
7,20,9
8,17,17
17,8,17
11,17,12
17,11,12
17,5,16
5,17,16
8,6,9
6,8,9
13,19,27
19,13,27
3,3,18
14,17,21
17,14,21
8,21,10
21,8,10
15,14,21
14,15,21
15,8,13
8,15,13
1,17,22
17,1,22
17,10,34
10,17,34
8,7,11
7,8,11
20,17,9
17,20,9
8,1,12
1,8,12
3,13,29
13,3,29
5,5,20
12,7,3
7,12,3
4,11,34
11,4,34
17,16,41
16,17,41
7,7,20
6,9,17
9,6,17
7,13,5
13,7,5
15,7,19
7,15,19
16,10,26
10,16,26
13,4,36
4,13,36
5,3,18
3,5,18
18,16,20
16,18,20
14,4,16
4,14,16
20,12,11
12,20,11
12,11,42
11,12,42
3,15,31
15,3,31
1,19,29
19,1,29
14,19,19
19,14,19
17,12,20
12,17,20
20,14,5
14,20,5
1,9,9
9,1,9
8,5,24
5,8,24
19,17,17
17,19,17
2,8,9
8,2,9
6,13,12
13,6,12
7,3,11
3,7,11
18,8,14
8,18,14
6,18,13
18,6,13
9,10,13
10,9,13
10,12,12
12,10,12
8,9,13
9,8,13
6,17,16
17,6,16
3,16,31
16,3,31
11,21,11
21,11,11
20,8,5
