Exam Group,Exam Block,adj_block
72-0103,6,6
1-9185,11,11
MLG17,10,10
1-8222,14,14
1-6240,22,22
1-5549,7,7
1-8021,15,15
1-8767,11,11
1-8181,13,13
1-8020,20,20
1-7964,14,14
1-9722,3,3
MLG84,9,9
1-9805,7,7
1-6098,13,13
1-8093,9,9
1-9955,4,4
1-18603,7,7
1-3521,8,8
1-2596,11,11
1-5167,1,1
1-3519,5,5
1-7995,11,11
1-2025,19,19
1-7140,14,14
1-9607,21,21
1-9907,2,2
1-18409,10,10
1-10071,7,7
1-18735,22,22
1-8418,3,3
1-8938,3,3
1-0022,5,5
1-7991,7,7
1-6642,17,17
1-2869,13,13
1-2714,3,3
1-5508,21,21
1-2104,3,3
1-7467,2,2
1-7722,4,4
1-7509,4,4
1-1207,10,10
1-8705,21,21
1-5214,15,15
1-9444,1,1
1-8566,2,2
1-19547,5,5
1-0405,21,21
1-2178,4,4
1-8174,1,1
1-9925,1,1
72-12387,2,2
1-9850,5,5
1-8125,6,6
1-8095,8,8
1-5877,17,17
1-1224,17,17
1-17733,17,17
1-9331,9,9
1-18202,2,2
1-7341,19,19
1-9818,15,15
1-7066,9,9
1-9674,17,17
1-8659,5,5
1-7536,10,10
1-7481,3,3
1-7845,6,6
1-18498,7,7
1-2584,12,12
1-6532,7,7
1-9614,2,2
1-5355,12,12
1-8124,15,15
1-8401,1,1
1-8541,18,18
1-2153,11,11
1-4088,13,13
1-9739,20,20
1-9115,8,8
1-7770,21,21
1-17645,9,9
1-18423,13,13
1-18714,2,2
1-8084,13,13
1-9345,2,2
MLG35,6,6
1-5626,12,12
1-18004,11,11
1-19222,13,13
72-12171,9,9
1-7807,5,5
1-20003,16,16
1-3083,19,19
1-3312,13,13
MLG37,6,6
1-9237,6,6
1-8127,7,7
1-5775,8,8
1-19598,1,1
1-9892,8,8
1-3564,12,12
1-8820,6,6
1-8267,4,4
1-1258,12,12
MLG69,20,20
1-6971,6,6
1-9731,11,11
1-9768,8,8
72-18936,14,14
1-19897,1,1
1-10698,1,1
1-4499,15,15
1-7496,5,5
1-3178,1,1
1-20047,2,2
1-0358,11,11
1-6543,1,1
1-5929,1,1
1-10232,1,1
1-7070,11,11
MLG42,21,21
MLG55,22,22
1-8427,11,11
1-8622,7,7
1-8488,3,3
1-9643,1,1
1-19286,6,6
1-2573,22,22
1-1833,4,4
1-9283,11,11
1-9110,3,3
1-8576,7,7
1-9465,1,1
1-9712,17,17
1-9549,10,10
1-1972,19,19
1-5515,5,5
1-7863,12,12
1-2294,17,17
MLG45,4,4
P-16454,7,7
1-8928,1,1
1-7744,12,12
MLG06,3,3
1-7453,20,20
1-17657,2,2
1-0001,20,20
MLG58,1,1
1-7005,18,18
1-9870,13,13
1-9500,16,16
1-1350,7,7
1-18994,10,10
1-9447,1,1
1-8634,16,16
1-6061,9,9
1-7599,3,3
1-10696,5,5
1-19813,1,1
MLG41,4,4
1-8067,17,17
1-9137,18,18
1-9740,1,1
1-7721,1,1
MLG40,4,4
1-4929,4,4
1-9655,5,5
1-9606,9,9
1-5043,15,15
1-8100,13,13
1-8573,9,9
1-9588,3,3
MLG38,4,4
1-4910,1,1
1-8042,4,4
1-10948,16,16
1-7525,2,2
1-4052,22,22
1-0037,2,2
1-8641,1,1
1-7752,7,7
1-9496,17,17
1-8074,8,8
1-8906,12,12
72-11994,14,14
1-7321,14,14
1-20167,2,2
