Exam Group,Exam Block,adj_block
72-0103,10,10
1-9185,14,14
MLG17,15,15
1-8222,8,8
1-6240,6,6
1-5549,7,7
1-8021,2,2
1-8767,9,9
1-8181,19,19
1-8020,1,1
1-7964,16,16
1-9722,1,1
MLG84,21,21
1-9805,11,11
1-6098,8,8
1-8093,2,2
1-9955,8,8
1-18603,1,1
1-3521,7,7
1-2596,6,6
1-5167,1,1
1-3519,16,16
1-7995,6,6
1-2025,14,14
1-7140,19,19
1-9607,2,2
1-9907,1,1
1-18409,6,6
1-10071,1,1
1-18735,8,8
1-8418,7,7
1-8938,2,2
1-0022,1,1
1-7991,5,5
1-6642,2,2
1-2869,8,8
1-2714,9,9
1-5508,3,3
1-2104,2,2
1-7467,11,11
1-7722,9,9
1-7509,2,2
1-1207,17,17
1-8705,4,4
1-5214,12,12
1-9444,5,5
1-8566,1,1
1-19547,3,3
1-0405,8,8
1-2178,5,5
1-8174,3,3
1-9925,2,2
72-12387,3,3
1-9850,5,5
1-8125,17,17
1-8095,3,3
1-5877,3,3
1-1224,9,9
1-17733,9,9
1-9331,10,10
1-18202,3,3
1-7341,10,10
1-9818,8,8
1-7066,4,4
1-9674,9,9
1-8659,4,4
1-7536,12,12
1-7481,5,5
1-7845,2,2
1-18498,7,7
1-2584,6,6
1-6532,10,10
1-9614,4,4
1-5355,11,11
1-8124,2,2
1-8401,8,8
1-8541,14,14
1-2153,9,9
1-4088,8,8
1-9739,6,6
1-9115,7,7
1-7770,9,9
1-17645,4,4
1-18423,5,5
1-18714,7,7
1-8084,8,8
1-9345,17,17
MLG35,19,19
1-5626,20,20
1-18004,8,8
1-19222,6,6
72-12171,1,1
1-7807,12,12
1-20003,13,13
1-3083,7,7
1-3312,10,10
MLG37,21,21
1-9237,11,11
1-8127,19,19
1-5775,15,15
1-19598,2,2
1-9892,14,14
1-3564,7,7
1-8820,9,9
1-8267,12,12
1-1258,11,11
MLG69,17,17
1-6971,10,10
1-9731,6,6
1-9768,15,15
72-18936,7,7
1-19897,2,2
1-10698,13,13
1-4499,1,1
1-7496,12,12
1-3178,1,1
1-20047,1,1
1-0358,6,6
1-6543,9,9
1-5929,2,2
1-10232,1,1
1-7070,16,16
MLG42,6,6
MLG55,3,3
1-8427,16,16
1-8622,7,7
1-8488,2,2
1-9643,6,6
1-19286,3,3
1-2573,18,18
1-1833,18,18
1-9283,16,16
1-9110,2,2
1-8576,7,7
1-9465,2,2
1-9712,3,3
1-9549,15,15
1-1972,5,5
1-5515,6,6
1-7863,11,11
1-2294,7,7
MLG45,5,5
P-16454,1,1
1-8928,16,16
1-7744,11,11
MLG06,2,2
1-7453,1,1
1-17657,8,8
1-0001,3,3
MLG58,2,2
1-7005,13,13
1-9870,5,5
1-9500,3,3
1-1350,14,14
1-18994,17,17
1-9447,9,9
1-8634,10,10
1-6061,8,8
1-7599,5,5
1-10696,1,1
1-19813,2,2
MLG41,4,4
1-8067,9,9
1-9137,1,1
1-9740,13,13
1-7721,6,6
MLG40,5,5
1-4929,1,1
1-9655,12,12
1-9606,1,1
1-5043,11,11
1-8100,2,2
1-8573,1,1
1-9588,1,1
MLG38,4,4
1-4910,1,1
1-8042,7,7
1-10948,1,1
1-7525,6,6
1-4052,2,2
1-0037,9,9
1-8641,2,2
1-7752,5,5
1-9496,8,8
1-8074,5,5
1-8906,3,3
72-11994,9,9
1-7321,6,6
1-20167,8,8
1-9156,5,5
1-2382,21,21
1-8328,12,12
1-9770,15,15
1-9553,11,11
1-9253,11,11
1-2670,3,3
1-9646,8,8
1-8646,8,8
1-9839,1,1
MLG39,2,2
1-4634,5,5
1-9902,19,19
1-8988,2,2
1-1250,15,15
1-9733,7,7
1-8018,4,4
1-9752,5,5
1-7058,11,11
1-10468,9,9
1-9938,9,9
1-7842,3,3
1-5406,1,1
1-10922,1,1
1-18563,2,2
1-0053,8,8
1-19839,8,8
1-9887,10,10
1-9630,2,2
1-9416,12,12
1-5653,10,10
MLG73,8,8
1-8023,6,6
1-4149,6,6
1-0205,2,2
1-9227,13,13
1-9650,19,19
1-9996,3,3
1-3068,12,12
1-17835,1,1
1-4361,1,1
1-3089,8,8
1-8450,18,18
1-18371,15,15
MLG07,13,13
MLG29,2,2
1-8113,5,5
1-7024,21,21
1-9667,4,4
1-9855,9,9
1-7042,12,12
MLG33,19,19
1-19448,6,6
1-20791,9,9
1-1015,18,18
MLG57,6,6
1-6647,4,4
MLG56,14,14
1-20467,14,14
1-2400,10,10
1-6931,1,1
1-9333,15,15
1-7268,4,4
1-21195,1,1
1-4649,18,18
1-8379,1,1
1-9946,6,6
1-9277,13,13
1-9504,10,10
1-9516,12,12
1-3596,17,17
1-0129,11,11
1-1942,13,13
1-8623,1,1
1-6927,9,9
P-0009,7,7
1-11330,3,3
1-2103,14,14
1-6181,10,10
MLG44,20,20
1-7839,6,6
1-1390,21,21
1-7897,3,3
1-1570,11,11
1-3589,10,10
1-0033,2,2
1-3216,1,1
1-9495,9,9
1-4051,1,1
1-10762,6,6
MLG43,3,3
1-7608,5,5
1-9995,12,12
1-1608,14,14
1-3535,15,15
1-4136,1,1
1-18615,6,6
1-3587,20,20
1-9836,2,2
1-8590,3,3
1-1592,12,12
1-8341,1,1
MLG02,10,10
1-9997,3,3
1-8066,5,5
1-3509,10,10
1-3639,17,17
1-9404,9,9
1-8352,1,1
1-7019,2,2
MLG54,18,18
1-4020,14,14
1-1177,11,11
MLG51,6,6
1-8157,5,5
1-19004,10,10
1-7866,7,7
1-18377,1,1
1-5530,10,10
1-6743,4,4
1-3516,12,12
1-4855,18,18
1-20578,7,7
1-3108,11,11
1-7521,4,4
1-3139,13,13
1-1769,14,14
1-7441,11,11
1-10978,11,11
1-2324,21,21
1-3584,8,8
MLG13,13,13
1-5172,11,11
1-0296,3,3
1-3647,1,1
1-6734,2,2
1-19924,1,1
1-8826,13,13
P-16616,20,20
1-9497,8,8
1-1317,9,9
1-4531,13,13
MLG75,2,2
MLG78,20,20
1-11329,21,21
1-20641,5,5
1-8910,3,3
1-1827,20,20
1-18613,2,2
1-6296,10,10
1-3523,7,7
1-3362,12,12
1-0031,7,7
MLG65,18,18
1-4319,9,9
1-6035,5,5
1-1131,19,19
MLG32,4,4
1-8188,4,4
1-17758,16,16
1-3052,13,13
1-2282,3,3
1-19229,9,9
MLG63,20,20
MLG50,18,18
1-9417,4,4
1-9498,11,11
1-9761,12,12
1-4760,7,7
1-9831,9,9
1-4417,10,10
1-6611,12,12
1-0008,10,10
1-1462,13,13
1-10785,11,11
1-7682,17,17
MLG48,4,4
1-5163,17,17
1-8544,18,18
1-5197,9,9
1-6594,3,3
MLG62,17,17
1-1580,7,7
1-6916,12,12
1-6918,13,13
1-6919,8,8
MLG14,19,19
1-7874,13,13
1-7213,18,18
1-6561,11,11
1-4640,12,12
1-7004,12,12
1-2335,2,2
1-18558,17,17
1-8551,12,12
1-9270,11,11
1-6974,5,5
MLG68,16,16
1-10539,16,16
MLG49,15,15
1-0278,15,15
MLG64,20,20
MLG30,1,1
1-9609,8,8
1-7819,4,4
1-2423,10,10
1-6787,17,17
1-9963,11,11
1-9808,10,10
1-0303,4,4
MLG60,5,5
1-18709,19,19
1-7204,18,18
1-5744,1,1
1-1770,15,15
1-4682,6,6
1-3104,18,18
1-17907,12,12
1-8421,19,19
MLG53,15,15
1-9645,19,19
MLG12,20,20
MLG15,5,5
1-6858,1,1
1-8314,21,21
1-8285,14,14
1-1957,6,6
1-18203,14,14
1-10451,21,21
1-6216,3,3
1-6692,15,15
1-8172,3,3
1-8398,1,1
1-6878,19,19
1-7122,16,16
1-4700,6,6
1-6006,3,3
1-4355,7,7
1-9379,21,21
1-2701,5,5
1-6693,8,8
1-3141,11,11
1-7614,3,3
1-6914,16,16
1-5654,14,14
MLG59,21,21
1-9610,20,20
1-5161,17,17
1-6980,13,13
MLG10,1,1
MLG72,3,3
MLG52,8,8
1-19166,1,1
MLG11,7,7
1-3447,18,18
1-3217,16,16
1-6538,17,17
1-3534,12,12
1-7152,12,12
1-3106,14,14
1-1935,4,4
1-2297,19,19
1-4098,2,2
1-8529,3,3
1-8397,4,4
1-0272,12,12
1-17790,7,7
1-8186,16,16
1-8503,15,15
1-7182,1,1
1-2545,7,7
1-7993,13,13
1-9651,19,19
1-1183,15,15
1-1989,6,6
1-10060,9,9
1-5913,2,2
1-5981,6,6
1-13247,4,4
1-6228,18,18
1-8578,13,13
1-1204,4,4
1-9794,2,2
1-9518,7,7
1-9452,21,21
1-8400,20,20
1-18234,16,16
1-19205,10,10
1-9055,13,13
1-9394,15,15
1-9286,4,4
1-1005,8,8
1-10038,16,16
1-4390,19,19
1-9491,1,1
MLG31,20,20
1-5980,8,8
1-8678,20,20
1-6900,4,4
1-11350,7,7
1-9578,7,7
1-3551,14,14
MLG09,17,17
1-6028,14,14
1-1836,1,1
1-3265,7,7
MLG08,20,20
1-3176,4,4
1-8493,9,9
1-19915,11,11
1-8627,2,2
1-0292,10,10
1-18487,18,18
1-20012,5,5
1-9076,21,21
1-5425,9,9
1-4747,21,21
1-6227,2,2
1-6909,20,20
1-8532,21,21
1-18935,21,21
1-3206,7,7
1-9697,1,1
1-3033,17,17
1-8094,5,5
1-11206,2,2
1-6531,2,2
1-5036,4,4
1-18028,16,16
1-1850,7,7
1-4926,10,10
1-2034,2,2
1-19549,15,15
1-5282,5,5
1-9861,16,16
1-9338,2,2
1-3175,3,3
1-5002,8,8
1-5531,19,19
1-6718,3,3
1-6217,11,11
1-4847,5,5
1-5891,16,16
1-19447,2,2
1-7530,2,2
1-9457,14,14
1-5990,16,16
1-9971,17,17
1-4494,2,2
1-9576,14,14
1-9436,2,2
1-5413,21,21
1-5424,15,15
1-1191,12,12
1-5803,4,4
1-5799,16,16
1-19567,11,11
1-7527,3,3
MLG67,15,15
1-3087,6,6
1-4842,10,10
1-19568,4,4
1-9838,14,14
MLG46,20,20
1-5555,9,9
1-10444,10,10
1-3646,20,20
1-10951,18,18
1-9806,5,5
1-0055,6,6
1-5914,1,1
1-0027,2,2
1-9455,1,1
1-0003,4,4
1-21192,12,12
1-9034,4,4
1-19927,1,1
