i,count
4,175
3,198
20,240
2,154
16,261
8,186
10,119
7,102
5,151
15,189
12,239
11,217
9,164
17,228
19,144
1,127
18,120
14,181
13,180
6,187
21,0
22,0
23,0
24,0
