Exam Group,Exam Block,adj_block
72-0103,14,14
1-9185,2,2
MLG17,7,7
1-8222,4,4
1-6240,2,2
1-5549,17,17
1-8021,13,13
1-8767,3,3
1-8181,4,4
1-8020,11,11
1-7964,14,14
1-9722,6,6
MLG84,5,5
1-9805,16,16
1-6098,4,4
1-8093,1,1
1-9955,1,1
1-18603,12,12
1-3521,10,10
1-2596,2,2
1-5167,18,18
1-3519,7,7
1-7995,2,2
1-2025,10,10
1-7140,14,14
1-9607,12,12
1-9907,2,2
1-18409,7,7
1-10071,16,16
1-18735,1,1
1-8418,11,11
1-8938,18,18
1-0022,16,16
1-7991,9,9
1-6642,6,6
1-2869,5,5
1-2714,7,7
1-5508,2,2
1-2104,9,9
1-7467,3,3
1-7722,19,19
1-7509,6,6
1-1207,11,11
1-8705,10,10
1-5214,13,13
1-9444,2,2
1-8566,2,2
1-19547,11,11
1-0405,4,4
1-2178,5,5
1-8174,12,12
1-9925,5,5
72-12387,4,4
1-9850,13,13
1-8125,7,7
1-8095,1,1
1-5877,1,1
1-1224,12,12
1-17733,12,12
1-9331,15,15
1-18202,3,3
1-7341,1,1
1-9818,10,10
1-7066,7,7
1-9674,12,12
1-8659,13,13
1-7536,12,12
1-7481,8,8
1-7845,3,3
1-18498,2,2
1-2584,9,9
1-6532,19,19
1-9614,1,1
1-5355,6,6
1-8124,12,12
1-8401,11,11
1-8541,20,20
1-2153,8,8
1-4088,1,1
1-9739,3,3
1-9115,3,3
1-7770,9,9
1-17645,7,7
1-18423,19,19
1-18714,1,1
1-8084,4,4
1-9345,4,4
MLG35,17,17
1-5626,6,6
1-18004,4,4
1-19222,15,15
72-12171,2,2
1-7807,13,13
1-20003,2,2
1-3083,7,7
1-3312,19,19
MLG37,8,8
1-9237,16,16
1-8127,1,1
1-5775,15,15
1-19598,11,11
1-9892,11,11
1-3564,18,18
1-8820,16,16
1-8267,1,1
1-1258,6,6
MLG69,17,17
1-6971,8,8
1-9731,5,5
1-9768,21,21
72-18936,9,9
1-19897,5,5
1-10698,11,11
1-4499,18,18
1-7496,13,13
1-3178,16,16
1-20047,4,4
1-0358,5,5
1-6543,10,10
1-5929,8,8
1-10232,3,3
1-7070,17,17
MLG42,9,9
MLG55,3,3
1-8427,2,2
1-8622,16,16
1-8488,1,1
1-9643,16,16
1-19286,15,15
1-2573,7,7
1-1833,18,18
1-9283,2,2
1-9110,8,8
1-8576,16,16
1-9465,15,15
1-9712,10,10
1-9549,21,21
1-1972,2,2
1-5515,1,1
1-7863,3,3
1-2294,15,15
MLG45,7,7
P-16454,1,1
1-8928,13,13
1-7744,6,6
MLG06,13,13
1-7453,6,6
1-17657,3,3
1-0001,6,6
MLG58,16,16
1-7005,20,20
1-9870,2,2
1-9500,16,16
1-1350,2,2
1-18994,8,8
1-9447,15,15
1-8634,17,17
1-6061,4,4
1-7599,11,11
1-10696,8,8
1-19813,3,3
MLG41,19,19
1-8067,12,12
1-9137,8,8
1-9740,8,8
1-7721,9,9
MLG40,21,21
1-4929,16,16
1-9655,6,6
1-9606,4,4
1-5043,6,6
1-8100,9,9
1-8573,12,12
1-9588,7,7
MLG38,8,8
1-4910,11,11
1-8042,3,3
1-10948,11,11
1-7525,18,18
1-4052,21,21
1-0037,3,3
1-8641,18,18
1-7752,2,2
1-9496,12,12
1-8074,19,19
1-8906,6,6
72-11994,13,13
1-7321,10,10
1-20167,10,10
1-9156,21,21
1-2382,8,8
1-8328,13,13
1-9770,1,1
1-9553,7,7
1-9253,17,17
1-2670,3,3
1-9646,21,21
1-8646,18,18
1-9839,9,9
MLG39,19,19
1-4634,4,4
1-9902,14,14
1-8988,14,14
1-1250,18,18
1-9733,5,5
1-8018,3,3
1-9752,14,14
1-7058,3,3
1-10468,12,12
1-9938,12,12
1-7842,10,10
1-5406,10,10
1-10922,17,17
1-18563,17,17
1-0053,4,4
1-19839,13,13
1-9887,5,5
1-9630,21,21
1-9416,1,1
1-5653,1,1
MLG73,16,16
1-8023,9,9
1-4149,9,9
1-0205,15,15
1-9227,20,20
1-9650,19,19
1-9996,2,2
1-3068,1,1
1-17835,14,14
1-4361,19,19
1-3089,1,1
1-8450,21,21
1-18371,11,11
MLG07,20,20
MLG29,4,4
1-8113,13,13
1-7024,10,10
1-9667,15,15
1-9855,12,12
1-7042,1,1
MLG33,15,15
1-19448,10,10
1-20791,4,4
1-1015,13,13
MLG57,7,7
1-6647,10,10
MLG56,9,9
1-20467,18,18
1-2400,13,13
1-6931,17,17
1-9333,10,10
1-7268,2,2
1-21195,17,17
1-4649,18,18
1-8379,2,2
1-9946,3,3
1-9277,20,20
1-9504,17,17
1-9516,1,1
1-3596,8,8
1-0129,6,6
1-1942,1,1
1-8623,9,9
1-6927,19,19
P-0009,5,5
1-11330,1,1
1-2103,5,5
1-6181,14,14
MLG44,19,19
1-7839,9,9
1-1390,7,7
1-7897,11,11
1-1570,6,6
1-3589,14,14
1-0033,4,4
1-3216,4,4
1-9495,2,2
1-4051,1,1
1-10762,5,5
MLG43,8,8
1-7608,2,2
1-9995,7,7
1-1608,21,21
1-3535,11,11
1-4136,3,3
1-18615,2,2
1-3587,5,5
1-9836,5,5
1-8590,15,15
1-1592,20,20
1-8341,1,1
MLG02,14,14
1-9997,1,1
1-8066,21,21
1-3509,14,14
1-3639,1,1
