i,j,count
21,8,135
8,21,135
2,10,249
10,2,249
3,22,228
3,14,215
22,3,228
22,14,231
14,3,215
14,22,231
3,12,276
3,5,130
12,3,276
12,5,272
5,3,130
5,12,272
9,12,482
9,10,522
9,20,428
9,4,304
12,9,482
12,10,542
12,20,457
12,4,391
10,9,522
10,12,542
10,20,446
10,4,546
20,9,428
20,12,457
20,10,446
20,4,302
4,9,304
4,12,391
4,10,546
4,20,302
16,18,143
18,16,143
6,12,608
6,10,544
6,4,394
6,18,396
12,6,608
12,18,347
10,6,544
10,18,347
4,6,394
4,18,166
18,6,396
18,12,347
18,10,347
18,4,166
17,18,216
17,21,305
18,17,216
18,21,284
21,17,305
21,18,284
17,3,165
17,10,279
17,16,74
17,7,162
3,17,165
3,10,328
3,16,68
3,7,139
10,17,279
10,3,328
10,16,232
10,7,463
16,17,74
16,3,68
16,10,232
16,7,184
7,17,162
7,3,139
7,10,463
7,16,184
12,2,206
12,13,416
4,2,253
4,13,241
2,12,206
2,4,253
2,13,194
13,12,416
13,4,241
13,2,194
2,1,159
1,2,159
1,4,186
4,1,186
22,4,375
22,16,174
22,6,356
4,22,375
4,16,173
16,22,174
16,4,173
16,6,184
6,22,356
6,16,184
10,14,367
10,1,188
6,14,320
6,1,231
6,2,229
4,14,229
14,10,367
14,6,320
14,4,229
14,1,159
14,2,127
1,10,188
1,6,231
1,14,159
2,6,229
2,14,127
17,12,325
17,9,320
3,9,243
12,17,325
9,17,320
9,3,243
14,12,250
14,8,99
12,14,250
12,8,167
8,14,99
8,12,167
8,6,166
6,8,166
12,16,188
16,12,188
20,11,251
12,11,190
11,20,251
11,12,190
15,17,129
15,7,92
17,15,129
7,15,92
6,7,287
7,6,287
7,1,127
1,7,127
10,13,486
13,10,486
13,17,291
17,13,291
20,13,484
20,1,143
13,20,484
13,1,211
1,20,143
1,13,211
7,13,259
7,21,127
13,7,259
13,21,201
10,21,126
21,7,127
21,13,201
21,10,126
19,8,45
8,19,45
6,13,436
13,6,436
13,16,153
16,13,153
10,15,225
15,10,225
15,14,192
15,9,212
15,19,268
14,15,192
14,9,336
14,19,176
9,15,212
9,14,336
9,19,160
19,15,268
19,14,176
19,9,160
2,9,248
9,2,248
9,13,443
13,9,443
6,15,143
15,6,143
6,9,481
9,6,481
9,8,206
8,9,206
6,5,228
5,6,228
5,22,136
22,5,136
20,6,338
12,1,184
1,12,184
6,20,338
2,18,151
13,18,222
18,2,151
18,13,222
12,7,360
7,12,360
13,14,287
14,13,287
9,1,189
1,9,189
1,17,93
17,1,93
20,8,165
20,16,139
8,20,165
8,16,77
16,20,139
16,8,77
18,22,334
22,18,334
20,17,238
17,20,238
18,8,105
18,5,139
6,17,265
8,18,105
8,5,88
8,17,143
5,18,139
5,8,88
5,17,141
17,6,265
17,8,143
17,5,141
5,4,165
5,2,110
5,19,74
5,1,92
4,5,165
4,19,197
2,5,110
2,19,114
19,5,74
19,4,197
19,2,114
19,1,117
1,5,92
1,19,117
4,3,233
6,3,295
3,4,233
3,6,295
15,16,78
16,15,78
5,21,230
21,5,230
6,19,160
19,6,160
14,7,113
4,7,389
7,14,113
7,4,389
22,7,253
7,22,253
7,18,183
18,7,183
5,10,241
10,5,241
13,8,115
8,13,115
22,20,373
18,20,314
20,22,373
20,18,314
13,5,203
5,13,203
14,16,230
16,14,230
6,11,198
11,6,198
11,4,155
4,11,155
10,22,402
22,10,402
20,19,177
20,7,329
19,20,177
19,7,117
7,20,329
7,19,117
4,15,90
13,15,134
15,4,90
15,13,134
17,19,164
19,17,164
15,11,273
11,15,273
11,19,419
19,11,419
7,2,131
2,7,131
2,21,129
21,2,129
6,21,260
22,21,172
21,6,260
21,22,172
22,12,414
22,17,222
22,13,293
12,22,414
17,22,222
13,22,293
20,21,174
21,20,174
12,19,150
1,11,109
11,1,109
19,12,150
8,10,168
10,8,168
17,4,181
4,17,181
19,3,86
3,19,86
17,2,110
2,17,110
3,18,220
18,3,220
18,14,277
18,1,158
14,18,277
1,18,158
12,21,213
5,14,114
14,5,114
14,21,165
21,12,213
21,14,165
12,15,134
15,12,134
21,19,280
19,21,280
11,18,103
11,13,196
18,11,103
13,11,196
9,21,252
9,5,184
21,9,252
5,9,184
9,22,354
9,16,173
22,9,354
22,15,122
15,22,122
16,9,173
11,5,128
5,11,128
3,15,94
15,3,94
11,10,146
10,11,146
11,22,184
11,7,71
15,5,91
22,11,184
7,11,71
7,5,161
5,15,91
5,7,161
17,14,142
14,17,142
3,1,94
1,3,94
21,11,125
11,21,125
1,22,160
1,8,102
22,1,160
22,8,95
8,1,102
8,22,95
7,9,318
9,7,318
3,20,160
20,3,160
20,14,180
14,20,180
18,9,403
9,18,403
8,7,112
8,4,156
7,8,112
4,8,156
3,8,86
8,3,86
22,2,135
22,19,112
2,22,135
2,20,167
19,22,112
20,2,167
20,15,102
15,20,102
3,13,295
13,3,295
11,14,98
14,11,98
19,16,58
16,19,58
11,2,108
2,11,108
21,16,102
16,21,102
2,3,130
3,2,130
18,15,108
15,18,108
10,19,188
19,10,188
19,13,132
13,19,132
5,16,58
16,5,58
8,2,109
8,15,41
1,15,77
2,8,109
2,15,82
15,8,41
15,1,77
15,2,82
21,15,125
15,21,125
20,5,152
5,20,152
21,4,191
4,21,191
11,17,153
17,11,153
2,16,55
16,2,55
11,8,101
8,11,101
19,18,131
18,19,131
21,3,99
3,21,99
9,11,210
11,9,210
3,11,99
11,3,99
1,16,78
16,1,78
11,16,63
16,11,63
21,1,64
1,21,64
