Exam Group,Exam Block,adj_block
72-0103,4,4
1-9185,8,8
MLG17,13,13
1-8222,1,1
1-6240,20,20
1-5549,10,10
1-8021,14,14
1-8767,6,6
1-8181,11,11
1-8020,15,15
1-7964,17,17
1-9722,3,3
MLG84,15,15
1-9805,16,16
1-6098,11,11
1-8093,10,10
1-9955,14,14
1-18603,16,16
1-3521,9,9
1-2596,6,6
1-5167,10,10
1-3519,15,15
1-7995,7,7
1-2025,12,12
1-7140,16,16
1-9607,13,13
1-9907,1,1
1-18409,2,2
1-10071,6,6
1-18735,2,2
1-8418,17,17
1-8938,11,11
1-0022,11,11
1-7991,4,4
1-6642,7,7
1-2869,5,5
1-2714,4,4
1-5508,9,9
1-2104,1,1
1-7467,14,14
1-7722,6,6
1-7509,7,7
1-1207,5,5
1-8705,15,15
1-5214,5,5
1-9444,16,16
1-8566,1,1
1-19547,4,4
1-0405,11,11
1-2178,15,15
1-8174,8,8
1-9925,10,10
72-12387,13,13
1-9850,5,5
1-8125,3,3
1-8095,4,4
1-5877,9,9
1-1224,10,10
1-17733,10,10
1-9331,15,15
1-18202,9,9
1-7341,1,1
1-9818,3,3
1-7066,3,3
1-9674,10,10
1-8659,4,4
1-7536,2,2
1-7481,18,18
1-7845,13,13
1-18498,12,12
1-2584,7,7
1-6532,2,2
1-9614,18,18
1-5355,12,12
1-8124,16,16
1-8401,18,18
1-8541,3,3
1-2153,17,17
1-4088,14,14
1-9739,6,6
1-9115,4,4
1-7770,20,20
1-17645,5,5
1-18423,2,2
1-18714,9,9
1-8084,11,11
1-9345,2,2
MLG35,6,6
1-5626,12,12
1-18004,11,11
1-19222,7,7
72-12171,14,14
1-7807,9,9
1-20003,14,14
1-3083,2,2
1-3312,4,4
MLG37,2,2
1-9237,7,7
1-8127,13,13
1-5775,13,13
1-19598,14,14
1-9892,3,3
1-3564,2,2
1-8820,6,6
1-8267,9,9
1-1258,12,12
MLG69,18,18
1-6971,9,9
1-9731,7,7
1-9768,19,19
72-18936,5,5
1-19897,2,2
1-10698,8,8
1-4499,10,10
1-7496,3,3
1-3178,16,16
1-20047,3,3
1-0358,16,16
1-6543,1,1
1-5929,1,1
1-10232,15,15
1-7070,20,20
MLG42,20,20
MLG55,1,1
1-8427,20,20
1-8622,1,1
1-8488,16,16
1-9643,2,2
1-19286,13,13
1-2573,5,5
1-1833,19,19
1-9283,18,18
1-9110,17,17
1-8576,17,17
1-9465,4,4
1-9712,7,7
1-9549,7,7
1-1972,8,8
1-5515,2,2
1-7863,12,12
1-2294,4,4
MLG45,20,20
P-16454,4,4
1-8928,16,16
1-7744,17,17
MLG06,12,12
1-7453,9,9
1-17657,2,2
1-0001,14,14
MLG58,13,13
1-7005,5,5
1-9870,20,20
1-9500,8,8
1-1350,20,20
1-18994,2,2
1-9447,12,12
1-8634,10,10
1-6061,4,4
1-7599,18,18
1-10696,12,12
1-19813,15,15
MLG41,14,14
1-8067,10,10
1-9137,17,17
1-9740,3,3
1-7721,7,7
MLG40,14,14
1-4929,20,20
1-9655,8,8
1-9606,2,2
1-5043,12,12
1-8100,7,7
1-8573,1,1
1-9588,6,6
MLG38,8,8
1-4910,17,17
1-8042,14,14
1-10948,16,16
1-7525,14,14
1-4052,7,7
1-0037,4,4
1-8641,18,18
1-7752,19,19
1-9496,11,11
1-8074,19,19
1-8906,13,13
72-11994,1,1
1-7321,4,4
1-20167,11,11
1-9156,19,19
1-2382,8,8
1-8328,2,2
1-9770,19,19
1-9553,9,9
1-9253,15,15
1-2670,3,3
1-9646,15,15
1-8646,10,10
1-9839,16,16
MLG39,8,8
1-4634,11,11
1-9902,1,1
1-8988,4,4
1-1250,18,18
1-9733,7,7
1-8018,16,16
1-9752,1,1
1-7058,12,12
1-10468,10,10
1-9938,15,15
1-7842,13,13
1-5406,17,17
1-10922,4,4
1-18563,7,7
1-0053,11,11
1-19839,1,1
1-9887,2,2
1-9630,7,7
1-9416,9,9
1-5653,1,1
MLG73,1,1
1-8023,9,9
1-4149,18,18
1-0205,5,5
1-9227,5,5
1-9650,3,3
1-9996,3,3
1-3068,4,4
1-17835,13,13
1-4361,17,17
1-3089,19,19
1-8450,19,19
1-18371,19,19
MLG07,5,5
MLG29,11,11
1-8113,5,5
1-7024,16,16
1-9667,13,13
1-9855,2,2
1-7042,3,3
MLG33,8,8
1-19448,16,16
1-20791,10,10
1-1015,9,9
MLG57,6,6
1-6647,7,7
MLG56,4,4
1-20467,7,7
1-2400,1,1
1-6931,16,16
1-9333,19,19
1-7268,6,6
1-21195,15,15
1-4649,18,18
1-8379,5,5
1-9946,10,10
1-9277,5,5
1-9504,17,17
1-9516,5,5
1-3596,18,18
1-0129,12,12
1-1942,5,5
1-8623,7,7
1-6927,14,14
P-0009,3,3
1-11330,5,5
1-2103,12,12
1-6181,1,1
MLG44,14,14
1-7839,3,3
1-1390,8,8
1-7897,19,19
1-1570,12,12
1-3589,5,5
1-0033,4,4
1-3216,7,7
1-9495,1,1
1-4051,18,18
1-10762,18,18
MLG43,1,1
1-7608,14,14
1-9995,13,13
1-1608,4,4
1-3535,19,19
1-4136,6,6
1-18615,8,8
1-3587,3,3
1-9836,3,3
1-8590,4,4
1-1592,5,5
1-8341,5,5
MLG02,1,1
1-9997,3,3
1-8066,1,1
1-3509,16,16
1-3639,10,10
1-9404,10,10
1-8352,8,8
1-7019,20,20
MLG54,7,7
1-4020,17,17
1-1177,4,4
MLG51,13,13
1-8157,19,19
1-19004,1,1
1-7866,2,2
1-18377,5,5
1-5530,5,5
1-6743,6,6
1-3516,9,9
1-4855,4,4
1-20578,2,2
1-3108,20,20
1-7521,1,1
1-3139,5,5
1-1769,14,14
1-7441,12,12
1-10978,15,15
1-2324,15,15
1-3584,11,11
MLG13,5,5
1-5172,12,12
1-0296,18,18
1-3647,12,12
1-6734,12,12
1-19924,16,16
1-8826,5,5
P-16616,8,8
1-9497,11,11
1-1317,10,10
1-4531,5,5
MLG75,15,15
MLG78,20,20
1-11329,8,8
1-20641,4,4
1-8910,5,5
1-1827,20,20
1-18613,3,3
1-6296,17,17
1-3523,2,2
1-3362,9,9
1-0031,2,2
MLG65,7,7
1-4319,10,10
1-6035,11,11
1-1131,3,3
MLG32,14,14
1-8188,16,16
1-17758,2,2
1-3052,5,5
1-2282,8,8
1-19229,16,16
MLG63,6,6
MLG50,7,7
1-9417,10,10
1-9498,12,12
1-9761,6,6
1-4760,2,2
1-9831,10,10
1-4417,17,17
1-6611,9,9
1-0008,17,17
1-1462,5,5
1-10785,12,12
1-7682,20,20
MLG48,8,8
1-5163,18,18
1-8544,7,7
1-5197,10,10
1-6594,3,3
MLG62,13,13
1-1580,2,2
1-6916,8,8
1-6918,11,11
1-6919,4,4
MLG14,3,3
1-7874,5,5
1-7213,14,14
1-6561,12,12
1-4640,9,9
1-7004,9,9
1-2335,19,19
1-18558,2,2
1-8551,9,9
1-9270,12,12
1-6974,19,19
MLG68,15,15
1-10539,20,20
MLG49,13,13
1-0278,8,8
