i,count
2,196
5,212
21,163
3,254
9,222
18,179
16,142
22,118
10,71
14,103
15,177
1,191
20,99
6,243
19,203
11,113
7,149
8,146
4,265
17,128
13,100
12,88
23,0
24,0
