i,j,k,count
8,9,10,32
8,10,9,32
9,8,10,32
9,10,8,32
10,8,9,32
10,9,8,32
18,15,13,11
18,13,15,11
15,18,13,11
15,13,18,11
13,18,15,11
13,15,18,11
19,15,7,134
19,15,21,132
19,15,17,71
19,7,15,134
19,7,21,58
19,7,17,87
19,21,15,132
19,21,7,58
19,21,17,79
19,17,15,71
19,17,7,87
19,17,21,79
15,19,7,134
15,19,21,132
15,19,17,71
15,7,19,134
15,7,21,105
15,7,17,109
15,21,19,132
15,21,7,105
15,21,17,119
15,17,19,71
15,17,7,109
15,17,21,119
7,19,15,134
7,19,21,58
7,19,17,87
7,15,19,134
7,15,21,105
7,15,17,109
7,21,19,58
7,21,15,105
7,21,17,89
7,17,19,87
7,17,15,109
7,17,21,89
21,19,15,132
21,19,7,58
21,19,17,79
21,15,19,132
21,15,7,105
21,15,17,119
21,7,19,58
21,7,15,105
21,7,17,89
21,17,19,79
21,17,15,119
21,17,7,89
17,19,15,71
17,19,7,87
17,19,21,79
17,15,19,71
17,15,7,109
17,15,21,119
17,7,19,87
17,7,15,109
17,7,21,89
17,21,19,79
17,21,15,119
17,21,7,89
16,15,7,102
16,15,13,41
16,15,14,77
16,7,15,102
16,7,13,37
16,7,14,49
16,13,15,41
16,13,7,37
16,13,14,19
16,14,15,77
16,14,7,49
16,14,13,19
15,16,7,102
15,16,13,41
15,16,14,77
15,7,16,102
15,7,13,49
15,7,14,95
15,13,16,41
15,13,7,49
15,13,14,37
15,14,16,77
15,14,7,95
15,14,13,37
7,16,15,102
7,16,13,37
7,16,14,49
7,15,16,102
7,15,13,49
7,15,14,95
7,13,16,37
7,13,15,49
7,13,14,43
7,14,16,49
7,14,15,95
7,14,13,43
13,16,15,41
13,16,7,37
13,16,14,19
13,15,16,41
13,15,7,49
13,15,14,37
13,7,16,37
13,7,15,49
13,7,14,43
13,14,16,19
13,14,15,37
13,14,7,43
14,16,15,77
14,16,7,49
14,16,13,19
14,15,16,77
14,15,7,95
14,15,13,37
14,7,16,49
14,7,15,95
14,7,13,43
14,13,16,19
14,13,15,37
14,13,7,43
11,20,18,27
11,18,20,27
20,11,18,27
20,18,11,27
18,11,20,27
18,20,11,27
11,20,7,33
11,20,12,13
11,20,14,23
11,7,20,33
11,7,12,15
11,7,14,61
11,12,20,13
11,12,7,15
11,12,14,11
11,14,20,23
11,14,7,61
11,14,12,11
20,11,7,33
20,11,12,13
20,11,14,23
20,7,11,33
20,7,12,7
20,7,14,25
20,12,11,13
20,12,7,7
20,12,14,10
20,14,11,23
20,14,7,25
20,14,12,10
7,11,20,33
7,11,12,15
7,11,14,61
7,20,11,33
7,20,12,7
7,20,14,25
7,12,11,15
7,12,20,7
