i,count
21,85
1,573
23,284
13,216
9,45
10,313
4,239
18,211
16,169
22,95
15,88
14,118
12,63
7,200
8,167
19,179
20,91
5,123
17,80
11,68
6,73
2,64
3,18
24,0
