Exam Group,Exam Block,adj_block
72-0103,7,7
1-9185,20,20
MLG17,10,10
1-8222,15,15
1-6240,14,14
1-5549,19,19
1-8021,3,3
1-8767,21,21
1-8181,4,4
1-8020,1,1
1-7964,15,15
1-9722,11,11
MLG84,4,4
1-9805,21,21
1-6098,16,16
1-8093,4,4
1-9955,16,16
1-18603,16,16
1-3521,18,18
1-2596,9,9
1-5167,21,21
1-3519,3,3
1-7995,11,11
1-2025,14,14
1-7140,15,15
1-9607,10,10
1-9907,14,14
1-18409,3,3
1-10071,14,14
1-18735,3,3
1-8418,11,11
1-8938,6,6
1-0022,13,13
1-7991,4,4
1-6642,18,18
1-2869,4,4
1-2714,20,20
1-5508,14,14
1-2104,12,12
1-7467,1,1
1-7722,9,9
1-7509,19,19
1-1207,7,7
1-8705,13,13
1-5214,8,8
1-9444,14,14
1-8566,13,13
1-19547,10,10
1-0405,2,2
1-2178,3,3
1-8174,2,2
1-9925,19,19
72-12387,13,13
1-9850,6,6
1-8125,7,7
1-8095,4,4
1-5877,10,10
1-1224,19,19
1-17733,19,19
1-9331,2,2
1-18202,6,6
1-7341,11,11
1-9818,20,20
1-7066,5,5
1-9674,19,19
1-8659,18,18
1-7536,5,5
1-7481,7,7
1-7845,18,18
1-18498,2,2
1-2584,19,19
1-6532,10,10
1-9614,16,16
1-5355,21,21
1-8124,18,18
1-8401,3,3
1-8541,7,7
1-2153,2,2
1-4088,11,11
1-9739,13,13
1-9115,21,21
1-7770,14,14
1-17645,1,1
1-18423,7,7
1-18714,10,10
1-8084,16,16
1-9345,17,17
MLG35,12,12
1-5626,21,21
1-18004,10,10
1-19222,16,16
72-12171,2,2
1-7807,8,8
1-20003,2,2
1-3083,14,14
1-3312,12,12
MLG37,11,11
1-9237,21,21
1-8127,12,12
1-5775,9,9
1-19598,13,13
1-9892,21,21
1-3564,5,5
1-8820,19,19
1-8267,3,3
1-1258,13,13
MLG69,17,17
1-6971,1,1
1-9731,14,14
1-9768,9,9
72-18936,4,4
1-19897,11,11
1-10698,7,7
1-4499,7,7
1-7496,8,8
1-3178,1,1
1-20047,8,8
1-0358,20,20
1-6543,5,5
1-5929,5,5
1-10232,13,13
1-7070,13,13
MLG42,9,9
MLG55,6,6
1-8427,17,17
1-8622,15,15
1-8488,8,8
1-9643,14,14
1-19286,18,18
1-2573,7,7
1-1833,9,9
1-9283,17,17
1-9110,18,18
1-8576,15,15
1-9465,18,18
1-9712,5,5
1-9549,8,8
1-1972,10,10
1-5515,8,8
1-7863,21,21
1-2294,19,19
MLG45,5,5
P-16454,13,13
1-8928,12,12
1-7744,15,15
MLG06,20,20
1-7453,5,5
1-17657,16,16
1-0001,17,17
MLG58,1,1
1-7005,7,7
1-9870,16,16
1-9500,11,11
1-1350,4,4
1-18994,12,12
1-9447,17,17
1-8634,19,19
1-6061,16,16
1-7599,5,5
1-10696,13,13
1-19813,4,4
MLG41,3,3
1-8067,19,19
1-9137,1,1
1-9740,3,3
1-7721,2,2
MLG40,3,3
1-4929,5,5
1-9655,8,8
1-9606,16,16
1-5043,1,1
1-8100,10,10
1-8573,19,19
1-9588,3,3
MLG38,3,3
1-4910,1,1
1-8042,11,11
1-10948,1,1
1-7525,4,4
1-4052,10,10
1-0037,3,3
1-8641,1,1
1-7752,21,21
1-9496,16,16
1-8074,9,9
1-8906,20,20
72-11994,4,4
1-7321,2,2
1-20167,16,16
1-9156,9,9
1-2382,3,3
1-8328,20,20
1-9770,9,9
1-9553,7,7
1-9253,1,1
1-2670,5,5
1-9646,11,11
1-8646,3,3
1-9839,20,20
MLG39,5,5
1-4634,3,3
1-9902,15,15
1-8988,10,10
1-1250,9,9
1-9733,3,3
1-8018,12,12
1-9752,15,15
1-7058,20,20
1-10468,19,19
1-9938,13,13
1-7842,6,6
1-5406,17,17
1-10922,2,2
1-18563,7,7
1-0053,16,16
1-19839,16,16
1-9887,15,15
1-9630,13,13
1-9416,14,14
1-5653,18,18
MLG73,4,4
1-8023,14,14
1-4149,3,3
1-0205,20,20
1-9227,7,7
1-9650,11,11
1-9996,14,14
1-3068,8,8
1-17835,15,15
1-4361,1,1
1-3089,3,3
1-8450,13,13
1-18371,9,9
MLG07,21,21
MLG29,4,4
1-8113,4,4
1-7024,13,13
1-9667,14,14
1-9855,15,15
1-7042,8,8
MLG33,12,12
1-19448,9,9
1-20791,11,11
1-1015,8,8
MLG57,14,14
1-6647,9,9
MLG56,10,10
1-20467,8,8
1-2400,4,4
1-6931,1,1
1-9333,9,9
1-7268,17,17
1-21195,1,1
1-4649,7,7
1-8379,2,2
1-9946,21,21
1-9277,7,7
1-9504,3,3
1-9516,8,8
1-3596,17,17
1-0129,2,2
1-1942,7,7
1-8623,1,1
1-6927,19,19
P-0009,17,17
1-11330,20,20
1-2103,2,2
1-6181,15,15
MLG44,12,12
1-7839,14,14
1-1390,2,2
1-7897,9,9
1-1570,21,21
1-3589,4,4
1-0033,10,10
1-3216,4,4
1-9495,18,18
1-4051,5,5
1-10762,17,17
MLG43,20,20
1-7608,14,14
1-9995,10,10
1-1608,20,20
1-3535,9,9
1-4136,6,6
1-18615,14,14
1-3587,6,6
1-9836,2,2
1-8590,18,18
1-1592,18,18
1-8341,7,7
MLG02,15,15
1-9997,1,1
1-8066,9,9
1-3509,15,15
1-3639,12,12
1-9404,19,19
1-8352,1,1
1-7019,1,1
MLG54,10,10
1-4020,14,14
1-1177,13,13
MLG51,14,14
1-8157,9,9
1-19004,15,15
1-7866,11,11
1-18377,1,1
1-5530,16,16
1-6743,11,11
1-3516,8,8
1-4855,18,18
1-20578,18,18
1-3108,21,21
1-7521,20,20
1-3139,7,7
1-1769,19,19
1-7441,1,1
1-10978,1,1
1-2324,5,5
1-3584,11,11
MLG13,12,12
1-5172,21,21
1-0296,11,11
1-3647,5,5
1-6734,13,13
1-19924,1,1
1-8826,17,17
P-16616,20,20
1-9497,16,16
1-1317,19,19
1-4531,7,7
MLG75,5,5
MLG78,3,3
1-11329,17,17
1-20641,16,16
1-8910,7,7
1-1827,4,4
1-18613,5,5
1-6296,15,15
1-3523,11,11
1-3362,8,8
1-0031,17,17
MLG65,17,17
1-4319,19,19
1-6035,14,14
1-1131,1,1
MLG32,3,3
1-8188,13,13
1-17758,19,19
1-3052,5,5
1-2282,20,20
1-19229,6,6
MLG63,12,12
MLG50,10,10
1-9417,19,19
1-9498,6,6
1-9761,8,8
1-4760,18,18
1-9831,19,19
1-4417,15,15
1-6611,8,8
1-0008,15,15
1-1462,7,7
1-10785,21,21
1-7682,5,5
MLG48,4,4
1-5163,6,6
1-8544,8,8
1-5197,19,19
1-6594,7,7
MLG62,17,17
1-1580,11,11
1-6916,16,16
1-6918,10,10
1-6919,3,3
MLG14,18,18
1-7874,7,7
1-7213,4,4
1-6561,2,2
1-4640,8,8
1-7004,8,8
1-2335,9,9
1-18558,11,11
1-8551,8,8
1-9270,2,2
1-6974,21,21
MLG68,18,18
1-10539,6,6
MLG49,6,6
1-0278,12,12
MLG64,12,12
MLG30,15,15
1-9609,10,10
1-7819,11,11
1-2423,15,15
1-6787,12,12
1-9963,2,2
1-9808,15,15
1-0303,13,13
MLG60,5,5
1-18709,18,18
1-7204,17,17
1-5744,9,9
1-1770,14,14
1-4682,14,14
1-3104,4,4
1-17907,8,8
1-8421,2,2
MLG53,13,13
1-9645,9,9
MLG12,17,17
MLG15,5,5
1-6858,19,19
1-8314,2,2
1-8285,4,4
1-1957,5,5
1-18203,1,1
1-10451,2,2
1-6216,10,10
1-6692,9,9
1-8172,20,20
1-8398,20,20
1-6878,15,15
1-7122,6,6
1-4700,18,18
1-6006,20,20
1-4355,11,11
1-9379,4,4
1-2701,9,9
1-6693,16,16
1-3141,1,1
1-7614,18,18
1-6914,11,11
1-5654,20,20
MLG59,2,2
1-9610,20,20
1-5161,11,11
1-6980,2,2
MLG10,20,20
MLG72,15,15
MLG52,16,16
1-19166,7,7
MLG11,19,19
1-3447,7,7
1-3217,5,5
1-6538,10,10
1-3534,8,8
1-7152,8,8
1-3106,10,10
1-1935,15,15
1-2297,2,2
1-4098,15,15
1-8529,5,5
1-8397,17,17
1-0272,8,8
1-17790,12,12
1-8186,12,12
1-8503,10,10
1-7182,19,19
1-2545,11,11
1-7993,12,12
1-9651,1,1
1-1183,21,21
1-1989,9,9
1-10060,6,6
1-5913,9,9
1-5981,11,11
1-13247,21,21
1-6228,12,12
1-8578,6,6
1-1204,20,20
1-9794,9,9
1-9518,21,21
1-9452,3,3
1-8400,10,10
1-18234,18,18
1-19205,14,14
1-9055,17,17
1-9394,9,9
1-9286,4,4
1-1005,16,16
1-10038,6,6
1-4390,7,7
1-9491,6,6
MLG31,12,12
1-5980,3,3
1-8678,13,13
1-6900,6,6
1-11350,11,11
1-9578,15,15
1-3551,2,2
MLG09,1,1
1-6028,4,4
1-1836,18,18
1-3265,11,11
MLG08,3,3
1-3176,7,7
1-8493,17,17
1-19915,3,3
1-8627,5,5
1-0292,3,3
1-18487,13,13
1-20012,6,6
1-9076,12,12
1-5425,5,5
1-4747,10,10
1-6227,12,12
1-6909,10,10
1-8532,13,13
1-18935,13,13
1-3206,11,11
1-9697,2,2
1-3033,6,6
1-8094,21,21
1-11206,1,1
1-6531,6,6
1-5036,16,16
1-18028,21,21
1-1850,6,6
1-4926,4,4
1-2034,16,16
1-19549,2,2
1-5282,8,8
1-9861,17,17
1-9338,6,6
1-3175,6,6
1-5002,20,20
1-5531,1,1
1-6718,18,18
1-6217,10,10
1-4847,5,5
1-5891,18,18
1-19447,14,14
1-7530,8,8
1-9457,12,12
1-5990,1,1
1-9971,13,13
1-4494,6,6
1-9576,5,5
1-9436,6,6
1-5413,4,4
1-5424,1,1
1-1191,17,17
1-5803,4,4
1-5799,1,1
1-19567,10,10
1-7527,16,16
MLG67,6,6
1-3087,9,9
1-4842,17,17
1-19568,18,18
1-9838,12,12
MLG46,6,6
1-5555,2,2
1-10444,13,13
1-3646,12,12
1-10951,8,8
1-9806,17,17
1-0055,2,2
1-5914,16,16
1-0027,3,3
1-9455,10,10
1-0003,14,14
1-21192,7,7
1-9034,12,12
1-19927,12,12
