Exam Group,Exam Block,adj_block
72-0103,13,13
1-9185,2,2
MLG17,1,1
1-8222,2,2
1-6240,19,19
1-5549,4,4
1-8021,9,9
1-8767,3,3
1-8181,3,3
1-8020,15,15
1-7964,7,7
1-9722,4,4
MLG84,1,1
1-9805,14,14
1-6098,21,21
1-8093,4,4
1-9955,3,3
1-18603,12,12
1-3521,3,3
1-2596,7,7
1-5167,9,9
1-3519,10,10
1-7995,1,1
1-2025,17,17
1-7140,15,15
1-9607,15,15
1-9907,1,1
1-18409,14,14
1-10071,7,7
1-18735,1,1
1-8418,15,15
1-8938,7,7
1-0022,4,4
1-7991,4,4
1-6642,6,6
1-2869,8,8
1-2714,4,4
1-5508,1,1
1-2104,8,8
1-7467,2,2
1-7722,16,16
1-7509,4,4
1-1207,3,3
1-8705,1,1
1-5214,3,3
1-9444,3,3
1-8566,6,6
1-19547,4,4
1-0405,4,4
1-2178,3,3
1-8174,4,4
1-9925,22,22
72-12387,1,1
1-9850,3,3
1-8125,8,8
1-8095,5,5
1-5877,1,1
1-1224,4,4
1-17733,9,9
1-9331,22,22
1-18202,14,14
1-7341,3,3
1-9818,12,12
1-7066,1,1
1-9674,3,3
1-8659,2,2
1-7536,20,20
1-7481,3,3
1-7845,22,22
1-18498,2,2
1-2584,14,14
1-6532,4,4
1-9614,21,21
1-5355,4,4
1-8124,20,20
1-8401,4,4
1-8541,18,18
1-2153,11,11
1-4088,5,5
1-9739,2,2
1-9115,4,4
1-7770,1,1
1-17645,11,11
1-18423,5,5
1-18714,2,2
1-8084,11,11
1-9345,19,19
MLG35,5,5
1-5626,6,6
1-18004,2,2
1-19222,6,6
72-12171,2,2
1-7807,13,13
1-20003,12,12
1-3083,21,21
1-3312,4,4
MLG37,5,5
1-9237,18,18
1-8127,2,2
1-5775,22,22
1-19598,4,4
1-9892,3,3
1-3564,11,11
1-8820,20,20
1-8267,13,13
1-1258,6,6
MLG69,12,12
1-6971,17,17
1-9731,12,12
1-9768,16,16
72-18936,8,8
1-19897,20,20
1-10698,11,11
1-4499,6,6
1-7496,13,13
1-3178,16,16
1-20047,1,1
1-0358,3,3
1-6543,10,10
1-5929,9,9
1-10232,10,10
1-7070,19,19
MLG42,1,1
MLG55,14,14
1-8427,2,2
1-8622,18,18
1-8488,6,6
1-9643,3,3
1-19286,5,5
1-2573,5,5
1-1833,14,14
1-9283,19,19
1-9110,12,12
1-8576,15,15
1-9465,2,2
1-9712,3,3
1-9549,3,3
1-1972,4,4
1-5515,20,20
1-7863,6,6
1-2294,9,9
MLG45,21,21
P-16454,1,1
1-8928,13,13
1-7744,6,6
MLG06,13,13
1-7453,8,8
1-17657,19,19
1-0001,12,12
MLG58,22,22
1-7005,18,18
1-9870,7,7
1-9500,2,2
1-1350,2,2
1-18994,8,8
1-9447,12,12
1-8634,11,11
1-6061,2,2
1-7599,4,4
1-10696,3,3
1-19813,14,14
MLG41,11,11
1-8067,9,9
1-9137,5,5
1-9740,2,2
1-7721,11,11
MLG40,11,11
1-4929,2,2
1-9655,5,5
1-9606,21,21
1-5043,6,6
1-8100,21,21
1-8573,5,5
1-9588,10,10
MLG38,14,14
1-4910,17,17
1-8042,8,8
1-10948,9,9
1-7525,9,9
1-4052,5,5
1-0037,3,3
1-8641,9,9
1-7752,8,8
1-9496,1,1
1-8074,16,16
1-8906,6,6
72-11994,4,4
1-7321,6,6
1-20167,10,10
1-9156,16,16
1-2382,14,14
1-8328,13,13
1-9770,9,9
1-9553,4,4
1-9253,18,18
1-2670,19,19
1-9646,6,6
1-8646,21,21
1-9839,5,5
MLG39,2,2
1-4634,21,21
1-9902,3,3
1-8988,22,22
1-1250,4,4
1-9733,1,1
1-8018,2,2
1-9752,5,5
1-7058,2,2
1-10468,9,9
1-9938,4,4
1-7842,14,14
1-5406,9,9
1-10922,15,15
1-18563,21,21
1-0053,1,1
1-19839,14,14
