i,count
6,162
20,172
13,215
10,116
8,233
4,244
12,128
15,139
3,291
1,361
2,264
18,62
11,139
19,95
14,194
16,221
17,196
7,130
5,105
9,95
21,0
22,0
23,0
24,0
