Exam Group,Exam Block,adj_block
72-0103,2,2
1-9185,4,4
MLG17,3,3
1-8222,13,13
1-6240,9,9
1-5549,5,5
1-8021,8,8
1-8767,6,6
1-8181,7,7
1-8020,11,11
1-7964,2,2
1-9722,8,8
MLG84,3,3
1-9805,4,4
1-6098,15,15
1-8093,7,7
1-9955,16,16
1-18603,4,4
1-3521,8,8
1-2596,11,11
1-5167,11,11
1-3519,15,15
1-7995,2,2
1-2025,1,1
1-7140,13,13
1-9607,4,4
1-9907,6,6
1-18409,20,20
1-10071,19,19
1-18735,15,15
1-8418,4,4
1-8938,5,5
1-0022,18,18
1-7991,12,12
1-6642,15,15
1-2869,15,15
1-2714,3,3
1-5508,3,3
1-2104,12,12
1-7467,3,3
1-7722,15,15
1-7509,1,1
1-1207,4,4
1-8705,12,12
1-5214,10,10
1-9444,2,2
1-8566,9,9
1-19547,20,20
1-0405,15,15
1-2178,20,20
1-8174,16,16
1-9925,5,5
72-12387,2,2
1-9850,10,10
1-8125,4,4
1-8095,12,12
1-5877,12,12
1-1224,18,18
1-17733,18,18
1-9331,8,8
1-18202,5,5
1-7341,1,1
1-9818,8,8
1-7066,6,6
1-9674,5,5
1-8659,17,17
1-7536,16,16
1-7481,1,1
1-7845,4,4
1-18498,14,14
1-2584,9,9
1-6532,6,6
1-9614,15,15
1-5355,4,4
1-8124,1,1
1-8401,2,2
1-8541,7,7
1-2153,18,18
1-4088,5,5
1-9739,7,7
1-9115,4,4
1-7770,6,6
1-17645,8,8
1-18423,4,4
1-18714,2,2
1-8084,5,5
1-9345,3,3
MLG35,6,6
1-5626,12,12
1-18004,1,1
1-19222,12,12
72-12171,9,9
1-7807,17,17
1-20003,10,10
1-3083,7,7
1-3312,18,18
MLG37,1,1
1-9237,3,3
1-8127,17,17
1-5775,8,8
1-19598,10,10
1-9892,2,2
1-3564,3,3
1-8820,18,18
1-8267,17,17
1-1258,12,12
MLG69,20,20
1-6971,8,8
1-9731,12,12
1-9768,16,16
72-18936,16,16
1-19897,2,2
1-10698,8,8
1-4499,10,10
1-7496,17,17
1-3178,9,9
1-20047,7,7
1-0358,3,3
1-6543,3,3
1-5929,15,15
1-10232,10,10
1-7070,9,9
MLG42,9,9
MLG55,2,2
1-8427,9,9
1-8622,13,13
1-8488,5,5
1-9643,7,7
1-19286,19,19
1-2573,1,1
1-1833,16,16
1-9283,9,9
1-9110,7,7
1-8576,13,13
1-9465,4,4
1-9712,8,8
1-9549,16,16
1-1972,16,16
1-5515,9,9
1-7863,12,12
1-2294,18,18
