i,j,count
3,5,91
5,3,91
2,21,108
21,2,108
12,15,321
12,14,292
15,12,321
15,14,129
14,12,292
14,15,129
3,10,231
3,18,134
10,3,231
10,18,277
18,3,134
18,10,277
9,19,195
9,13,446
9,11,452
9,4,279
19,9,195
19,13,277
19,11,242
19,4,97
13,9,446
13,19,277
13,11,452
13,4,261
11,9,452
11,19,242
11,13,452
11,4,257
4,9,279
4,19,97
4,13,261
4,11,257
20,1,128
1,20,128
8,10,472
8,13,456
8,9,461
8,6,372
10,8,472
10,13,361
10,9,475
10,6,331
13,8,456
13,10,361
13,6,355
9,8,461
9,10,475
9,6,272
6,8,372
6,10,331
6,13,355
6,9,272
7,14,249
7,16,491
14,7,249
14,16,289
16,7,491
16,14,289
3,4,115
3,13,245
3,20,66
3,6,188
4,3,115
4,20,125
4,6,187
13,3,245
13,20,303
20,3,66
20,4,125
20,13,303
20,6,164
6,3,188
6,4,187
6,20,164
10,4,222
10,12,402
18,4,244
18,12,286
4,10,222
4,18,244
4,12,315
12,10,402
12,18,286
12,4,315
1,19,86
19,1,86
11,1,160
11,17,354
1,11,160
1,17,117
17,11,354
17,1,117
16,5,342
16,18,355
16,8,347
5,16,342
5,18,208
5,8,229
18,16,355
18,5,208
18,8,224
8,16,347
8,5,229
8,18,224
13,21,220
13,17,415
13,15,288
8,21,137
8,17,324
8,15,295
21,13,220
21,8,137
21,17,289
21,15,122
21,6,111
17,13,415
17,8,324
17,21,289
17,15,192
17,6,209
15,13,288
15,8,295
15,21,122
15,17,192
15,6,232
6,21,111
6,17,209
6,15,232
3,19,105
3,9,218
19,3,105
9,3,218
9,5,257
19,5,136
5,9,257
5,19,136
10,1,199
13,1,139
1,10,199
1,13,139
11,18,313
1,18,164
18,11,313
18,1,164
21,7,197
21,3,94
7,21,197
7,3,170
3,21,94
3,7,170
13,12,464
13,7,381
12,13,464
12,7,418
7,13,381
7,12,418
8,20,191
20,8,191
11,12,687
11,7,358
12,11,687
7,11,358
21,19,74
3,8,244
8,3,244
8,19,223
19,21,74
19,8,223
10,17,250
3,17,179
17,10,250
17,3,179
8,12,466
12,8,466
12,20,211
12,17,377
20,12,211
20,17,148
17,12,377
17,20,148
12,21,175
21,12,175
21,14,177
21,9,180
14,21,177
14,9,253
14,17,211
9,21,180
9,14,253
9,17,285
17,14,211
17,9,285
9,12,497
12,9,497
8,2,203
8,14,280
2,8,203
2,14,165
14,8,280
14,2,165
9,15,342
15,9,342
13,2,239
2,13,239
2,17,256
17,2,256
8,11,379
11,8,379
11,15,416
15,11,416
19,7,227
7,19,227
7,8,319
8,7,319
2,5,155
17,5,189
5,2,155
5,17,189
12,6,361
14,10,214
14,6,137
10,14,214
6,12,361
6,14,137
9,7,393
7,9,393
11,20,141
15,20,140
20,11,141
20,15,140
16,15,351
15,16,351
10,20,195
10,7,245
6,7,277
20,10,195
20,7,180
7,10,245
7,6,277
7,20,180
2,20,150
2,1,132
2,7,242
20,2,150
20,5,141
1,2,132
1,5,90
1,7,160
5,20,141
5,1,90
5,7,183
7,2,242
7,1,160
7,5,183
6,2,170
2,6,170
9,16,388
16,9,388
1,9,161
9,1,161
9,20,236
20,9,236
9,2,240
2,9,240
7,17,216
17,7,216
17,16,162
3,16,247
16,17,162
16,3,247
16,6,285
6,16,285
21,16,143
16,21,143
12,19,236
19,12,236
13,14,163
14,13,163
14,20,165
14,4,141
20,14,165
4,14,141
11,6,338
6,11,338
6,18,194
18,6,194
3,1,172
1,3,172
1,8,192
8,1,192
4,17,252
17,4,252
6,1,145
1,6,145
3,12,203
12,3,203
10,16,370
16,10,370
16,13,294
13,16,294
16,1,179
1,16,179
21,18,258
18,21,258
18,17,577
17,18,577
3,2,101
2,3,101
2,19,112
19,2,112
19,20,145
20,19,145
15,19,168
15,7,207
19,15,168
19,16,191
7,15,207
16,19,191
16,12,281
12,16,281
16,11,349
11,16,349
5,13,261
13,5,261
5,12,248
12,5,248
2,15,142
15,2,142
10,19,149
10,15,339
19,10,149
19,18,132
18,19,132
18,15,147
15,10,339
15,18,147
4,1,139
4,2,145
1,4,139
18,2,172
2,4,145
2,18,172
16,4,161
4,16,161
10,2,193
12,2,226
2,10,193
2,12,226
2,16,164
16,2,164
5,15,93
15,5,93
10,11,385
11,10,385
10,5,192
10,21,123
5,10,192
5,21,99
21,10,123
21,5,99
21,20,105
20,21,105
6,19,175
19,6,175
18,13,222
13,18,222
5,6,229
6,5,229
18,20,132
20,18,132
3,14,96
4,21,83
21,4,83
14,3,96
7,18,322
18,7,322
3,15,131
15,3,131
19,14,86
11,14,214
14,19,86
14,11,214
5,11,161
2,11,215
11,5,161
11,2,215
11,21,163
21,11,163
1,15,114
15,1,114
19,17,168
17,19,168
8,4,193
4,8,193
1,12,192
12,1,192
4,15,167
15,4,167
9,18,337
18,9,337
11,3,239
3,11,239
16,20,121
20,16,121
4,7,208
7,4,208
14,18,188
18,14,188
14,1,95
1,14,95
14,5,134
5,14,134
5,4,114
4,5,114
1,21,78
21,1,78
