i,count
23,113
13,121
2,205
18,178
8,224
21,203
17,112
12,218
14,100
15,157
10,111
11,167
1,246
9,136
5,230
4,138
16,168
20,131
6,80
22,105
19,143
3,134
7,142
24,0
